Time,P,windspeed,wind direct,air temp,humidity,irrad global horizontal,irrad plant of array,pressure,rain fall,temp 1,temp 2,temp 3,wind direction,wind speed,year,month,day,hour,week,weekday,day_str,year_month
2023-06-09 11:00:00,107.50833333333333,5.9875,331.0,26.75,92.66666666666669,103.68333333333334,99.75,1002.0,0.0,28.20833333333333,27.866666666666664,-40.0,284.3333333333333,0.1666666666666666,2023,6,9,11,23,5,Fri,2023_06
2023-06-09 12:00:00,319.75,8.569166666666666,339.25,27.10833333333333,92.225,154.41666666666666,146.25,1001.0,0.0,28.95,28.55,-40.0,249.25,0.7416666666666667,2023,6,9,12,23,5,Fri,2023_06
2023-06-09 13:00:00,315.1666666666667,8.256666666666666,291.83583333333337,27.508333333333336,90.11666666666667,203.41666666666663,190.5,1001.0,0.0,29.916666666666668,29.308333333333334,-40.0,272.1666666666667,0.6124999999999999,2023,6,9,13,23,5,Fri,2023_06
2023-06-09 14:00:00,260.4166666666667,7.535,12.773333333333333,27.725,85.01666666666667,177.5,166.16666666666666,1000.0,0.0,31.73333333333333,30.9,-40.0,325.1666666666667,0.6791666666666667,2023,6,9,14,23,5,Fri,2023_06
2023-06-10 03:00:00,0.0,4.22,309.25,25.925,91.35,0.0,0.0,1000.0,0.0,25.125,25.10833333333333,-40.0,148.08333333333334,0.2625,2023,6,10,3,23,6,Sat,2023_06
2023-06-10 04:00:00,0.0,3.3208333333333333,317.5833333333333,25.808333333333334,92.0,0.0,0.0,999.9166666666666,0.0,25.03333333333333,25.008333333333336,-40.0,165.0,0.1208333333333333,2023,6,10,4,23,6,Sat,2023_06
2023-06-10 05:00:00,0.0,4.235,328.1666666666667,25.875,92.0,6.608333333333333,6.083333333333333,999.6666666666666,0.0,25.1,25.075,-40.0,249.58333333333331,0.0833333333333333,2023,6,10,5,23,6,Sat,2023_06
2023-06-10 16:00:00,0.0,0.0,35.6,31.508333333333336,70.86666666666666,239.5,244.25,998.0,0.0,40.19166666666667,41.516666666666666,-40.0,248.16666666666663,1.025,2023,6,10,16,23,6,Sat,2023_06
2023-06-10 17:00:00,0.0,0.0,35.6,30.0,76.84166666666667,77.47500000000001,76.8,998.0,0.0,32.43333333333333,32.541666666666664,-40.0,67.0,1.7333333333333334,2023,6,10,17,23,6,Sat,2023_06
2023-06-10 18:00:00,0.0,0.0,35.6,29.441666666666663,79.58333333333333,7.491666666666667,7.358333333333333,999.0,0.0,28.391666666666666,28.28333333333333,-40.0,68.25,1.6291666666666669,2023,6,10,18,23,6,Sat,2023_06
2023-06-10 19:00:00,0.0,0.0,35.6,29.191666666666663,80.51666666666667,0.0,0.0,999.4166666666666,0.0,27.5,27.3,-40.0,69.76666666666667,1.2,2023,6,10,19,23,6,Sat,2023_06
2023-06-10 20:00:00,0.0,0.0,35.6,28.883333333333336,81.75833333333334,0.0,0.0,1000.0,0.0,26.933333333333334,26.725,-40.0,91.41666666666669,0.3,2023,6,10,20,23,6,Sat,2023_06
2023-06-10 21:00:00,0.0,0.0,35.6,28.616666666666664,84.08333333333333,0.0,0.0,1000.5833333333334,0.0,26.916666666666668,26.675,-40.0,138.66666666666666,0.5,2023,6,10,21,23,6,Sat,2023_06
2023-06-10 22:00:00,0.0,0.0,35.6,28.78333333333333,84.2,0.0,0.0,1001.0,0.0,27.475,27.28333333333333,-40.0,135.0,0.3708333333333333,2023,6,10,22,23,6,Sat,2023_06
2023-06-10 23:00:00,0.0,0.0,35.6,28.95833333333333,83.36666666666666,0.0,0.0,1000.6666666666666,0.0,27.71666666666667,27.6,-40.0,149.41666666666666,0.5958333333333333,2023,6,10,23,23,6,Sat,2023_06
2023-06-11 00:00:00,0.0,0.0,35.6,28.95,83.54166666666667,0.0,0.0,1000.0,0.0,27.7,27.641666666666666,-40.0,152.41666666666666,0.15,2023,6,11,0,23,7,Sun,2023_06
2023-06-11 01:00:00,0.0,0.0,35.6,28.55,84.48333333333333,0.0,0.0,999.1666666666666,0.0,26.78333333333333,26.758333333333336,-40.0,157.0,0.0,2023,6,11,1,23,7,Sun,2023_06
2023-06-11 02:00:00,0.0,0.0,35.6,28.166666666666668,85.26666666666667,0.0,0.0,999.0,0.0,26.60833333333333,26.516666666666666,-40.0,157.0,0.3,2023,6,11,2,23,7,Sun,2023_06
2023-06-11 03:00:00,0.0,0.0,35.6,28.141666666666666,86.96666666666665,0.0,0.0,999.0,0.0,26.558333333333334,26.45833333333333,-40.0,157.0,0.0,2023,6,11,3,23,7,Sun,2023_06
2023-06-11 04:00:00,0.0,0.0,35.6,28.016666666666666,88.21666666666665,0.0,0.0,999.0,0.0,26.616666666666664,26.541666666666668,-40.0,157.0,0.0166666666666666,2023,6,11,4,23,7,Sun,2023_06
2023-06-11 05:00:00,0.0,0.0,35.6,28.308333333333334,89.53333333333335,16.579166666666666,15.654166666666669,999.0833333333334,0.0,27.066666666666663,27.041666666666668,-40.0,157.0,0.0,2023,6,11,5,23,7,Sun,2023_06
2023-06-11 06:00:00,0.0,0.0,35.6,29.2,88.86666666666667,144.41666666666666,131.31666666666666,1000.0,0.0,30.73333333333333,30.425,-40.0,204.41666666666663,0.0875,2023,6,11,6,23,7,Sun,2023_06
2023-06-11 07:00:00,0.0,0.0,35.6,31.175,81.5,343.5833333333333,316.5833333333333,1000.0,0.0,37.78333333333333,36.80833333333334,-40.0,344.75,0.4458333333333333,2023,6,11,7,23,7,Sun,2023_06
2023-06-11 08:00:00,0.0,0.0,35.6,32.766666666666666,75.29166666666667,678.3333333333334,627.5833333333334,1000.0,0.0,48.16666666666666,46.35,-40.0,330.8333333333333,0.9666666666666668,2023,6,11,8,23,7,Sun,2023_06
2023-06-11 09:00:00,0.0,0.0,35.6,33.15833333333333,71.64999999999999,815.6666666666666,768.5,1000.0,0.0,52.16666666666666,49.875,-40.0,320.75,0.925,2023,6,11,9,23,7,Sun,2023_06
2023-06-11 10:00:00,0.0,0.0,35.6,33.016666666666666,74.75,854.8333333333334,816.1666666666666,1000.0,0.0,53.93333333333334,52.958333333333336,-40.0,285.1666666666667,1.1958333333333333,2023,6,11,10,23,7,Sun,2023_06
