step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749628155.5213466,-5368.58740234375,0.0,0:00:00
24000,1749628169.1192567,-4716.5439453125,13.597910165786743,0:00:13.597910
36000,1749628182.8092134,-3940.755126953125,27.287866830825806,0:00:27.287867
48000,1749628197.7631347,-3444.434814453125,42.241788148880005,0:00:42.241788
60000,1749628211.356758,-2764.62255859375,55.8354115486145,0:00:55.835412
72000,1749628225.4766493,-2094.830322265625,69.95530271530151,0:01:09.955303
84000,1749628239.0604901,-1570.5711669921875,83.5391435623169,0:01:23.539144
96000,1749628253.353192,-1017.2386474609375,97.83184552192688,0:01:37.831846
108000,1749628267.1642976,-602.501708984375,111.64295101165771,0:01:51.642951
120000,1749628280.963355,-275.8372497558594,125.44200849533081,0:02:05.442008
132000,1749628294.6150439,-93.71084594726562,139.09369730949402,0:02:19.093697
144000,1749628308.259977,-57.17721939086914,152.73863053321838,0:02:32.738631
156000,1749628321.695093,-64.90496826171875,166.17374634742737,0:02:46.173746
168000,1749628335.2481732,-57.89014434814453,179.72682666778564,0:02:59.726827
180000,1749628348.9815485,-68.2380142211914,193.46020197868347,0:03:13.460202
192000,1749628362.6254427,-44.2033805847168,207.1040961742401,0:03:27.104096
204000,1749628376.2631664,-58.74214553833008,220.74181985855103,0:03:40.741820
216000,1749628389.6871617,-55.268707275390625,234.16581511497498,0:03:54.165815
228000,1749628403.1067333,-46.70220184326172,247.58538675308228,0:04:07.585387
240000,1749628416.9547167,-45.858211517333984,261.4333701133728,0:04:21.433370
252000,1749628430.4082615,-39.88267517089844,274.8869149684906,0:04:34.886915
264000,1749628444.1583147,-55.49320602416992,288.63696813583374,0:04:48.636968
276000,1749628457.981832,-59.64844512939453,302.460485458374,0:05:02.460485
288000,1749628471.7490613,-46.527008056640625,316.2277147769928,0:05:16.227715
300000,1749628485.4919662,-38.84492492675781,329.9706196784973,0:05:29.970620
312000,1749628498.8880637,-44.44089889526367,343.36671710014343,0:05:43.366717
324000,1749628512.5986867,-55.869911193847656,357.0773401260376,0:05:57.077340
336000,1749628526.2497487,-52.05458450317383,370.72840213775635,0:06:10.728402
348000,1749628539.8011649,-44.29964828491211,384.2798182964325,0:06:24.279818
360000,1749628553.4818993,-45.08684539794922,397.96055269241333,0:06:37.960553
372000,1749628567.1698954,-43.34469223022461,411.64854884147644,0:06:51.648549
384000,1749628580.7647178,-43.113338470458984,425.24337124824524,0:07:05.243371
396000,1749628594.2240095,-54.521053314208984,438.7026629447937,0:07:18.702663
408000,1749628607.8016233,-35.989105224609375,452.2802767753601,0:07:32.280277
420000,1749628621.5335681,-30.98733139038086,466.0122215747833,0:07:46.012222
432000,1749628634.9268267,-45.84819030761719,479.4054801464081,0:07:59.405480
444000,1749628648.720275,-39.86115264892578,493.19892835617065,0:08:13.198928
456000,1749628662.415378,-35.92121887207031,506.8940315246582,0:08:26.894032
468000,1749628675.9590814,-35.405059814453125,520.4377348423004,0:08:40.437735
480000,1749628689.826028,-45.1948356628418,534.3046815395355,0:08:54.304682
492000,1749628704.509372,-28.830184936523438,548.9880254268646,0:09:08.988025
504000,1749628718.2434928,-49.38170623779297,562.7221462726593,0:09:22.722146
516000,1749628731.889684,-31.453901290893555,576.368337392807,0:09:36.368337
528000,1749628745.7278955,-48.7458610534668,590.2065489292145,0:09:50.206549
540000,1749628762.3997412,-31.26183319091797,606.8783946037292,0:10:06.878395
552000,1749628776.1944199,-43.253719329833984,620.6730732917786,0:10:20.673073
564000,1749628789.8374188,-33.853946685791016,634.3160722255707,0:10:34.316072
576000,1749628803.63589,-27.36260223388672,648.1145434379578,0:10:48.114543
588000,1749628817.2627985,-20.519729614257812,661.7414519786835,0:11:01.741452
600000,1749628831.0593982,-37.198486328125,675.5380516052246,0:11:15.538052
612000,1749628844.919068,-26.948543548583984,689.397721529007,0:11:29.397722
624000,1749628858.5790434,-39.000431060791016,703.0576968193054,0:11:43.057697
636000,1749628872.1908934,-17.250240325927734,716.6695468425751,0:11:56.669547
