step,wall_time,train_std,relative_seconds,relative_time
24000,1749628168.9108236,1.0070661306381226,0.0,0:00:00
36000,1749628182.602958,1.0123668909072876,13.692134380340576,0:00:13.692134
48000,1749628197.6121256,1.0090956687927246,28.70130205154419,0:00:28.701302
60000,1749628211.1413672,0.9982872605323792,42.23054361343384,0:00:42.230544
72000,1749628225.3541474,0.976974368095398,56.443323850631714,0:00:56.443324
84000,1749628238.9244304,0.9666143655776978,70.0136067867279,0:01:10.013607
96000,1749628253.2215736,0.9459605813026428,84.3107500076294,0:01:24.310750
108000,1749628267.0638247,0.9124857783317566,98.15300107002258,0:01:38.153001
120000,1749628280.8630023,0.8860878944396973,111.95217871665955,0:01:51.952179
132000,1749628294.5112972,0.8623554110527039,125.60047364234924,0:02:05.600474
144000,1749628308.1578221,0.8303724527359009,139.2469985485077,0:02:19.246999
156000,1749628321.4981692,0.8563347458839417,152.58734560012817,0:02:32.587346
168000,1749628335.0453007,0.8255875706672668,166.1344771385193,0:02:46.134477
180000,1749628348.7854958,0.8493978381156921,179.87467217445374,0:02:59.874672
192000,1749628362.410438,0.8223790526390076,193.4996144771576,0:03:13.499614
204000,1749628376.0695915,0.8460754752159119,207.1587679386139,0:03:27.158768
216000,1749628389.5084608,0.8145423531532288,220.59763717651367,0:03:40.597637
228000,1749628402.9077485,0.8306180834770203,233.99692487716675,0:03:53.996925
240000,1749628416.746901,0.8031184077262878,247.83607745170593,0:04:07.836077
252000,1749628430.2082698,0.8287275433540344,261.2974462509155,0:04:21.297446
264000,1749628443.966782,0.8047293424606323,275.0559585094452,0:04:35.055959
276000,1749628457.7896893,0.8253597021102905,288.87886571884155,0:04:48.878866
288000,1749628471.5614948,0.7981139421463013,302.6506712436676,0:05:02.650671
300000,1749628485.3068764,0.8143799901008606,316.3960528373718,0:05:16.396053
312000,1749628498.7057831,0.7840913534164429,329.7949595451355,0:05:29.794960
324000,1749628512.417889,0.8039883375167847,343.5070655345917,0:05:43.507066
336000,1749628526.0653603,0.7787647247314453,357.1545367240906,0:05:57.154537
348000,1749628539.60928,0.8041785359382629,370.6984565258026,0:06:10.698457
360000,1749628553.2886162,0.7774775624275208,384.377792596817,0:06:24.377793
372000,1749628566.982456,0.7978487014770508,398.0716323852539,0:06:38.071632
384000,1749628580.56441,0.7707175016403198,411.6535863876343,0:06:51.653586
396000,1749628594.1163576,0.7909941077232361,425.20553398132324,0:07:05.205534
408000,1749628607.6972373,0.7686430811882019,438.7864136695862,0:07:18.786414
420000,1749628621.4319003,0.7918349504470825,452.52107667922974,0:07:32.521077
432000,1749628634.8273494,0.771335244178772,465.9165258407593,0:07:45.916526
444000,1749628648.6184537,0.7933747172355652,479.7076301574707,0:07:59.707630
456000,1749628662.314146,0.7709416151046753,493.4033224582672,0:08:13.403322
468000,1749628675.8560076,0.7840932011604309,506.94518399238586,0:08:26.945184
480000,1749628689.701406,0.7613912224769592,520.7905824184418,0:08:40.790582
492000,1749628704.408007,0.780109703540802,535.4971833229065,0:08:55.497183
504000,1749628718.1409802,0.7530818581581116,549.23015666008,0:09:09.230157
