step,wall_time,train_value_loss,relative_seconds,relative_time
24000,1749628168.9108422,13623058.0,0.0,0:00:00
36000,1749628182.6029763,10184571.0,13.692134141921997,0:00:13.692134
48000,1749628197.612146,7691295.0,28.701303720474243,0:00:28.701304
60000,1749628211.1413908,5632808.5,42.230548620224,0:00:42.230549
72000,1749628225.354167,3711148.25,56.44332480430603,0:00:56.443325
84000,1749628238.924447,2231260.75,70.01360487937927,0:01:10.013605
96000,1749628253.2215931,1325247.625,84.31075096130371,0:01:24.310751
108000,1749628267.0638368,654570.4375,98.15299463272095,0:01:38.152995
120000,1749628280.8630154,258633.421875,111.95217323303223,0:01:51.952173
132000,1749628294.5113134,61359.328125,125.60047125816345,0:02:05.600471
144000,1749628308.157842,10573.787109375,139.2469997406006,0:02:19.247000
156000,1749628321.4981892,3346.167724609375,152.58734703063965,0:02:32.587347
168000,1749628335.0453212,6088.47607421875,166.13447904586792,0:02:46.134479
180000,1749628348.7855155,2682.713623046875,179.87467336654663,0:02:59.874673
192000,1749628362.410457,6340.55224609375,193.49961471557617,0:03:13.499615
204000,1749628376.0696125,1899.36279296875,207.15877032279968,0:03:27.158770
216000,1749628389.5084784,5227.17724609375,220.59763622283936,0:03:40.597636
228000,1749628402.9077673,2439.09326171875,233.99692511558533,0:03:53.996925
240000,1749628416.746921,2931.166015625,247.8360788822174,0:04:07.836079
252000,1749628430.2082884,2600.63037109375,261.2974462509155,0:04:21.297446
264000,1749628443.9668007,3698.946044921875,275.0559585094452,0:04:35.055959
276000,1749628457.7897089,3139.574951171875,288.87886667251587,0:04:48.878867
288000,1749628471.561513,4485.265625,302.65067076683044,0:05:02.650671
300000,1749628485.3068953,2277.310546875,316.3960530757904,0:05:16.396053
312000,1749628498.7058012,2012.97509765625,329.79495906829834,0:05:29.794959
324000,1749628512.41797,2625.043701171875,343.5071277618408,0:05:43.507128
336000,1749628526.065379,3105.735595703125,357.1545367240906,0:05:57.154537
348000,1749628539.6092985,2701.729248046875,370.69845628738403,0:06:10.698456
360000,1749628553.2886357,3190.42578125,384.37779355049133,0:06:24.377794
372000,1749628566.9824746,2257.97265625,398.0716323852539,0:06:38.071632
384000,1749628580.5644298,2841.56005859375,411.6535875797272,0:06:51.653588
396000,1749628594.1163785,2157.691650390625,425.20553636550903,0:07:05.205536
408000,1749628607.697257,2902.562255859375,438.7864148616791,0:07:18.786415
420000,1749628621.4319124,1404.91259765625,452.5210702419281,0:07:32.521070
432000,1749628634.8273702,2632.70947265625,465.9165279865265,0:07:45.916528
444000,1749628648.6184752,2204.480224609375,479.70763301849365,0:07:59.707633
456000,1749628662.3141584,2757.2587890625,493.40331625938416,0:08:13.403316
468000,1749628675.8560205,1802.3306884765625,506.94517827033997,0:08:26.945178
480000,1749628689.7015007,1550.4957275390625,520.7906584739685,0:08:40.790658
492000,1749628704.408027,3187.813720703125,535.497184753418,0:08:55.497185
504000,1749628718.1410294,1334.5963134765625,549.2301871776581,0:09:09.230187
516000,1749628731.7873385,2225.099609375,562.8764963150024,0:09:22.876496
528000,1749628745.6059961,977.8240356445312,576.6951539516449,0:09:36.695154
540000,1749628762.2980628,2776.780029296875,593.387220621109,0:09:53.387221
552000,1749628776.0918157,1258.2261962890625,607.1809735298157,0:10:07.180974
564000,1749628789.7139194,1855.19970703125,620.8030772209167,0:10:20.803077
576000,1749628803.5304039,1482.9725341796875,634.6195616722107,0:10:34.619562
588000,1749628817.1581898,2008.043701171875,648.2473475933075,0:10:48.247348
600000,1749628830.9577818,879.6885375976562,662.0469396114349,0:11:02.046940
612000,1749628844.8192368,1821.7830810546875,675.908394575119,0:11:15.908395
624000,1749628858.474801,1058.3270263671875,689.5639588832855,0:11:29.563959
636000,1749628872.0853128,1466.92041015625,703.1744706630707,0:11:43.174471
648000,1749628885.6342363,902.43994140625,716.7233941555023,0:11:56.723394
660000,1749628899.3483753,1551.7607421875,730.4375331401825,0:12:10.437533
672000,1749628913.2263186,1136.140869140625,744.3154764175415,0:12:24.315476
684000,1749628926.9026496,981.1162109375,757.9918074607849,0:12:37.991807
696000,1749628940.5912383,736.3076171875,771.6803960800171,0:12:51.680396
708000,1749628954.2985547,870.1295166015625,785.3877124786377,0:13:05.387712
720000,1749628967.9761987,631.1885986328125,799.0653564929962,0:13:19.065356
732000,1749628981.8205009,1213.4853515625,812.9096586704254,0:13:32.909659
744000,1749628995.430818,600.398681640625,826.51997590065,0:13:46.519976
756000,1749629009.153897,882.0863037109375,840.2430548667908,0:14:00.243055
768000,1749629022.8095095,856.5969848632812,853.8986673355103,0:14:13.898667
780000,1749629036.4676514,449.11883544921875,867.5568091869354,0:14:27.556809
792000,1749629050.214506,614.3756713867188,881.3036637306213,0:14:41.303664
804000,1749629064.0433064,476.6687316894531,895.1324641704559,0:14:55.132464
816000,1749629077.683309,308.8356628417969,908.7724668979645,0:15:08.772467
828000,1749629091.4574804,398.3428955078125,922.546638250351,0:15:22.546638
840000,1749629105.1451473,385.3440856933594,936.2343051433563,0:15:36.234305
852000,1749629118.8440423,459.0711364746094,949.9332001209259,0:15:49.933200
864000,1749629132.5496185,169.16036987304688,963.6387763023376,0:16:03.638776
876000,1749629146.319131,353.2760009765625,977.4082887172699,0:16:17.408289
888000,1749629160.0898817,116.66226196289062,991.179039478302,0:16:31.179039
900000,1749629173.629182,332.23712158203125,1004.718339920044,0:16:44.718340
912000,1749629187.2629209,171.1253662109375,1018.3520786762238,0:16:58.352079
924000,1749629200.940212,139.22174072265625,1032.0293698310852,0:17:12.029370
936000,1749629214.8560698,119.11980438232422,1045.9452276229858,0:17:25.945228
948000,1749629228.5588772,128.87850952148438,1059.6480350494385,0:17:39.648035
960000,1749629242.3985744,125.90280151367188,1073.4877321720123,0:17:53.487732
972000,1749629256.0466359,85.50114440917969,1087.135793685913,0:18:07.135794
984000,1749629269.836921,69.84782409667969,1100.9260787963867,0:18:20.926079
996000,1749629283.4980738,66.5231704711914,1114.5872316360474,0:18:34.587232
1008000,1749629296.87136,67.42349243164062,1127.9605178833008,0:18:47.960518
1020000,1749629310.6766605,64.29376220703125,1141.7658183574677,0:19:01.765818
1032000,1749629324.4834375,68.28214263916016,1155.572595357895,0:19:15.572595
1044000,1749629338.21457,68.5334701538086,1169.3037278652191,0:19:29.303728
1056000,1749629351.8992295,65.97669219970703,1182.9883873462677,0:19:42.988387
1068000,1749629369.8038082,65.29908752441406,1200.8929660320282,0:20:00.892966
1080000,1749629383.7739627,65.40521240234375,1214.8631205558777,0:20:14.863121
1092000,1749629397.4980614,64.6129150390625,1228.5872192382812,0:20:28.587219
1104000,1749629411.1420386,65.103271484375,1242.2311964035034,0:20:42.231196
1116000,1749629424.9297228,64.77523040771484,1256.0188806056976,0:20:56.018881
1128000,1749629438.3603535,65.04083251953125,1269.4495112895966,0:21:09.449511
1140000,1749629452.1931505,65.2662124633789,1283.2823083400726,0:21:23.282308
1152000,1749629466.0569072,64.72093963623047,1297.1460649967194,0:21:37.146065
1164000,1749629479.6896799,65.16780853271484,1310.7788376808167,0:21:50.778838
1176000,1749629493.3539634,65.05049896240234,1324.4431211948395,0:22:04.443121
1188000,1749629506.9633138,64.93644714355469,1338.0524716377258,0:22:18.052472
1200000,1749629520.7687166,64.82395935058594,1351.8578743934631,0:22:31.857874
1212000,1749629534.557427,64.92939758300781,1365.6465847492218,0:22:45.646585
1224000,1749629548.3367395,64.81944274902344,1379.425897359848,0:22:59.425897
1236000,1749629561.96909,64.56983184814453,1393.0582478046417,0:23:13.058248
1248000,1749629575.7426481,64.35371398925781,1406.8318059444427,0:23:26.831806
1260000,1749629589.385648,64.4461441040039,1420.4748058319092,0:23:40.474806
1272000,1749629603.1018627,63.96440887451172,1434.191020488739,0:23:54.191020
1284000,1749629616.7665179,64.0809555053711,1447.8556756973267,0:24:07.855676
1296000,1749629630.5063875,63.99658966064453,1461.5955452919006,0:24:21.595545
1308000,1749629644.3166735,63.91981887817383,1475.405831336975,0:24:35.405831
1320000,1749629658.1517537,63.78089141845703,1489.2409114837646,0:24:49.240911
1332000,1749629671.8781629,63.74007034301758,1502.9673206806183,0:25:02.967321
1344000,1749629685.8227823,63.623897552490234,1516.9119400978088,0:25:16.911940
1356000,1749629699.4942038,63.544132232666016,1530.5833616256714,0:25:30.583362
1368000,1749629713.1426468,63.456844329833984,1544.2318046092987,0:25:44.231805
1380000,1749629726.8507168,63.330902099609375,1557.9398746490479,0:25:57.939875
1392000,1749629740.4490972,63.195655822753906,1571.5382549762726,0:26:11.538255
1404000,1749629754.110834,63.051185607910156,1585.1999917030334,0:26:25.199992
1416000,1749629767.7974894,62.94080352783203,1598.8866472244263,0:26:38.886647
1428000,1749629781.7570796,62.81932830810547,1612.8462374210358,0:26:52.846237
1440000,1749629795.7820206,62.56594467163086,1626.8711783885956,0:27:06.871178
1452000,1749629809.744892,62.47551727294922,1640.8340497016907,0:27:20.834050
1464000,1749629823.6526504,62.34485626220703,1654.7418081760406,0:27:34.741808
1476000,1749629837.3205047,62.29572296142578,1668.4096624851227,0:27:48.409662
1488000,1749629851.422024,62.16429901123047,1682.5111818313599,0:28:02.511182
1500000,1749629865.050786,62.00537109375,1696.1399438381195,0:28:16.139944
1512000,1749629878.8115573,61.769283294677734,1709.9007151126862,0:28:29.900715
1524000,1749629892.4098153,61.592994689941406,1723.4989731311798,0:28:43.498973
1536000,1749629906.3039331,61.53239059448242,1737.3930909633636,0:28:57.393091
1548000,1749629919.9659245,61.48226547241211,1751.055082321167,0:29:11.055082
1560000,1749629933.5305145,61.33357620239258,1764.6196722984314,0:29:24.619672
1572000,1749629947.2637203,61.16026306152344,1778.3528780937195,0:29:38.352878
