step,wall_time,train_policy_objective,relative_seconds,relative_time
24000,1749631925.889113,0.028935294598340988,0.0,0:00:00
36000,1749631940.308336,0.023487452417612076,14.419223070144653,0:00:14.419223
48000,1749631953.866864,0.02772854082286358,27.97775101661682,0:00:27.977751
60000,1749631968.1544745,0.029955601319670677,42.26536154747009,0:00:42.265362
72000,1749631981.6748562,0.03222499415278435,55.78574323654175,0:00:55.785743
84000,1749631996.3533523,0.035021163523197174,70.46423935890198,0:01:10.464239
96000,1749632009.898358,0.043507080525159836,84.00924515724182,0:01:24.009245
108000,1749632023.3829877,0.041023414582014084,97.4938747882843,0:01:37.493875
120000,1749632037.0165477,0.045835938304662704,111.12743473052979,0:01:51.127435
132000,1749632050.478629,0.05153361335396767,124.58951616287231,0:02:04.589516
144000,1749632063.9174833,0.06077995151281357,138.0283703804016,0:02:18.028370
156000,1749632077.4517725,0.06990876793861389,151.56265950202942,0:02:31.562660
168000,1749632091.2434914,0.061354201287031174,165.35437846183777,0:02:45.354378
180000,1749632104.8947773,0.02735041081905365,179.0056643486023,0:02:59.005664
192000,1749632118.326145,0.04929161071777344,192.43703198432922,0:03:12.437032
204000,1749632131.8012197,0.0451558493077755,205.91210675239563,0:03:25.912107
216000,1749632145.171193,0.04659915715456009,219.28207993507385,0:03:39.282080
228000,1749632158.6852539,0.04751787334680557,232.79614090919495,0:03:52.796141
240000,1749632172.4176533,0.04327008128166199,246.5285403728485,0:04:06.528540
252000,1749632186.36919,0.054140523076057434,260.48007702827454,0:04:20.480077
264000,1749632200.3160453,0.04907810315489769,274.4269323348999,0:04:34.426932
276000,1749632214.203891,0.05367682874202728,288.3147780895233,0:04:48.314778
288000,1749632228.2230828,0.051033101975917816,302.3339698314667,0:05:02.333970
300000,1749632242.1067188,0.04887739196419716,316.2176058292389,0:05:16.217606
312000,1749632255.6990447,0.0391845665872097,329.8099317550659,0:05:29.809932
324000,1749632269.2107136,0.061142925173044205,343.3216006755829,0:05:43.321601
336000,1749632282.93892,0.05019981414079666,357.0498070716858,0:05:57.049807
348000,1749632296.3863716,0.06101038679480553,370.4972586631775,0:06:10.497259
360000,1749632310.0613878,0.04265448823571205,384.17227482795715,0:06:24.172275
372000,1749632323.7157965,0.05835562199354172,397.82668352127075,0:06:37.826684
384000,1749632337.498581,0.048155803233385086,411.60946798324585,0:06:51.609468
396000,1749632351.1800704,0.05676852539181709,425.2909574508667,0:07:05.290957
408000,1749632364.6719885,0.05070095881819725,438.7828755378723,0:07:18.782876
420000,1749632378.5922806,0.05222371965646744,452.70316767692566,0:07:32.703168
432000,1749632392.0837536,0.04648350179195404,466.1946406364441,0:07:46.194641
444000,1749632405.8825018,0.06001706421375275,479.9933888912201,0:07:59.993389
456000,1749632419.445709,0.04830562695860863,493.5565960407257,0:08:13.556596
468000,1749632433.3671746,0.05471929907798767,507.4780616760254,0:08:27.478062
480000,1749632447.0989468,0.041120413690805435,521.2098338603973,0:08:41.209834
492000,1749632460.8555586,0.054781533777713776,534.966445684433,0:08:54.966446
504000,1749632474.5934768,0.04380233585834503,548.704363822937,0:09:08.704364
516000,1749632487.9378026,0.05933726578950882,562.0486896038055,0:09:22.048690
528000,1749632501.5142627,0.032751888036727905,575.6251497268677,0:09:35.625150
540000,1749632514.9697516,0.05773918703198433,589.0806386470795,0:09:49.080639
552000,1749632528.387894,0.040644120424985886,602.498780965805,0:10:02.498781
