step,wall_time,train_value_loss,relative_seconds,relative_time
24000,1749631925.8891516,18357442.0,0.0,0:00:00
36000,1749631940.3083758,14578671.0,14.419224262237549,0:00:14.419224
48000,1749631953.8669114,11613281.0,27.977759838104248,0:00:27.977760
60000,1749631968.154515,8555908.0,42.265363454818726,0:00:42.265363
72000,1749631981.6748946,6255658.5,55.78574299812317,0:00:55.785743
84000,1749631996.3533933,4334040.0,70.46424174308777,0:01:10.464242
96000,1749632009.8984106,2929996.0,84.00925898551941,0:01:24.009259
108000,1749632023.383046,1737300.5,97.49389433860779,0:01:37.493894
120000,1749632037.016586,982672.9375,111.1274344921112,0:01:51.127434
132000,1749632050.4786673,449772.625,124.58951568603516,0:02:04.589516
144000,1749632063.917522,180077.15625,138.0283703804016,0:02:18.028370
156000,1749632077.451811,44795.67578125,151.56265950202942,0:02:31.562660
168000,1749632091.2435288,5882.85595703125,165.35437726974487,0:02:45.354377
180000,1749632104.894815,549.1934204101562,179.00566339492798,0:02:59.005663
192000,1749632118.326189,1642.610595703125,192.43703746795654,0:03:12.437037
204000,1749632131.8012521,858.8280639648438,205.91210055351257,0:03:25.912101
216000,1749632145.1712177,1606.7047119140625,219.28206610679626,0:03:39.282066
228000,1749632158.6853063,944.5404663085938,232.79615473747253,0:03:52.796155
240000,1749632172.4176822,1279.359619140625,246.52853059768677,0:04:06.528531
252000,1749632186.369227,844.7711181640625,260.4800753593445,0:04:20.480075
264000,1749632200.3160872,1500.293212890625,274.42693567276,0:04:34.426936
276000,1749632214.2039158,923.6296997070312,288.3147642612457,0:04:48.314764
288000,1749632228.2231264,1417.516845703125,302.33397483825684,0:05:02.333975
300000,1749632242.1067643,858.9481201171875,316.2176127433777,0:05:16.217613
312000,1749632255.699077,874.8548583984375,329.8099253177643,0:05:29.809925
324000,1749632269.2107549,1172.3485107421875,343.32160329818726,0:05:43.321603
336000,1749632282.938978,839.7550659179688,357.0498263835907,0:05:57.049826
348000,1749632296.3864038,1030.327880859375,370.49725222587585,0:06:10.497252
360000,1749632310.0614119,1210.76123046875,384.1722602844238,0:06:24.172260
372000,1749632323.7158375,758.0151977539062,397.82668590545654,0:06:37.826686
384000,1749632337.4986207,941.929931640625,411.60946917533875,0:06:51.609469
396000,1749632351.180095,814.406982421875,425.29094338417053,0:07:05.290943
408000,1749632364.6720514,918.1067504882812,438.7828998565674,0:07:18.782900
420000,1749632378.5923052,757.001953125,452.7031536102295,0:07:32.703154
432000,1749632392.0837786,1033.504638671875,466.1946270465851,0:07:46.194627
444000,1749632405.8825269,849.0140991210938,479.9933753013611,0:07:59.993375
456000,1749632419.4457517,1157.309814453125,493.55660009384155,0:08:13.556600
468000,1749632433.3671992,845.7537841796875,507.4780476093292,0:08:27.478048
480000,1749632447.0989892,714.0293579101562,521.2098376750946,0:08:41.209838
492000,1749632460.855601,1044.0440673828125,534.9664494991302,0:08:54.966449
504000,1749632474.5935023,853.9749145507812,548.7043507099152,0:09:08.704351
516000,1749632487.9378283,1132.5921630859375,562.0486767292023,0:09:22.048677
528000,1749632501.5142884,556.212890625,575.6251368522644,0:09:35.625137
540000,1749632514.969776,688.1148681640625,589.0806243419647,0:09:49.080624
552000,1749632528.3879194,588.3157958984375,602.4987678527832,0:10:02.498768
564000,1749632541.8266044,537.3551025390625,615.9374527931213,0:10:15.937453
576000,1749632555.3231075,1129.87255859375,629.4339559078217,0:10:29.433956
588000,1749632568.8031628,640.2725830078125,642.9140112400055,0:10:42.914011
600000,1749632582.5171196,837.074951171875,656.6279680728912,0:10:56.627968
612000,1749632596.2744446,579.57373046875,670.385293006897,0:11:10.385293
624000,1749632609.5515444,781.5184326171875,683.6623928546906,0:11:23.662393
636000,1749632623.0668285,370.6376953125,697.1776769161224,0:11:37.177677
648000,1749632636.7471364,670.1486206054688,710.8579847812653,0:11:50.857985
660000,1749632650.328988,421.97662353515625,724.4398365020752,0:12:04.439837
672000,1749632663.7365959,536.8732299804688,737.8474442958832,0:12:17.847444
684000,1749632677.398109,362.5073547363281,751.5089573860168,0:12:31.508957
696000,1749632691.02018,438.1802062988281,765.1310284137726,0:12:45.131028
708000,1749632704.823501,297.040283203125,778.9343495368958,0:12:58.934350
720000,1749632718.4615698,524.7064208984375,792.5724182128906,0:13:12.572418
732000,1749632732.545922,349.66510009765625,806.6567704677582,0:13:26.656770
744000,1749632746.2047696,470.8477478027344,820.3156180381775,0:13:40.315618
756000,1749632759.7673538,321.7499694824219,833.8782021999359,0:13:53.878202
768000,1749632773.3839536,318.346923828125,847.4948019981384,0:14:07.494802
780000,1749632787.1253448,309.9129333496094,861.2361931800842,0:14:21.236193
792000,1749632800.978304,309.11700439453125,875.0891523361206,0:14:35.089152
804000,1749632814.5751865,259.54425048828125,888.6860349178314,0:14:48.686035
816000,1749632828.202817,333.7620544433594,902.3136653900146,0:15:02.313665
828000,1749632841.7332873,237.73033142089844,915.844135761261,0:15:15.844136
840000,1749632855.428946,221.46250915527344,929.5397944450378,0:15:29.539794
852000,1749632869.0158336,178.44398498535156,943.1266820430756,0:15:43.126682
864000,1749632882.5319562,134.90855407714844,956.6428046226501,0:15:56.642805
876000,1749632896.2150698,120.42589569091797,970.3259181976318,0:16:10.325918
888000,1749632910.0399778,180.63400268554688,984.150826215744,0:16:24.150826
900000,1749632924.0947182,126.5875244140625,998.2055666446686,0:16:38.205567
912000,1749632937.7264435,145.10720825195312,1011.8372919559479,0:16:51.837292
924000,1749632952.0332704,128.88877868652344,1026.1441187858582,0:17:06.144119
936000,1749632966.345287,146.97410583496094,1040.4561355113983,0:17:20.456136
948000,1749632980.7292507,142.01339721679688,1054.8400990962982,0:17:34.840099
960000,1749632994.7055655,129.8514404296875,1068.8164138793945,0:17:48.816414
972000,1749633009.134128,121.21492767333984,1083.2449765205383,0:18:03.244977
984000,1749633022.8725283,151.59283447265625,1096.9833767414093,0:18:16.983377
996000,1749633036.8320994,99.82205200195312,1110.9429478645325,0:18:30.942948
1008000,1749633050.6044686,113.73543548583984,1124.7153170108795,0:18:44.715317
1020000,1749633064.4006774,119.00418090820312,1138.5115258693695,0:18:58.511526
1032000,1749633078.1096902,123.95223999023438,1152.2205386161804,0:19:12.220539
1044000,1749633091.6748524,108.94554901123047,1165.7857007980347,0:19:25.785701
1056000,1749633105.290429,109.09757232666016,1179.4012775421143,0:19:39.401278
1068000,1749633119.0332325,100.73121643066406,1193.144080877304,0:19:53.144081
1080000,1749633132.463317,101.16687774658203,1206.5741653442383,0:20:06.574165
1092000,1749633146.0468607,103.23115539550781,1220.157709121704,0:20:20.157709
1104000,1749633159.4988654,97.6475830078125,1233.609713792801,0:20:33.609714
1116000,1749633173.3487377,98.02750396728516,1247.4595861434937,0:20:47.459586
1128000,1749633186.78087,102.8083724975586,1260.8917183876038,0:21:00.891718
1140000,1749633200.4256344,98.76923370361328,1274.5364828109741,0:21:14.536483
1152000,1749633214.1716576,98.99840545654297,1288.2825059890747,0:21:28.282506
1164000,1749633227.855783,101.5817642211914,1301.966631412506,0:21:41.966631
1176000,1749633241.5535321,100.2388916015625,1315.6643805503845,0:21:55.664381
1188000,1749633255.0261765,104.03173065185547,1329.1370248794556,0:22:09.137025
1200000,1749633268.7912197,98.82028198242188,1342.9020681381226,0:22:22.902068
1212000,1749633282.2705512,98.06311798095703,1356.3813996315002,0:22:36.381400
1224000,1749633295.8611205,96.44185638427734,1369.9719688892365,0:22:49.971969
1236000,1749633309.5668106,96.30755615234375,1383.677659034729,0:23:03.677659
1248000,1749633322.9544182,96.05794525146484,1397.065266609192,0:23:17.065267
1260000,1749633336.4127302,97.86599731445312,1410.5235786437988,0:23:30.523579
1272000,1749633349.9816747,96.058349609375,1424.092523097992,0:23:44.092523
1284000,1749633363.5608315,96.60598754882812,1437.6716799736023,0:23:57.671680
1296000,1749633377.110145,96.07817840576172,1451.2209935188293,0:24:11.220994
1308000,1749633390.3294806,95.4416275024414,1464.4403290748596,0:24:24.440329
1320000,1749633403.9831808,95.68466186523438,1478.0940291881561,0:24:38.094029
1332000,1749633417.5714667,95.66445922851562,1491.6823151111603,0:24:51.682315
1344000,1749633431.2578404,95.39550018310547,1505.3686888217926,0:25:05.368689
1356000,1749633444.8100853,95.17462921142578,1518.9209337234497,0:25:18.920934
1368000,1749633458.4473684,95.03987121582031,1532.5582168102264,0:25:32.558217
1380000,1749633472.0049722,95.24651336669922,1546.115820646286,0:25:46.115821
1392000,1749633485.8693373,93.94196319580078,1559.9801857471466,0:25:59.980186
1404000,1749633499.1681938,94.70825958251953,1573.2790422439575,0:26:13.279042
