step,wall_time,train_kl_divergence_loss,relative_seconds,relative_time
24000,1749631925.889073,0.008122649043798447,0.0,0:00:00
36000,1749631940.3082938,0.0077473982237279415,14.419220924377441,0:00:14.419221
48000,1749631953.8668242,0.009265178814530373,27.9777512550354,0:00:27.977751
60000,1749631968.1544323,0.007651206571608782,42.26535940170288,0:00:42.265359
72000,1749631981.6748145,0.007140538655221462,55.785741567611694,0:00:55.785742
84000,1749631996.3533082,0.007958531379699707,70.46423530578613,0:01:10.464235
96000,1749632009.8980658,0.009303018450737,84.00899291038513,0:01:24.008993
108000,1749632023.38295,0.008451147004961967,97.49387717247009,0:01:37.493877
120000,1749632037.0164835,0.00881928764283657,111.1274106502533,0:01:51.127411
132000,1749632050.4785914,0.008699538186192513,124.5895185470581,0:02:04.589519
144000,1749632063.9174445,0.008739753626286983,138.0283715724945,0:02:18.028372
156000,1749632077.4517334,0.00916116964071989,151.56266045570374,0:02:31.562660
168000,1749632091.243453,0.008835562504827976,165.35438013076782,0:02:45.354380
180000,1749632104.8947363,0.008896795101463795,179.00566339492798,0:02:59.005663
192000,1749632118.3261006,0.008171540684998035,192.4370276927948,0:03:12.437028
204000,1749632131.8011706,0.008658790029585361,205.91209769248962,0:03:25.912098
216000,1749632145.1711664,0.008205926045775414,219.28209352493286,0:03:39.282094
228000,1749632158.6852016,0.008752495050430298,232.7961287498474,0:03:52.796129
240000,1749632172.417623,0.008194507099688053,246.52855014801025,0:04:06.528550
252000,1749632186.36915,0.009117581881582737,260.48007702827454,0:04:20.480077
264000,1749632200.315981,0.008802925236523151,274.42690801620483,0:04:34.426908
276000,1749632214.2038653,0.008963201195001602,288.31479239463806,0:04:48.314792
288000,1749632228.2230346,0.008427411317825317,302.333961725235,0:05:02.333962
300000,1749632242.1066515,0.008605859242379665,316.2175786495209,0:05:16.217579
312000,1749632255.6989865,0.008795341476798058,329.8099136352539,0:05:29.809914
324000,1749632269.210659,0.009067483246326447,343.32158613204956,0:05:43.321586
336000,1749632282.9388776,0.009033591486513615,357.0498046875,0:05:57.049805
348000,1749632296.386346,0.00886967871338129,370.4972732067108,0:06:10.497273
360000,1749632310.061363,0.008648672141134739,384.1722900867462,0:06:24.172290
372000,1749632323.7157545,0.009149900637567043,397.8266816139221,0:06:37.826682
384000,1749632337.4985394,0.00791906751692295,411.6094665527344,0:06:51.609467
396000,1749632351.1800418,0.009208480827510357,425.2909688949585,0:07:05.290969
408000,1749632364.6719449,0.009067323058843613,438.7828719615936,0:07:18.782872
420000,1749632378.592255,0.00917205773293972,452.703182220459,0:07:32.703182
432000,1749632392.083726,0.008924029767513275,466.1946530342102,0:07:46.194653
444000,1749632405.8824763,0.009144785813987255,479.9934034347534,0:07:59.993403
456000,1749632419.4456673,0.009226709604263306,493.55659437179565,0:08:13.556594
468000,1749632433.3671489,0.008990178816020489,507.47807598114014,0:08:27.478076
480000,1749632447.0989022,0.008785756304860115,521.2098293304443,0:08:41.209829
492000,1749632460.855518,0.008542107418179512,534.9664452075958,0:08:54.966445
504000,1749632474.5934503,0.008984474465250969,548.704377412796,0:09:08.704377
516000,1749632487.9377627,0.00912501011043787,562.0486898422241,0:09:22.048690
528000,1749632501.5142362,0.008432161994278431,575.6251633167267,0:09:35.625163
540000,1749632514.9697263,0.00935851689428091,589.0806534290314,0:09:49.080653
552000,1749632528.3878663,0.00894988514482975,602.4987933635712,0:10:02.498793
564000,1749632541.8265512,0.009321498684585094,615.9374783039093,0:10:15.937478
576000,1749632555.3230345,0.00839261431246996,629.4339616298676,0:10:29.433962
588000,1749632568.8031118,0.009269794449210167,642.9140388965607,0:10:42.914039
600000,1749632582.5170453,0.009065510705113411,656.6279723644257,0:10:56.627972
612000,1749632596.2743952,0.009312719106674194,670.3853223323822,0:11:10.385322
624000,1749632609.5514925,0.008519943803548813,683.6624195575714,0:11:23.662420
636000,1749632623.0667772,0.009276064112782478,697.177704334259,0:11:37.177704
648000,1749632636.7470746,0.009317406453192234,710.8580017089844,0:11:50.858002
660000,1749632650.3289168,0.00922782626003027,724.4398438930511,0:12:04.439844
672000,1749632663.7364693,0.008838796988129616,737.8473963737488,0:12:17.847396
684000,1749632677.398043,0.009250190109014511,751.5089700222015,0:12:31.508970
696000,1749632691.0201292,0.008959386497735977,765.1310563087463,0:12:45.131056
708000,1749632704.82345,0.009513916447758675,778.9343771934509,0:12:58.934377
720000,1749632718.4615197,0.009069759398698807,792.5724468231201,0:13:12.572447
732000,1749632732.5458617,0.00939985178411007,806.6567888259888,0:13:26.656789
744000,1749632746.204676,0.009057088755071163,820.315603017807,0:13:40.315603
756000,1749632759.76729,0.0065039279870688915,833.8782172203064,0:13:53.878217
768000,1749632773.3838928,0.008584843017160892,847.4948198795319,0:14:07.494820
780000,1749632787.1252935,0.009773395955562592,861.2362205982208,0:14:21.236221
792000,1749632800.978226,0.008383363485336304,875.0891530513763,0:14:35.089153
804000,1749632814.5751007,0.009820756502449512,888.686027765274,0:14:48.686028
816000,1749632828.2027676,0.009481935761868954,902.3136947154999,0:15:02.313695
828000,1749632841.7332368,0.007563902996480465,915.8441638946533,0:15:15.844164
840000,1749632855.4288268,0.009060151875019073,929.5397539138794,0:15:29.539754
852000,1749632869.015784,0.00644000293686986,943.1267111301422,0:15:43.126711
864000,1749632882.5318558,0.007492437493056059,956.6427829265594,0:15:56.642783
876000,1749632896.2149029,0.007432116661220789,970.3258299827576,0:16:10.325830
888000,1749632910.039923,0.009323724545538425,984.1508500576019,0:16:24.150850
900000,1749632924.0946677,0.008048396557569504,998.2055947780609,0:16:38.205595
912000,1749632937.726354,0.006454719230532646,1011.8372809886932,0:16:51.837281
924000,1749632952.0332196,0.0064309341832995415,1026.144146680832,0:17:06.144147
936000,1749632966.3452365,0.009053023532032967,1040.4561636447906,0:17:20.456164
948000,1749632980.7292006,0.009421488270163536,1054.8401277065277,0:17:34.840128
960000,1749632994.7055144,0.009846855886280537,1068.8164415359497,0:17:48.816442
972000,1749633009.1340764,0.009223942644894123,1083.2450034618378,0:18:03.245003
984000,1749633022.8724773,0.009577520191669464,1096.9834043979645,0:18:16.983404
996000,1749633036.8320334,0.007623896934092045,1110.9429605007172,0:18:30.942961
1008000,1749633050.6042333,0.009804642759263515,1124.715160369873,0:18:44.715160
1020000,1749633064.4006267,0.009905352257192135,1138.5115537643433,0:18:58.511554
1032000,1749633078.1095927,0.00898456759750843,1152.2205197811127,0:19:12.220520
1044000,1749633091.674801,0.0093453424051404,1165.7857282161713,0:19:25.785728
1056000,1749633105.2903662,0.009642286226153374,1179.4012932777405,0:19:39.401293
1068000,1749633119.0331507,0.008052580989897251,1193.1440777778625,0:19:53.144078
1080000,1749633132.463235,0.006858399137854576,1206.5741620063782,0:20:06.574162
1092000,1749633146.0467832,0.009644662030041218,1220.157710313797,0:20:20.157710
1104000,1749633159.498809,0.0061877816915512085,1233.6097362041473,0:20:33.609736
1116000,1749633173.3486786,0.00896341260522604,1247.4596056938171,0:20:47.459606
1128000,1749633186.7808187,0.006696491036564112,1260.8917458057404,0:21:00.891746
1140000,1749633200.4255803,0.004127598367631435,1274.5365073680878,0:21:14.536507
1152000,1749633214.171577,0.0,1288.282504081726,0:21:28.282504
1164000,1749633227.8556979,0.0,1301.9666249752045,0:21:41.966625
1176000,1749633241.5534823,0.00023910125310067087,1315.6644093990326,0:21:55.664409
1188000,1749633255.0261223,0.0,1329.1370494365692,0:22:09.137049
1200000,1749633268.7911336,0.0005835168994963169,1342.9020607471466,0:22:22.902061
1212000,1749633282.270502,0.004662897903472185,1356.381429195404,0:22:36.381429
1224000,1749633295.86106,0.006247053388506174,1369.9719870090485,0:22:49.971987
1236000,1749633309.5666866,0.009273438714444637,1383.677613735199,0:23:03.677614
1248000,1749633322.9543676,0.009138619527220726,1397.0652947425842,0:23:17.065295
1260000,1749633336.4126668,0.00889991968870163,1410.523593902588,0:23:30.523594
1272000,1749633349.9816153,0.0086674764752388,1424.0925424098969,0:23:44.092542
1284000,1749633363.560764,0.006287505384534597,1437.6716911792755,0:23:57.671691
1296000,1749633377.11006,0.006565628107637167,1451.2209870815277,0:24:11.220987
1308000,1749633390.3294294,0.009710091166198254,1464.4403564929962,0:24:24.440356
1320000,1749633403.9830945,0.009109420701861382,1478.0940215587616,0:24:38.094022
1332000,1749633417.5713859,0.008509066887199879,1491.682312965393,0:24:51.682313
1344000,1749633431.2577648,0.0073496317490935326,1505.3686919212341,0:25:05.368692
1356000,1749633444.8099954,0.009872532449662685,1518.9209225177765,0:25:18.920923
1368000,1749633458.4472878,0.009390956722199917,1532.5582149028778,0:25:32.558215
