step,wall_time,train_policy_gradient_loss,relative_seconds,relative_time
24000,1749953612.136177,-0.001881106523796916,0.0,0:00:00
36000,1749953629.0148678,-0.0018288155551999807,16.878690719604492,0:00:16.878691
48000,1749953647.6109707,-0.0023392767179757357,35.474793672561646,0:00:35.474794
60000,1749953664.6547139,-0.0012210524873808026,52.51853680610657,0:00:52.518537
72000,1749953681.0481868,-0.0014331447891891003,68.91200971603394,0:01:08.912010
84000,1749953697.3012817,-0.0017118509858846664,85.16510462760925,0:01:25.165105
96000,1749953713.7323697,-0.0015489020152017474,101.5961925983429,0:01:41.596193
108000,1749953729.911519,-0.0021073510870337486,117.77534198760986,0:01:57.775342
120000,1749953746.360321,-0.0017611900111660361,134.2241439819336,0:02:14.224144
132000,1749953762.3197896,-0.0020525017753243446,150.18361258506775,0:02:30.183613
144000,1749953778.5043035,-0.0016822085017338395,166.3681263923645,0:02:46.368126
156000,1749953795.3367386,-0.0030157221481204033,183.2005615234375,0:03:03.200562
168000,1749953817.9903498,-0.002862260676920414,205.854172706604,0:03:25.854173
180000,1749953835.1723225,-0.0027894361410290003,223.0361454486847,0:03:43.036145
192000,1749953852.3454447,-0.0027053640224039555,240.20926761627197,0:04:00.209268
204000,1749953869.3612063,-0.003041032003238797,257.2250292301178,0:04:17.225029
216000,1749953886.1352057,-0.0038782129995524883,273.99902868270874,0:04:33.999029
228000,1749953903.7521083,-0.005271462723612785,291.6159312725067,0:04:51.615931
240000,1749953921.4553616,-0.0038867779076099396,309.31918454170227,0:05:09.319185
252000,1749953938.6460047,-0.004312330391258001,326.50982761383057,0:05:26.509828
264000,1749953955.6555207,-0.004364521708339453,343.51934361457825,0:05:43.519344
276000,1749953972.5541148,-0.006430752109736204,360.4179377555847,0:06:00.417938
288000,1749953989.9998517,-0.005378093104809523,377.8636746406555,0:06:17.863675
300000,1749954008.2723298,-0.007183254696428776,396.1361527442932,0:06:36.136153
312000,1749954025.7341638,-0.008036460727453232,413.59798669815063,0:06:53.597987
324000,1749954042.8328683,-0.00725094648078084,430.69669127464294,0:07:10.696691
336000,1749954059.9118328,-0.007850932888686657,447.77565574645996,0:07:27.775656
348000,1749954077.2528946,-0.0072927032597362995,465.1167175769806,0:07:45.116718
360000,1749954094.9240444,-0.010161969810724258,482.78786730766296,0:08:02.787867
372000,1749954113.033257,-0.009440331719815731,500.8970799446106,0:08:20.897080
384000,1749954130.113893,-0.010862844996154308,517.9777159690857,0:08:37.977716
396000,1749954147.3023562,-0.010451831854879856,535.1661791801453,0:08:55.166179
408000,1749954164.1603816,-0.010455108247697353,552.024204492569,0:09:12.024204
420000,1749954180.847222,-0.014113442040979862,568.7110450267792,0:09:28.711045
432000,1749954197.6672235,-0.016063213348388672,585.5310463905334,0:09:45.531046
444000,1749954215.1538393,-0.015860818326473236,603.0176622867584,0:10:03.017662
456000,1749954232.4746716,-0.01568690501153469,620.3384945392609,0:10:20.338495
468000,1749954249.0248384,-0.017767583951354027,636.8886613845825,0:10:36.888661
480000,1749954265.7965634,-0.019083376973867416,653.6603863239288,0:10:53.660386
492000,1749954293.6995995,-0.018496789038181305,681.5634224414825,0:11:21.563422
504000,1749954311.1925886,-0.010073252953588963,699.0564115047455,0:11:39.056412
516000,1749954328.017313,-0.0043359785340726376,715.8811359405518,0:11:55.881136
528000,1749954345.0153818,-0.0024748987052589655,732.879204750061,0:12:12.879205
540000,1749954361.9825761,-0.0029031222220510244,749.8463990688324,0:12:29.846399
552000,1749954379.0919468,-0.0024444020818918943,766.955769777298,0:12:46.955770
564000,1749954396.920923,-0.0036118770949542522,784.7847459316254,0:13:04.784746
576000,1749954422.8928823,-0.0015442818403244019,810.7567052841187,0:13:30.756705
588000,1749954440.127297,-0.0013840275350958109,827.9911198616028,0:13:47.991120
600000,1749954457.236257,-0.0021560396999120712,845.1000800132751,0:14:05.100080
612000,1749954474.308078,-0.0006700049852952361,862.1719009876251,0:14:22.171901
624000,1749954491.971189,-0.0002539242268539965,879.8350119590759,0:14:39.835012
636000,1749954509.786826,-0.0003165056405123323,897.6506488323212,0:14:57.650649
648000,1749954526.7324965,-0.0003608326951507479,914.596319437027,0:15:14.596319
660000,1749954543.4281554,-0.0004056273610331118,931.2919783592224,0:15:31.291978
672000,1749954560.4912283,-0.00039531581569463015,948.355051279068,0:15:48.355051
684000,1749954577.6875582,-0.0005464157438836992,965.551381111145,0:16:05.551381
696000,1749954594.9541643,-0.0006886060000397265,982.817987203598,0:16:22.817987
708000,1749954612.6996253,-0.00016675189544912428,1000.5634481906891,0:16:40.563448
720000,1749954629.9378743,-0.0012965279165655375,1017.8016972541809,0:16:57.801697
732000,1749954647.009857,-0.002320429775863886,1034.8736798763275,0:17:14.873680
744000,1749954663.9176238,-0.003031162777915597,1051.7814466953278,0:17:31.781447
756000,1749954680.8356614,-0.0033029811456799507,1068.6994843482971,0:17:48.699484
768000,1749954697.7610936,-0.0003311198961455375,1085.6249165534973,0:18:05.624917
780000,1749954715.8899589,-0.000526197487488389,1103.7537817955017,0:18:23.753782
792000,1749954733.291523,-0.001324811135418713,1121.155345916748,0:18:41.155346
804000,1749954750.2573373,-0.002557041822001338,1138.1211602687836,0:18:58.121160
816000,1749954767.2083275,-0.001605978817678988,1155.0721504688263,0:19:15.072150
828000,1749954784.223383,-0.0022069569677114487,1172.0872058868408,0:19:32.087206
840000,1749954801.2655365,-0.0011294545838609338,1189.1293594837189,0:19:49.129359
852000,1749954819.2239227,-0.00314488192088902,1207.087745666504,0:20:07.087746
864000,1749954836.9755888,-0.0007901680073700845,1224.8394117355347,0:20:24.839412
876000,1749954853.9230216,-0.0029778333846479654,1241.7868444919586,0:20:41.786844
888000,1749954871.0340858,-0.0031023300252854824,1258.8979086875916,0:20:58.897909
900000,1749954887.9551992,-0.005303371697664261,1275.81902217865,0:21:15.819022
912000,1749954904.9715972,-0.007289834786206484,1292.8354201316833,0:21:32.835420
924000,1749954922.4816172,-0.002634745556861162,1310.3454401493073,0:21:50.345440
936000,1749954940.0914772,-0.0017486147116869688,1327.9553000926971,0:22:07.955300
948000,1749954957.0515172,-0.001957090338692069,1344.9153401851654,0:22:24.915340
960000,1749954974.171763,-0.007263129111379385,1362.0355858802795,0:22:42.035586
972000,1749954991.2206135,-0.003659880254417658,1379.084436416626,0:22:59.084436
984000,1749955008.1117234,-0.0010192934423685074,1395.9755463600159,0:23:15.975546
996000,1749955032.4405067,-0.001527658780105412,1420.3043296337128,0:23:40.304330
1008000,1749955050.637114,-0.0027355318889021873,1438.5009369850159,0:23:58.500937
1020000,1749955067.7782462,-0.00345692690461874,1455.6420691013336,0:24:15.642069
1032000,1749955084.694873,-0.0029898625798523426,1472.5586960315704,0:24:32.558696
1044000,1749955101.8885665,-0.005488313268870115,1489.7523894309998,0:24:49.752389
1056000,1749955119.5070627,-0.002777358517050743,1507.3708856105804,0:25:07.370886
1068000,1749955136.5790527,-0.0018590828403830528,1524.442875623703,0:25:24.442876
1080000,1749955153.0024772,-0.0008355386089533567,1540.8663001060486,0:25:40.866300
1092000,1749955169.9764907,-0.0014934887876734138,1557.8403136730194,0:25:57.840314
1104000,1749955186.9773548,-0.0010639341780915856,1574.84117770195,0:26:14.841178
1116000,1749955203.7196784,-0.0025545579846948385,1591.5835013389587,0:26:31.583501
