step,wall_time,train_approx_kl,relative_seconds,relative_time
24000,1749953612.1360047,0.0014430084265768528,0.0,0:00:00
36000,1749953629.0142117,0.0014129751361906528,16.878206968307495,0:00:16.878207
48000,1749953647.6108234,0.0017509093740954995,35.47481870651245,0:00:35.474819
60000,1749953664.654616,0.0008988960762508214,52.518611431121826,0:00:52.518611
72000,1749953681.0480247,0.0010872238781303167,68.91201996803284,0:01:08.912020
84000,1749953697.3011107,0.0013037507887929678,85.16510605812073,0:01:25.165106
96000,1749953713.7322721,0.0012534644920378923,101.59626746177673,0:01:41.596267
108000,1749953729.9114084,0.0016970066353678703,117.77540373802185,0:01:57.775404
120000,1749953746.3601403,0.0015466130571439862,134.22413563728333,0:02:14.224136
132000,1749953762.319679,0.0018125337082892656,150.18367433547974,0:02:30.183674
144000,1749953778.504165,0.001504436251707375,166.36816024780273,0:02:46.368160
156000,1749953795.336586,0.0029393211007118225,183.20058131217957,0:03:03.200581
168000,1749953817.9901164,0.0029699732549488544,205.85411167144775,0:03:25.854112
180000,1749953835.1721308,0.002886961679905653,223.03612613677979,0:03:43.036126
192000,1749953852.3453476,0.0029303119517862797,240.20934295654297,0:04:00.209343
204000,1749953869.3610375,0.0032981950789690018,257.2250328063965,0:04:17.225033
216000,1749953886.1350489,0.004273220896720886,273.9990441799164,0:04:33.999044
228000,1749953903.7519357,0.0053691561333835125,291.61593103408813,0:04:51.615931
240000,1749953921.4552648,0.004577558487653732,309.31926012039185,0:05:09.319260
252000,1749953938.645795,0.004976195283234119,326.5097904205322,0:05:26.509790
264000,1749953955.6554081,0.0052987923845648766,343.5194034576416,0:05:43.519403
276000,1749953972.5539386,0.006604153662919998,360.41793394088745,0:06:00.417934
288000,1749953989.9996665,0.00577855808660388,377.86366176605225,0:06:17.863662
300000,1749954008.2721775,0.006736292503774166,396.13617277145386,0:06:36.136173
312000,1749954025.733967,0.007042424287647009,413.59796237945557,0:06:53.597962
324000,1749954042.8326366,0.006900906562805176,430.69663190841675,0:07:10.696632
336000,1749954059.9116714,0.007208032067865133,447.7756667137146,0:07:27.775667
348000,1749954077.2527423,0.006453978829085827,465.11673760414124,0:07:45.116738
360000,1749954094.9238775,0.007872270420193672,482.7878727912903,0:08:02.787873
372000,1749954113.0330966,0.007439035922288895,500.89709186553955,0:08:20.897092
384000,1749954130.1137853,0.007819345220923424,517.9777805805206,0:08:37.977781
396000,1749954147.302259,0.007478503044694662,535.1662542819977,0:08:55.166254
408000,1749954164.1602292,0.007265385240316391,552.0242245197296,0:09:12.024225
420000,1749954180.8471165,0.008588369004428387,568.7111117839813,0:09:28.711112
432000,1749954197.6670654,0.009291836060583591,585.5310606956482,0:09:45.531061
444000,1749954215.1536927,0.008602632209658623,603.017688035965,0:10:03.017688
456000,1749954232.474519,0.009146139025688171,620.3385143280029,0:10:20.338514
468000,1749954249.0246797,0.00947030819952488,636.8886749744415,0:10:36.888675
480000,1749954265.7963946,0.010761047713458538,653.6603899002075,0:10:53.660390
492000,1749954293.6994493,0.010218897834420204,681.5634446144104,0:11:21.563445
504000,1749954311.1924002,0.010099685750901699,699.0563955307007,0:11:39.056396
516000,1749954328.017018,0.004877270199358463,715.8810133934021,0:11:55.881013
528000,1749954345.01521,0.0045132762752473354,732.8792052268982,0:12:12.879205
540000,1749954361.982419,0.004397024400532246,749.8464143276215,0:12:29.846414
552000,1749954379.091848,0.004368722438812256,766.9558432102203,0:12:46.955843
564000,1749954396.9207716,0.005023318342864513,784.7847669124603,0:13:04.784767
576000,1749954422.8927748,0.0039010103791952133,810.7567701339722,0:13:30.756770
588000,1749954440.1271832,0.0032607477623969316,827.9911785125732,0:13:47.991179
600000,1749954457.2361593,0.0036554269026964903,845.1001546382904,0:14:05.100155
612000,1749954474.3078785,0.0004278621054254472,862.1718738079071,0:14:22.171874
624000,1749954491.971033,0.0001387747615808621,879.8350284099579,0:14:39.835028
636000,1749954509.7867155,0.0002459619427099824,897.6507108211517,0:14:57.650711
648000,1749954526.7323232,0.00028075615409761667,914.5963184833527,0:15:14.596318
660000,1749954543.4280596,0.0002894203062169254,931.2920548915863,0:15:31.292055
672000,1749954560.491117,0.0004811726976186037,948.3551123142242,0:15:48.355112
684000,1749954577.6874533,0.0011678666342049837,965.5514485836029,0:16:05.551449
696000,1749954594.9539323,0.0017801180947571993,982.8179275989532,0:16:22.817928
708000,1749954612.699472,0.00017209185170941055,1000.5634672641754,0:16:40.563467
720000,1749954629.9377637,0.001626856392249465,1017.8017590045929,0:16:57.801759
732000,1749954647.0097122,0.00328442151658237,1034.8737075328827,0:17:14.873708
744000,1749954663.9174716,0.004635795019567013,1051.781466960907,0:17:31.781467
756000,1749954680.8355618,0.005013342015445232,1068.6995570659637,0:17:48.699557
768000,1749954697.7609022,0.0012342779664322734,1085.624897480011,0:18:05.624897
780000,1749954715.8898127,0.0006325772847048938,1103.7538080215454,0:18:23.753808
792000,1749954733.2914147,0.002574486192315817,1121.1554100513458,0:18:41.155410
804000,1749954750.257188,0.005206816364079714,1138.1211833953857,0:18:58.121183
816000,1749954767.2081933,0.0029318598099052906,1155.072188615799,0:19:15.072189
828000,1749954784.2232842,0.0046984730288386345,1172.0872795581818,0:19:32.087280
840000,1749954801.26543,0.0035787238739430904,1189.1294252872467,0:19:49.129425
852000,1749954819.2237642,0.005288474261760712,1207.0877594947815,0:20:07.087759
864000,1749954836.9754899,0.0022861245088279247,1224.839485168457,0:20:24.839485
876000,1749954853.9228477,0.004703165031969547,1241.7868430614471,0:20:41.786843
888000,1749954871.0338776,0.006818383000791073,1258.8978729248047,0:20:58.897873
900000,1749954887.955077,0.006234629545360804,1275.8190722465515,0:21:15.819072
912000,1749954904.9712157,0.007905194535851479,1292.8352110385895,0:21:32.835211
924000,1749954922.4814708,0.005311870016157627,1310.3454661369324,0:21:50.345466
936000,1749954940.0913012,0.004961351398378611,1327.9552965164185,0:22:07.955297
948000,1749954957.0514188,0.004582086578011513,1344.915414094925,0:22:24.915414
960000,1749954974.171666,0.00737406313419342,1362.0356612205505,0:22:42.035661
972000,1749954991.2204309,0.005274290684610605,1379.084426164627,0:22:59.084426
984000,1749955008.1116014,0.0039292918518185616,1395.975596666336,0:23:15.975597
996000,1749955032.4401522,0.0043545798398554325,1420.3041474819183,0:23:40.304147
1008000,1749955050.6369352,0.005982504226267338,1438.5009305477142,0:23:58.500931
1020000,1749955067.7780797,0.006197118200361729,1455.642075061798,0:24:15.642075
1032000,1749955084.694666,0.004556995816528797,1472.5586612224579,0:24:32.558661
1044000,1749955101.888412,0.007655877619981766,1489.7524073123932,0:24:49.752407
1056000,1749955119.5068994,0.006127579137682915,1507.3708946704865,0:25:07.370895
1068000,1749955136.578836,0.006038127467036247,1524.4428312778473,0:25:24.442831
1080000,1749955153.0023785,0.003543401835486293,1540.8663737773895,0:25:40.866374
1092000,1749955169.9763389,0.0032261800952255726,1557.8403341770172,0:25:57.840334
1104000,1749955186.9772599,0.0032540366519242525,1574.8412551879883,0:26:14.841255
1116000,1749955203.7195215,0.004943558014929295,1591.5835168361664,0:26:31.583517
1128000,1749955220.8205922,0.004594503901898861,1608.6845874786377,0:26:48.684587
1140000,1749955238.0178328,0.005414849147200584,1625.881828069687,0:27:05.881828
1152000,1749955255.2647562,0.004473388660699129,1643.1287515163422,0:27:23.128752
1164000,1749955272.2244859,0.005243312101811171,1660.0884811878204,0:27:40.088481
1176000,1749955289.2404795,0.0074073076248168945,1677.1044747829437,0:27:57.104475
1188000,1749955306.567547,0.006349117960780859,1694.4315423965454,0:28:14.431542
1200000,1749955323.631231,0.009547971189022064,1711.4952263832092,0:28:31.495226
1212000,1749955340.9703484,0.005600843578577042,1728.8343436717987,0:28:48.834344
1224000,1749955359.1024659,0.008985857479274273,1746.9664611816406,0:29:06.966461
1236000,1749955376.1488233,0.004978909157216549,1764.0128185749054,0:29:24.012819
1248000,1749955392.619942,0.005627759732306004,1780.4839372634888,0:29:40.483937
1260000,1749955409.4348242,0.0037416419945657253,1797.2988195419312,0:29:57.298820
1272000,1749955426.3760448,0.005427959840744734,1814.240040063858,0:30:14.240040
1284000,1749955443.1738608,0.005297532305121422,1831.0378561019897,0:30:31.037856
1296000,1749955461.3931656,0.004094182513654232,1849.2571609020233,0:30:49.257161
1308000,1749955479.5412998,0.005578217096626759,1867.4052951335907,0:31:07.405295
1320000,1749955496.9168208,0.0052401041612029076,1884.780816078186,0:31:24.780816
1332000,1749955514.5944688,0.003526901826262474,1902.4584641456604,0:31:42.458464
1344000,1749955531.9885244,0.0056701344437897205,1919.852519750595,0:31:59.852520
1356000,1749955550.112362,0.004951217211782932,1937.9763572216034,0:32:17.976357
1368000,1749955568.3645432,0.006601025816053152,1956.2285385131836,0:32:36.228539
1380000,1749955585.9928176,0.007153065409511328,1973.856812953949,0:32:53.856813
1392000,1749955603.402076,0.004065976478159428,1991.26607131958,0:33:11.266071
1404000,1749955620.5644822,0.004544885829091072,2008.428477525711,0:33:28.428478
1416000,1749955638.859505,0.0037682089023292065,2026.72350025177,0:33:46.723500
1428000,1749955661.9198158,0.0041143265552818775,2049.7838110923767,0:34:09.783811
1440000,1749955679.307627,0.00607307767495513,2067.171622276306,0:34:27.171622
1452000,1749955696.817611,0.007816238328814507,2084.6816062927246,0:34:44.681606
1464000,1749955714.058634,0.0063009546138346195,2101.9226293563843,0:35:01.922629
1476000,1749955731.6126273,0.004440451506525278,2119.476622581482,0:35:19.476623
1488000,1749955750.2336411,0.006322174333035946,2138.097636461258,0:35:38.097636
1500000,1749955767.4307015,0.008319638669490814,2155.2946968078613,0:35:55.294697
1512000,1749955784.991187,0.009804483503103256,2172.8551824092865,0:36:12.855182
1524000,1749955802.176947,0.00816783495247364,2190.040942430496,0:36:30.040942
1536000,1749955819.3385382,0.004790975712239742,2207.2025334835052,0:36:47.202533
1548000,1749955837.1503375,0.0074227964505553246,2225.0143327713013,0:37:05.014333
1560000,1749955854.978385,0.006214397959411144,2242.842380285263,0:37:22.842380
1572000,1749955872.1855736,0.008993277326226234,2260.0495688915253,0:37:40.049569
1584000,1749955889.3209565,0.005256191827356815,2277.1849517822266,0:37:57.184952
1596000,1749955906.7064288,0.0056035020388662815,2294.570424079895,0:38:14.570424
1608000,1749955924.0261915,0.0073639461770653725,2311.8901867866516,0:38:31.890187
1620000,1749955942.3008764,0.006117293145507574,2330.1648716926575,0:38:50.164872
1632000,1749955960.3130982,0.007315664552152157,2348.1770935058594,0:39:08.177094
1644000,1749955977.726548,0.004472335334867239,2365.590543270111,0:39:25.590543
1656000,1749955995.0109146,0.005518539808690548,2382.874909877777,0:39:42.874910
1668000,1749956012.2962754,0.0038071204908192158,2400.160270690918,0:40:00.160271
1680000,1749956030.191308,0.008148915134370327,2418.05530333519,0:40:18.055303
1692000,1749956048.9935672,0.005548517685383558,2436.8575625419617,0:40:36.857563
1704000,1749956066.503689,0.005342565476894379,2454.367684364319,0:40:54.367684
1716000,1749956083.8247378,0.0052245007827878,2471.688733100891,0:41:11.688733
1728000,1749956101.0661662,0.006436324678361416,2488.9301614761353,0:41:28.930161
1740000,1749956118.657997,0.006850818637758493,2506.5219922065735,0:41:46.521992
1752000,1749956137.4055343,0.008539105765521526,2525.26952958107,0:42:05.269530
1764000,1749956154.6613858,0.009385070763528347,2542.525381088257,0:42:22.525381
1776000,1749956171.8002903,0.009077978320419788,2559.66428565979,0:42:39.664286
1788000,1749956188.988318,0.006944259162992239,2576.8523132801056,0:42:56.852313
1800000,1749956206.5858078,0.01146604958921671,2594.4498031139374,0:43:14.449803
1812000,1749956224.5168593,0.006128768436610699,2612.3808546066284,0:43:32.380855
1824000,1749956242.5422292,0.006090593058615923,2630.406224489212,0:43:50.406224
1836000,1749956259.9658988,0.012047868221998215,2647.829894065857,0:44:07.829894
1848000,1749956277.4266696,0.0097908154129982,2665.29066491127,0:44:25.290665
1860000,1749956294.7219598,0.0063523538410663605,2682.585955142975,0:44:42.585955
1872000,1749956312.7446623,0.007344498299062252,2700.6086575984955,0:45:00.608658
1884000,1749956331.6790884,0.008156060241162777,2719.543083667755,0:45:19.543084
1896000,1749956349.1773467,0.01442713476717472,2737.041342020035,0:45:37.041342
1908000,1749956366.206691,0.009494406171143055,2754.070686340332,0:45:54.070686
1920000,1749956383.1571975,0.0059830849058926105,2771.0211927890778,0:46:11.021193
1932000,1749956399.962349,0.007173903286457062,2787.8263442516327,0:46:27.826344
1944000,1749956417.7058458,0.007204446010291576,2805.569841146469,0:46:45.569841
1956000,1749956435.600829,0.007800079882144928,2823.4648241996765,0:47:03.464824
1968000,1749956453.039344,0.010593956336379051,2840.9033393859863,0:47:20.903339
1980000,1749956469.9604034,0.00906984694302082,2857.824398756027,0:47:37.824399
1992000,1749956486.9962208,0.005873226560652256,2874.860216140747,0:47:54.860216
2004000,1749956503.832117,0.008970754221081734,2891.696112394333,0:48:11.696112
2016000,1749956520.647732,0.0038434849120676517,2908.511727333069,0:48:28.511727
2028000,1749956538.1010516,0.007845419459044933,2925.9650468826294,0:48:45.965047
2040000,1749956555.4428425,0.0070839570835232735,2943.306837797165,0:49:03.306838
2052000,1749956572.0926082,0.0062427097000181675,2959.956603527069,0:49:19.956604
2064000,1749956589.0768914,0.010540464892983437,2976.940886735916,0:49:36.940887
2076000,1749956605.6648436,0.010673190467059612,2993.5288388729095,0:49:53.528839
2088000,1749956622.1034706,0.006440566387027502,3009.967465877533,0:50:09.967466
2100000,1749956638.622393,0.01180288940668106,3026.486388206482,0:50:26.486388
2112000,1749956656.4272118,0.012101334519684315,3044.291207075119,0:50:44.291207
2124000,1749956673.9080617,0.006024590227752924,3061.772057056427,0:51:01.772057
2136000,1749956690.933051,0.006385894026607275,3078.7970464229584,0:51:18.797046
2148000,1749956707.9277694,0.015553374774754047,3095.7917647361755,0:51:35.791765
2160000,1749956724.7346005,0.008176682516932487,3112.5985958576202,0:51:52.598596
2172000,1749956741.327653,0.005713497754186392,3129.191648244858,0:52:09.191648
2184000,1749956758.1388502,0.013837379403412342,3146.0028455257416,0:52:26.002846
2196000,1749956776.9939625,0.008897580206394196,3164.857957839966,0:52:44.857958
2208000,1749956794.2815032,0.006357899401336908,3182.1454985141754,0:53:02.145499
2220000,1749956810.992502,0.006287628319114447,3198.8564972877502,0:53:18.856497
2232000,1749956827.9224117,0.009881377220153809,3215.786406993866,0:53:35.786407
2244000,1749956845.0206301,0.008055874146521091,3232.8846254348755,0:53:52.884625
2256000,1749956862.799741,0.0058584813959896564,3250.663736343384,0:54:10.663736
2268000,1749956880.6717894,0.007741751614958048,3268.5357847213745,0:54:28.535785
2280000,1749956897.9431129,0.006097192410379648,3285.8071081638336,0:54:45.807108
