step,wall_time,train_approx_kl,relative_seconds,relative_time
24000,1749655702.6055124,0.0005555518437176943,0.0,0:00:00
36000,1749655713.8591728,0.0011209954973310232,11.253660440444946,0:00:11.253660
48000,1749655725.812637,0.0014541051350533962,23.207124710083008,0:00:23.207125
60000,1749655738.182739,0.0007809774833731353,35.577226638793945,0:00:35.577227
72000,1749655750.0298336,0.0010030560661107302,47.42432117462158,0:00:47.424321
84000,1749655761.8606446,0.001176533754914999,59.25513219833374,0:00:59.255132
96000,1749655773.694202,0.001088635646738112,71.08868956565857,0:01:11.088690
108000,1749655785.5463672,0.0015267155831679702,82.94085478782654,0:01:22.940855
120000,1749655796.956492,0.0013339448487386107,94.3509795665741,0:01:34.350980
132000,1749655808.414775,0.0017140345880761743,105.80926251411438,0:01:45.809263
144000,1749655821.433152,0.0013566056732088327,118.82763957977295,0:01:58.827640
156000,1749655833.5852685,0.002468255814164877,130.97975611686707,0:02:10.979756
168000,1749655845.58137,0.002494814805686474,142.97585773468018,0:02:22.975858
180000,1749655857.6066325,0.0022782855667173862,155.00112009048462,0:02:35.001120
192000,1749655869.5051243,0.002549706492573023,166.89961194992065,0:02:46.899612
204000,1749655881.4307866,0.0030838532838970423,178.82527422904968,0:02:58.825274
216000,1749655893.1634233,0.003669207915663719,190.55791091918945,0:03:10.557911
228000,1749655904.685754,0.005051988177001476,202.08024168014526,0:03:22.080242
240000,1749655916.6599143,0.0044170040637254715,214.05440187454224,0:03:34.054402
252000,1749655928.4861436,0.004475117195397615,225.8806312084198,0:03:45.880631
264000,1749655940.3145294,0.005513157695531845,237.70901703834534,0:03:57.709017
276000,1749655952.1819968,0.006647322326898575,249.5764844417572,0:04:09.576484
288000,1749655964.0591648,0.00643267622217536,261.453652381897,0:04:21.453652
300000,1749655975.9191341,0.0070822350680828094,273.3136217594147,0:04:33.313622
312000,1749655987.1458714,0.007629106752574444,284.54035902023315,0:04:44.540359
324000,1749655998.8753736,0.007481058593839407,296.2698612213135,0:04:56.269861
336000,1749656010.723333,0.0076842843554914,308.1178205013275,0:05:08.117821
348000,1749656022.4942482,0.007458894047886133,319.8887357711792,0:05:19.888736
360000,1749656034.2587323,0.008398910984396935,331.6532199382782,0:05:31.653220
372000,1749656046.061978,0.008813304826617241,343.45646572113037,0:05:43.456466
384000,1749656057.8362663,0.008985674008727074,355.2307538986206,0:05:55.230754
396000,1749656068.9654014,0.00878789834678173,366.35988903045654,0:06:06.359889
408000,1749656080.4417443,0.00895716529339552,377.8362319469452,0:06:17.836232
420000,1749656092.3459322,0.009715531021356583,389.74041986465454,0:06:29.740420
432000,1749656104.0584383,0.01055128127336502,401.45292592048645,0:06:41.452926
444000,1749656115.8275537,0.00913610216230154,413.2220413684845,0:06:53.222041
456000,1749656127.5715218,0.009617431089282036,424.9660093784332,0:07:04.966009
468000,1749656139.2599378,0.007150154560804367,436.65442538261414,0:07:16.654425
480000,1749656150.352337,0.005608709063380957,447.74682450294495,0:07:27.746825
492000,1749656161.862152,0.006377984769642353,459.2566397190094,0:07:39.256640
504000,1749656173.8242195,0.006167988292872906,471.21870708465576,0:07:51.218707
516000,1749656185.7357433,0.005500408820807934,483.1302309036255,0:08:03.130231
528000,1749656198.5818348,0.004594163037836552,495.97632241249084,0:08:15.976322
540000,1749656210.5367002,0.005416376516222954,507.9311878681183,0:08:27.931188
552000,1749656222.263299,0.005744311027228832,519.6577866077423,0:08:39.657787
564000,1749656233.6603115,0.004846157971769571,531.054799079895,0:08:51.054799
576000,1749656244.971414,0.007247018627822399,542.3659017086029,0:09:02.365902
588000,1749656256.7522345,0.00757121155038476,554.1467220783234,0:09:14.146722
600000,1749656268.613584,0.0052075814455747604,566.0080716609955,0:09:26.008072
612000,1749656280.467954,0.005198217462748289,577.8624415397644,0:09:37.862442
624000,1749656292.3513057,0.004291833378374577,589.7457933425903,0:09:49.745793
636000,1749656304.2462833,0.006906461901962757,601.6407709121704,0:10:01.640771
648000,1749656315.8926227,0.0043029701337218285,613.2871103286743,0:10:13.287110
660000,1749656327.1454458,0.006702288053929806,624.5399334430695,0:10:24.539933
672000,1749656338.8899405,0.0006256575579755008,636.2844281196594,0:10:36.284428
684000,1749656350.6648626,5.772229633294046e-05,648.0593502521515,0:10:48.059350
696000,1749656362.4254398,4.661530692828819e-05,659.8199274539948,0:10:59.819927
