step,wall_time,ep_len_mean,relative_seconds,relative_time
12000,1749614054.9209461,24.0,0.0,0:00:00
24000,1749614074.5752468,24.0,19.654300689697266,0:00:19.654301
36000,1749614094.7717724,24.0,39.850826263427734,0:00:39.850826
48000,1749614115.7539525,24.0,60.833006381988525,0:01:00.833006
60000,1749614136.078329,24.0,81.15738296508789,0:01:21.157383
72000,1749614155.3252118,24.0,100.40426564216614,0:01:40.404266
84000,1749614177.2289402,24.0,122.30799412727356,0:02:02.307994
96000,1749614197.3966696,24.0,142.47572350502014,0:02:22.475724
108000,1749614217.978587,24.0,163.05764079093933,0:02:43.057641
120000,1749614239.8467422,24.0,184.9257960319519,0:03:04.925796
132000,1749614260.5860438,24.0,205.66509771347046,0:03:25.665098
144000,1749614284.1397524,24.0,229.21880626678467,0:03:49.218806
156000,1749614305.1199207,24.0,250.198974609375,0:04:10.198975
168000,1749614327.5209224,24.0,272.59997630119324,0:04:32.599976
180000,1749614348.2947931,24.0,293.37384700775146,0:04:53.373847
192000,1749614368.8441226,24.0,313.9231765270233,0:05:13.923177
204000,1749614391.0534985,24.0,336.1325523853302,0:05:36.132552
216000,1749614410.4333403,24.0,355.5123941898346,0:05:55.512394
228000,1749614432.1182482,24.0,377.1973021030426,0:06:17.197302
240000,1749614453.6480963,24.0,398.7271502017975,0:06:38.727150
252000,1749614475.0241334,24.0,420.1031873226166,0:07:00.103187
264000,1749614497.5113084,24.0,442.59036231040955,0:07:22.590362
276000,1749614518.338772,24.0,463.4178259372711,0:07:43.417826
288000,1749614538.6986332,24.0,483.7776870727539,0:08:03.777687
300000,1749614559.3607101,24.0,504.43976402282715,0:08:24.439764
312000,1749614578.6034868,24.0,523.6825406551361,0:08:43.682541
324000,1749614598.4510448,24.0,543.5300986766815,0:09:03.530099
336000,1749614618.9658246,24.0,564.0448784828186,0:09:24.044878
348000,1749614638.5140254,24.0,583.593079328537,0:09:43.593079
360000,1749614658.1021514,24.0,603.1812052726746,0:10:03.181205
372000,1749614678.2992277,24.0,623.3782815933228,0:10:23.378282
384000,1749614697.2699971,24.0,642.3490509986877,0:10:42.349051
396000,1749614716.7039118,24.0,661.7829656600952,0:11:01.782966
408000,1749614738.2403882,24.0,683.3194420337677,0:11:23.319442
420000,1749614757.4654062,24.0,702.5444600582123,0:11:42.544460
432000,1749614777.2442706,24.0,722.3233244419098,0:12:02.323324
444000,1749614798.9574344,24.0,744.0364882946014,0:12:24.036488
456000,1749614819.692001,24.0,764.771054983139,0:12:44.771055
468000,1749614841.5318995,24.0,786.6109533309937,0:13:06.610953
480000,1749614862.8350658,24.0,807.914119720459,0:13:27.914120
492000,1749614883.8483257,24.0,828.9273796081543,0:13:48.927380
504000,1749614906.2081892,24.0,851.2872431278229,0:14:11.287243
516000,1749614925.5152404,24.0,870.5942943096161,0:14:30.594294
528000,1749614944.5077944,24.0,889.5868482589722,0:14:49.586848
540000,1749614967.5141537,24.0,912.5932075977325,0:15:12.593208
552000,1749614987.523452,24.0,932.6025059223175,0:15:32.602506
564000,1749615008.64479,24.0,953.7238438129425,0:15:53.723844
576000,1749615028.9187832,24.0,973.9978370666504,0:16:13.997837
588000,1749615049.7772038,24.0,994.8562576770782,0:16:34.856258
600000,1749615071.6567914,24.0,1016.7358453273773,0:16:56.735845
612000,1749615093.2297003,24.0,1038.3087542057037,0:17:18.308754
624000,1749615115.6968713,24.0,1060.7759251594543,0:17:40.775925
636000,1749615136.4727354,24.0,1081.5517892837524,0:18:01.551789
648000,1749615156.539487,24.0,1101.618540763855,0:18:21.618541
660000,1749615177.8857424,24.0,1122.9647963047028,0:18:42.964796
672000,1749615198.8314683,24.0,1143.910522222519,0:19:03.910522
684000,1749615220.0322523,24.0,1165.1113061904907,0:19:25.111306
696000,1749615242.18224,24.0,1187.261293888092,0:19:47.261294
708000,1749615262.7470489,24.0,1207.826102733612,0:20:07.826103
720000,1749615285.3891306,24.0,1230.4681844711304,0:20:30.468184
732000,1749615305.0511234,24.0,1250.1301772594452,0:20:50.130177
744000,1749615327.1784878,24.0,1272.2575416564941,0:21:12.257542
756000,1749615349.197046,24.0,1294.2760999202728,0:21:34.276100
768000,1749615369.5344818,24.0,1314.613535642624,0:21:54.613536
780000,1749615391.7390692,24.0,1336.818123102188,0:22:16.818123
792000,1749615412.359286,24.0,1357.4383399486542,0:22:37.438340
804000,1749615433.4693086,24.0,1378.548362493515,0:22:58.548362
816000,1749615455.2162335,24.0,1400.2952873706818,0:23:20.295287
828000,1749615475.6724072,24.0,1420.7514610290527,0:23:40.751461
840000,1749615497.728528,24.0,1442.8075819015503,0:24:02.807582
852000,1749615517.4839218,24.0,1462.5629756450653,0:24:22.562976
864000,1749615540.7660851,24.0,1485.8451390266418,0:24:45.845139
876000,1749615562.5254529,24.0,1507.6045067310333,0:25:07.604507
888000,1749615583.386448,24.0,1528.4655017852783,0:25:28.465502
900000,1749615605.2390153,24.0,1550.3180692195892,0:25:50.318069
912000,1749615624.5298724,24.0,1569.6089262962341,0:26:09.608926
924000,1749615645.8382516,24.0,1590.917305469513,0:26:30.917305
936000,1749615668.959401,24.0,1614.0384547710419,0:26:54.038455
948000,1749615696.454534,24.0,1641.5335879325867,0:27:21.533588
960000,1749615718.421619,24.0,1663.5006728172302,0:27:43.500673
972000,1749615738.9337122,24.0,1684.012766122818,0:28:04.012766
984000,1749615761.3958528,24.0,1706.4749066829681,0:28:26.474907
996000,1749615781.977495,24.0,1727.056548833847,0:28:47.056549
1008000,1749615804.8603537,24.0,1749.9394075870514,0:29:09.939408
1020000,1749615825.5597944,24.0,1770.6388483047485,0:29:30.638848
1032000,1749615845.876125,24.0,1790.955178976059,0:29:50.955179
1044000,1749615867.4573236,24.0,1812.5363774299622,0:30:12.536377
1056000,1749615887.3961813,24.0,1832.4752352237701,0:30:32.475235
1068000,1749615908.8863678,24.0,1853.9654216766357,0:30:53.965422
1080000,1749615930.983077,24.0,1876.0621309280396,0:31:16.062131
1092000,1749615952.5114694,24.0,1897.5905232429504,0:31:37.590523
