step,wall_time,train_policy_objective,relative_seconds,relative_time
24000,1749614074.4090679,0.02774505689740181,0.0,0:00:00
36000,1749614094.5902,0.024459227919578552,20.181132078170776,0:00:20.181132
48000,1749614115.571401,0.027358943596482277,41.1623330116272,0:00:41.162333
60000,1749614135.9007306,0.028254278004169464,61.4916627407074,0:01:01.491663
72000,1749614155.1348107,0.033449169248342514,80.72574281692505,0:01:20.725743
84000,1749614177.043409,0.03069494105875492,102.6343412399292,0:01:42.634341
96000,1749614197.205896,0.03880226984620094,122.79682803153992,0:02:02.796828
108000,1749614217.7031577,0.036846499890089035,143.29408979415894,0:02:23.294090
120000,1749614239.6291676,0.04308630898594856,165.2200996875763,0:02:45.220100
132000,1749614260.45443,0.048685863614082336,186.0453622341156,0:03:06.045362
144000,1749614283.968034,0.05566593259572983,209.55896615982056,0:03:29.558966
156000,1749614304.9773276,0.06459318101406097,230.56825971603394,0:03:50.568260
168000,1749614327.2269099,0.0706581398844719,252.81784200668335,0:04:12.817842
180000,1749614348.1445,0.0590602308511734,273.73543214797974,0:04:33.735432
192000,1749614368.5793529,0.024987520650029182,294.170284986496,0:04:54.170285
204000,1749614390.90428,0.02650594338774681,316.4952120780945,0:05:16.495212
216000,1749614410.2955258,0.05626581981778145,335.88645792007446,0:05:35.886458
228000,1749614431.856358,0.04252343252301216,357.44729018211365,0:05:57.447290
240000,1749614453.5083776,0.053883396089076996,379.09930968284607,0:06:19.099310
252000,1749614474.8905497,0.04330608248710632,400.4814817905426,0:06:40.481482
264000,1749614497.379792,0.05151056870818138,422.97072410583496,0:07:02.970724
276000,1749614518.1837397,0.047761205583810806,443.774671792984,0:07:23.774672
288000,1749614538.4415371,0.053662098944187164,464.0324692726135,0:07:44.032469
300000,1749614559.2002912,0.0479719340801239,484.7912232875824,0:08:04.791223
312000,1749614578.4560833,0.06299484521150589,504.0470154285431,0:08:24.047015
324000,1749614598.193746,0.04064887762069702,523.7846782207489,0:08:43.784678
336000,1749614618.8344483,0.05667683482170105,544.4253804683685,0:09:04.425380
348000,1749614638.3543174,0.03950940817594528,563.9452495574951,0:09:23.945250
360000,1749614657.8311267,0.05209420621395111,583.4220588207245,0:09:43.422059
372000,1749614678.1356533,0.03984416276216507,603.7265853881836,0:10:03.726585
384000,1749614697.1167662,0.047019634395837784,622.7076983451843,0:10:22.707698
396000,1749614716.525745,0.038607072085142136,642.1166770458221,0:10:42.116677
408000,1749614738.0805411,0.057696808129549026,663.6714732646942,0:11:03.671473
420000,1749614757.3363557,0.049355559051036835,682.9272878170013,0:11:22.927288
432000,1749614777.1083262,0.05249399319291115,702.6992583274841,0:11:42.699258
444000,1749614798.8196766,0.03773174807429314,724.4106087684631,0:12:04.410609
456000,1749614819.516435,0.05462806299328804,745.1073670387268,0:12:25.107367
468000,1749614841.2776353,0.04514872282743454,766.8685674667358,0:12:46.868567
480000,1749614862.6908798,0.05159502848982811,788.2818119525909,0:13:08.281812
492000,1749614883.6632624,0.04122808203101158,809.2541944980621,0:13:29.254194
504000,1749614906.053296,0.04744860902428627,831.644228219986,0:13:51.644228
516000,1749614925.3794587,0.03551420196890831,850.9703907966614,0:14:10.970391
528000,1749614944.3717737,0.051002878695726395,869.9627058506012,0:14:29.962706
540000,1749614967.3662875,0.05071338266134262,892.9572196006775,0:14:52.957220
552000,1749614987.3752844,0.054565250873565674,912.9662165641785,0:15:12.966217
564000,1749615008.3117828,0.04813713952898979,933.9027149677277,0:15:33.902715
576000,1749615028.7804885,0.048652637749910355,954.371420621872,0:15:54.371421
588000,1749615049.6259947,0.037749480456113815,975.2169268131256,0:16:15.216927
600000,1749615071.401782,0.052871525287628174,996.9927141666412,0:16:36.992714
612000,1749615093.0555596,0.04241212457418442,1018.646491765976,0:16:58.646492
624000,1749615115.4474487,0.040165357291698456,1041.0383808612823,0:17:21.038381
636000,1749615136.3408644,0.04283750057220459,1061.9317965507507,0:17:41.931797
648000,1749615156.4093275,0.03623839467763901,1082.0002596378326,0:18:02.000260
660000,1749615177.6172752,0.043504565954208374,1103.2082073688507,0:18:23.208207
672000,1749615198.6850035,0.040166161954402924,1124.2759356498718,0:18:44.275936
684000,1749615219.7688851,0.04524793103337288,1145.3598172664642,0:19:05.359817
696000,1749615242.0192597,0.03996758535504341,1167.610191822052,0:19:27.610192
708000,1749615262.6157253,0.04502115398645401,1188.206657409668,0:19:48.206657
720000,1749615285.25572,0.04413401708006859,1210.8466520309448,0:20:10.846652
732000,1749615304.9105926,0.0379517637193203,1230.5015246868134,0:20:30.501525
744000,1749615326.9221184,0.03286287188529968,1252.5130505561829,0:20:52.513051
756000,1749615349.041745,0.03720485046505928,1274.632677078247,0:21:14.632677
768000,1749615369.3732889,0.03903643414378166,1294.9642210006714,0:21:34.964221
780000,1749615391.5989473,0.03313066065311432,1317.1898794174194,0:21:57.189879
792000,1749615412.2294753,0.03571623936295509,1337.8204073905945,0:22:17.820407
804000,1749615433.1671448,0.03178974986076355,1358.7580769062042,0:22:38.758077
816000,1749615455.0110312,0.029845863580703735,1380.6019632816315,0:23:00.601963
828000,1749615475.5257761,0.021076660603284836,1401.116708278656,0:23:21.116708
840000,1749615497.5470903,0.018306013196706772,1423.1380224227905,0:23:43.138022
852000,1749615517.321332,0.025752443820238113,1442.9122641086578,0:24:02.912264
864000,1749615540.4436328,0.031224325299263,1466.0345649719238,0:24:26.034565
876000,1749615562.3634477,0.029839903116226196,1487.9543797969818,0:24:47.954380
888000,1749615583.2587574,0.02174108661711216,1508.8496894836426,0:25:08.849689
900000,1749615605.0975776,0.03122001886367798,1530.6885097026825,0:25:30.688510
912000,1749615624.3922646,0.03060898371040821,1549.983196735382,0:25:49.983197
924000,1749615645.5953708,0.024894393980503082,1571.1863029003143,0:26:11.186303
936000,1749615668.8073542,0.01683666929602623,1594.3982863426208,0:26:34.398286
948000,1749615696.1816053,0.014957047998905182,1621.772537469864,0:27:01.772537
960000,1749615718.2457461,0.02123495563864708,1643.8366782665253,0:27:23.836678
972000,1749615738.6642323,0.024159902706742287,1664.255164384842,0:27:44.255164
984000,1749615761.253818,0.013261948712170124,1686.8447501659393,0:28:06.844750
996000,1749615781.8171716,0.014005444943904877,1707.4081037044525,0:28:27.408104
1008000,1749615804.5567372,0.018561962991952896,1730.1476693153381,0:28:50.147669
1020000,1749615825.386695,0.018382957205176353,1750.9776270389557,0:29:10.977627
1032000,1749615845.6048887,0.018741348758339882,1771.1958208084106,0:29:31.195821
1044000,1749615867.311694,0.018789494410157204,1792.9026260375977,0:29:52.902626
1056000,1749615887.2622647,0.021546797826886177,1812.8531968593597,0:30:12.853197
1068000,1749615908.593572,0.021279167383909225,1834.184504032135,0:30:34.184504
1080000,1749615930.8166564,0.01489663403481245,1856.407588481903,0:30:56.407588
1092000,1749615952.2393136,0.02068682760000229,1877.830245733261,0:31:17.830246
1104000,1749615973.28818,0.019928263500332832,1898.8791122436523,0:31:38.879112
1116000,1749615993.3997436,0.0229782834649086,1918.99067568779,0:31:58.990676
1128000,1749616013.3701901,0.015669548884034157,1938.9611222743988,0:32:18.961122
1140000,1749616035.2351987,0.018557600677013397,1960.8261308670044,0:32:40.826131
1152000,1749616054.4797506,0.018572699278593063,1980.0706827640533,0:33:00.070683
1164000,1749616076.2760887,0.02273932658135891,2001.8670208454132,0:33:21.867021
1176000,1749616097.6164916,0.025844700634479523,2023.2074236869812,0:33:43.207424
1188000,1749616118.8856676,0.01873176358640194,2044.4765996932983,0:34:04.476600
1200000,1749616141.1072087,0.023001529276371002,2066.698140859604,0:34:26.698141
1212000,1749616161.6541471,0.014705398119986057,2087.245079278946,0:34:47.245079
1224000,1749616183.8272836,0.018386894837021828,2109.418215751648,0:35:09.418216
1236000,1749616204.7712336,0.01216062530875206,2130.3621656894684,0:35:30.362166
1248000,1749616224.5629556,0.01425018161535263,2150.1538877487183,0:35:50.153888
1260000,1749616246.37145,0.018491754308342934,2171.962382078171,0:36:11.962382
1272000,1749616266.9253964,0.018308125436306,2192.516328573227,0:36:32.516329
1284000,1749616288.427338,0.01949099265038967,2214.0182700157166,0:36:54.018270
1296000,1749616309.586077,0.012798085808753967,2235.1770091056824,0:37:15.177009
1308000,1749616330.8067164,0.016608403995633125,2256.3976485729218,0:37:36.397649
1320000,1749616353.3003812,0.013338513672351837,2278.891313314438,0:37:58.891313
1332000,1749616373.9484336,0.018372321501374245,2299.5393657684326,0:38:19.539366
1344000,1749616395.34131,0.0170410368591547,2320.932242155075,0:38:40.932242
1356000,1749616416.9145646,0.012076779268682003,2342.505496740341,0:39:02.505497
1368000,1749616438.4666557,0.024066701531410217,2364.0575878620148,0:39:24.057588
