step,wall_time,train_std,relative_seconds,relative_time
24000,1749614074.409082,1.0072157382965088,0.0,0:00:00
36000,1749614094.5902138,1.01425302028656,20.181131839752197,0:00:20.181132
48000,1749614115.5714228,1.0128977298736572,41.16234087944031,0:00:41.162341
60000,1749614135.9007523,0.9992241263389587,61.49167037010193,0:01:01.491670
72000,1749614155.1348243,0.9784989356994629,80.72574234008789,0:01:20.725742
84000,1749614177.0434299,0.9718030095100403,102.63434791564941,0:01:42.634348
96000,1749614197.2059104,0.9520840644836426,122.79682850837708,0:02:02.796829
108000,1749614217.7031803,0.9150872826576233,143.29409837722778,0:02:23.294098
120000,1749614239.6291976,0.8906904458999634,165.2201156616211,0:02:45.220116
132000,1749614260.4544544,0.8686962127685547,186.0453724861145,0:03:06.045372
144000,1749614283.9680662,0.8353397250175476,209.55898427963257,0:03:29.558984
156000,1749614304.977342,0.8044489622116089,230.56825995445251,0:03:50.568260
168000,1749614327.2269406,0.7724889516830444,252.8178586959839,0:04:12.817859
180000,1749614348.1445246,0.7380660176277161,273.7354426383972,0:04:33.735443
192000,1749614368.5793674,0.7398209571838379,294.17028546333313,0:04:54.170285
204000,1749614390.9043043,0.7021446228027344,316.4952223300934,0:05:16.495222
216000,1749614410.2955477,0.7355576157569885,335.8864657878876,0:05:35.886466
228000,1749614431.8563776,0.7075219750404358,357.44729566574097,0:05:57.447296
240000,1749614453.5083914,0.7302888035774231,379.0993094444275,0:06:19.099309
252000,1749614474.8905632,0.7013238072395325,400.48148131370544,0:06:40.481481
264000,1749614497.3798075,0.7275856137275696,422.97072553634644,0:07:02.970726
276000,1749614518.183765,0.6956996917724609,443.7746829986572,0:07:23.774683
288000,1749614538.441557,0.722586989402771,464.0324749946594,0:07:44.032475
300000,1749614559.2003052,0.6905827522277832,484.7912232875824,0:08:04.791223
312000,1749614578.4561086,0.716521143913269,504.0470266342163,0:08:24.047027
324000,1749614598.1937802,0.6891382336616516,523.7846982479095,0:08:43.784698
336000,1749614618.8344622,0.7153180241584778,544.42538022995,0:09:04.425380
348000,1749614638.3543384,0.6894088983535767,563.9452564716339,0:09:23.945256
360000,1749614657.8311481,0.7196208834648132,583.4220662117004,0:09:43.422066
