step,wall_time,train_value_loss,relative_seconds,relative_time
24000,1749615407.6270418,14426119.0,0.0,0:00:00
36000,1749615423.0394914,10888810.0,15.412449598312378,0:00:15.412450
48000,1749615438.8860214,8349288.5,31.258979558944702,0:00:31.258980
60000,1749615453.6638753,6129050.5,46.03683352470398,0:00:46.036834
72000,1749615470.995053,4060728.25,63.368011236190796,0:01:03.368011
84000,1749615486.8176894,2443214.5,79.1906476020813,0:01:19.190648
96000,1749615502.6903486,1452675.5,95.06330680847168,0:01:35.063307
108000,1749615518.180869,760052.8125,110.5538272857666,0:01:50.553827
120000,1749615533.6732347,335735.59375,126.04619288444519,0:02:06.046193
132000,1749615549.3732631,94254.546875,141.74622130393982,0:02:21.746221
144000,1749615565.2777033,20172.564453125,157.65066146850586,0:02:37.650661
156000,1749615581.4126322,1889.9937744140625,173.78559041023254,0:02:53.785590
168000,1749615595.3934684,1792.3973388671875,187.76642656326294,0:03:07.766427
180000,1749615610.8820403,2418.438232421875,203.25499844551086,0:03:23.254998
192000,1749615626.001542,1703.4813232421875,218.3745002746582,0:03:38.374500
204000,1749615641.1155102,2387.946533203125,233.4884684085846,0:03:53.488468
216000,1749615656.6087797,1730.813232421875,248.98173785209656,0:04:08.981738
228000,1749615672.0005546,2916.856689453125,264.37351274490356,0:04:24.373513
240000,1749615687.654709,1367.6480712890625,280.02766728401184,0:04:40.027667
252000,1749615707.0386326,1270.64404296875,299.41159081459045,0:04:59.411591
264000,1749615723.2966328,1622.208251953125,315.6695909500122,0:05:15.669591
276000,1749615738.9034114,1353.750732421875,331.2763695716858,0:05:31.276370
288000,1749615754.365118,1363.4810791015625,346.738076210022,0:05:46.738076
300000,1749615769.679204,1568.0333251953125,362.05216217041016,0:06:02.052162
312000,1749615785.3207994,1763.6998291015625,377.6937575340271,0:06:17.693758
324000,1749615801.2607303,1630.90966796875,393.6336884498596,0:06:33.633688
336000,1749615816.727338,1288.8973388671875,409.1002962589264,0:06:49.100296
348000,1749615832.7229612,931.77294921875,425.09591937065125,0:07:05.095919
360000,1749615848.4540653,1395.1160888671875,440.82702350616455,0:07:20.827024
372000,1749615864.178302,1507.9952392578125,456.5512602329254,0:07:36.551260
384000,1749615879.6843836,1104.0869140625,472.05734181404114,0:07:52.057342
396000,1749615895.0395155,1000.6914672851562,487.41247367858887,0:08:07.412474
408000,1749615910.6774516,1143.1383056640625,503.05040979385376,0:08:23.050410
420000,1749615926.3743567,1871.7000732421875,518.7473149299622,0:08:38.747315
432000,1749615942.2748973,858.859619140625,534.6478555202484,0:08:54.647856
444000,1749615958.413243,1091.0634765625,550.7862012386322,0:09:10.786201
456000,1749615973.9460843,1057.9337158203125,566.3190424442291,0:09:26.319042
468000,1749615989.3324063,1150.1004638671875,581.7053644657135,0:09:41.705364
480000,1749616004.8913462,906.109375,597.2643043994904,0:09:57.264304
492000,1749616020.3085315,719.4225463867188,612.6814897060394,0:10:12.681490
504000,1749616035.8331137,885.73095703125,628.2060718536377,0:10:28.206072
516000,1749616051.3231304,594.0811767578125,643.696088552475,0:10:43.696089
528000,1749616067.1454153,738.6820068359375,659.5183734893799,0:10:59.518373
540000,1749616082.8918962,1541.924560546875,675.2648544311523,0:11:15.264854
552000,1749616098.8943567,1157.390869140625,691.2673149108887,0:11:31.267315
564000,1749616114.5121055,762.1692504882812,706.8850636482239,0:11:46.885064
576000,1749616129.317558,1192.300048828125,721.6905162334442,0:12:01.690516
588000,1749616144.895613,903.430419921875,737.268571138382,0:12:17.268571
600000,1749616160.4286728,694.7243041992188,752.8016309738159,0:12:32.801631
612000,1749616175.7800765,565.1951293945312,768.1530346870422,0:12:48.153035
624000,1749616190.9382577,753.09912109375,783.311215877533,0:13:03.311216
636000,1749616206.741485,784.6854248046875,799.1144433021545,0:13:19.114443
648000,1749616222.6445308,441.80859375,815.0174889564514,0:13:35.017489
660000,1749616238.2114162,1094.657470703125,830.5843744277954,0:13:50.584374
672000,1749616253.6198573,386.81268310546875,845.9928154945374,0:14:05.992815
