step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749615393.1292677,-5553.67041015625,0.0,0:00:00
24000,1749615407.7790043,-4905.1484375,14.649736642837524,0:00:14.649737
36000,1749615423.2048674,-4137.03271484375,30.075599670410156,0:00:30.075600
48000,1749615439.1136997,-3620.451904296875,45.984431982040405,0:00:45.984432
60000,1749615453.9038568,-2918.448486328125,60.77458906173706,0:01:00.774589
72000,1749615471.1749108,-2217.696044921875,78.04564309120178,0:01:18.045643
84000,1749615486.9915338,-1663.1807861328125,93.86226606369019,0:01:33.862266
96000,1749615502.8518648,-1117.808837890625,109.72259712219238,0:01:49.722597
108000,1749615518.3060167,-707.0933227539062,125.17674899101257,0:02:05.176749
120000,1749615533.8092835,-360.1780700683594,140.68001580238342,0:02:20.680016
132000,1749615549.500356,-135.77110290527344,156.37108826637268,0:02:36.371088
144000,1749615565.496975,-31.845468521118164,172.36770725250244,0:02:52.367707
156000,1749615581.6382916,-38.95503616333008,188.50902390480042,0:03:08.509024
168000,1749615595.6310017,-44.66749954223633,202.5017340183258,0:03:22.501734
180000,1749615611.006876,-36.74776840209961,217.87760829925537,0:03:37.877608
192000,1749615626.1314619,-42.956050872802734,233.00219416618347,0:03:53.002194
204000,1749615641.2496016,-30.733203887939453,248.1203339099884,0:04:08.120334
216000,1749615656.730718,-39.03877639770508,263.60145020484924,0:04:23.601450
228000,1749615672.162729,-35.200828552246094,279.03346133232117,0:04:39.033461
240000,1749615687.8088129,-25.7716007232666,294.6795451641083,0:04:54.679545
252000,1749615707.2922401,-38.011844635009766,314.16297245025635,0:05:14.162972
264000,1749615723.4278345,-31.725759506225586,330.2985668182373,0:05:30.298567
276000,1749615739.0269737,-32.335479736328125,345.8977060317993,0:05:45.897706
288000,1749615754.5384185,-25.756771087646484,361.40915083885193,0:06:01.409151
300000,1749615769.817357,-33.5538330078125,376.68808937072754,0:06:16.688089
312000,1749615785.4885824,-24.701993942260742,392.3593146800995,0:06:32.359315
324000,1749615801.41844,-24.54819107055664,408.28917241096497,0:06:48.289172
336000,1749615816.9595375,-18.59385108947754,423.8302698135376,0:07:03.830270
348000,1749615832.9574525,-31.870254516601562,439.82818484306335,0:07:19.828185
360000,1749615848.5824704,-25.319801330566406,455.4532027244568,0:07:35.453203
372000,1749615864.3022814,-24.364280700683594,471.1730136871338,0:07:51.173014
384000,1749615879.8190649,-19.15083885192871,486.68979716300964,0:08:06.689797
396000,1749615895.178719,-23.157569885253906,502.04945135116577,0:08:22.049451
408000,1749615910.8035944,-36.16238021850586,517.6743266582489,0:08:37.674327
420000,1749615926.504192,-19.215909957885742,533.3749244213104,0:08:53.374924
432000,1749615942.5022674,-17.480186462402344,549.3729996681213,0:09:09.373000
444000,1749615958.650642,-22.74590492248535,565.5213742256165,0:09:25.521374
456000,1749615974.0893822,-24.302091598510742,580.9601144790649,0:09:40.960114
468000,1749615989.4792616,-20.588489532470703,596.3499939441681,0:09:56.349994
480000,1749616005.0119033,-14.346220016479492,611.8826355934143,0:10:11.882636
492000,1749616020.4517162,-21.23661994934082,627.3224484920502,0:10:27.322448
504000,1749616035.9632885,-12.91990852355957,642.8340208530426,0:10:42.834021
516000,1749616051.469778,-18.862150192260742,658.3405103683472,0:10:58.340510
528000,1749616067.391289,-19.877012252807617,674.2620213031769,0:11:14.262021
540000,1749616083.1066296,-25.082286834716797,689.9773619174957,0:11:29.977362
552000,1749616099.0526838,-15.798111915588379,705.9234161376953,0:11:45.923416
564000,1749616114.6764088,-28.164751052856445,721.5471410751343,0:12:01.547141
576000,1749616129.4455967,-19.885129928588867,736.3163290023804,0:12:16.316329
588000,1749616145.0271068,-15.894515991210938,751.8978390693665,0:12:31.897839
600000,1749616160.5709615,-12.095952987670898,767.4416937828064,0:12:47.441694
612000,1749616175.910653,-24.634029388427734,782.7813854217529,0:13:02.781385
624000,1749616191.0703912,-16.09378433227539,797.9411234855652,0:13:17.941123
636000,1749616206.9723423,-13.310009002685547,813.8430745601654,0:13:33.843075
648000,1749616222.8686419,-24.74290657043457,829.7393741607666,0:13:49.739374
660000,1749616238.367091,-10.906790733337402,845.2378232479095,0:14:05.237823
672000,1749616253.7513208,-12.53802490234375,860.6220531463623,0:14:20.622053
684000,1749616269.1514843,-14.402410507202148,876.0222165584564,0:14:36.022217
696000,1749616284.6767473,-11.373631477355957,891.5474796295166,0:14:51.547480
708000,1749616299.941934,-9.818878173828125,906.8126664161682,0:15:06.812666
720000,1749616315.3974648,-10.939014434814453,922.2681970596313,0:15:22.268197
732000,1749616330.9088068,-13.130324363708496,937.7795391082764,0:15:37.779539
744000,1749616346.8370018,-10.001547813415527,953.7077341079712,0:15:53.707734
756000,1749616362.7259674,-9.634746551513672,969.5966997146606,0:16:09.596700
768000,1749616378.2115886,-8.185975074768066,985.0823209285736,0:16:25.082321
780000,1749616392.3508568,-10.26308822631836,999.2215890884399,0:16:39.221589
792000,1749616407.0500681,-13.067551612854004,1013.920800447464,0:16:53.920800
804000,1749616422.493579,-13.257668495178223,1029.3643112182617,0:17:09.364311
816000,1749616437.8139586,-9.865325927734375,1044.684690952301,0:17:24.684691
828000,1749616453.2634618,-8.970893859863281,1060.134194135666,0:17:40.134194
840000,1749616468.7833319,-10.673480033874512,1075.6540641784668,0:17:55.654064
852000,1749616484.3751316,-10.513028144836426,1091.2458639144897,0:18:11.245864
864000,1749616500.2763975,-12.30554485321045,1107.1471297740936,0:18:27.147130
876000,1749616516.237081,-7.69463586807251,1123.1078133583069,0:18:43.107813
888000,1749616531.5929718,-9.288749694824219,1138.463704109192,0:18:58.463704
900000,1749616546.4869955,-11.176560401916504,1153.357727766037,0:19:13.357728
912000,1749616561.8864324,-4.139520645141602,1168.7571647167206,0:19:28.757165
