step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749731676.4151676,-5749.72021484375,0.0,0:00:00
24000,1749731690.0307436,-5611.15234375,13.615576028823853,0:00:13.615576
36000,1749731710.1653452,-5546.6904296875,33.75017762184143,0:00:33.750178
48000,1749731725.0586379,-5451.8974609375,48.643470287323,0:00:48.643470
60000,1749731739.910754,-5377.71142578125,63.49558639526367,0:01:03.495586
72000,1749731753.5241337,-5365.39794921875,77.10896611213684,0:01:17.108966
84000,1749731767.2649436,-5128.52490234375,90.84977602958679,0:01:30.849776
96000,1749731781.0628917,-5127.59228515625,104.64772415161133,0:01:44.647724
108000,1749731794.7526739,-4996.4130859375,118.33750629425049,0:01:58.337506
120000,1749731808.7316751,-4954.29150390625,132.31650757789612,0:02:12.316508
132000,1749731822.577391,-4760.4853515625,146.1622233390808,0:02:26.162223
144000,1749731836.3277776,-4750.39013671875,159.9126100540161,0:02:39.912610
156000,1749731850.2530074,-4613.11767578125,173.83783984184265,0:02:53.837840
168000,1749731864.049478,-4458.1767578125,187.6343104839325,0:03:07.634310
180000,1749731877.8843682,-4363.80859375,201.4692006111145,0:03:21.469201
192000,1749731891.559388,-4128.98828125,215.14422035217285,0:03:35.144220
204000,1749731905.219843,-4022.669189453125,228.80467534065247,0:03:48.804675
216000,1749731918.954148,-3885.05908203125,242.5389804840088,0:04:02.538980
228000,1749731932.50115,-3715.83837890625,256.08598232269287,0:04:16.085982
240000,1749731945.949974,-3561.395751953125,269.53480648994446,0:04:29.534806
252000,1749731959.4445481,-3402.431396484375,283.02938055992126,0:04:43.029381
264000,1749731973.0921154,-3373.6923828125,296.67694783210754,0:04:56.676948
276000,1749731987.3597634,-3123.343017578125,310.9445958137512,0:05:10.944596
288000,1749732001.002742,-2901.347412109375,324.5875744819641,0:05:24.587574
300000,1749732014.6021264,-2754.163330078125,338.18695878982544,0:05:38.186959
312000,1749732028.3133461,-2518.37939453125,351.8981785774231,0:05:51.898179
324000,1749732042.005426,-2390.56884765625,365.59025835990906,0:06:05.590258
336000,1749732055.5720778,-2150.17431640625,379.15691018104553,0:06:19.156910
348000,1749732069.1023316,-2057.404541015625,392.68716406822205,0:06:32.687164
360000,1749732088.0829737,-1801.33740234375,411.66780614852905,0:06:51.667806
372000,1749732103.307367,-1700.7215576171875,426.8921995162964,0:07:06.892200
384000,1749732116.9508626,-1523.0518798828125,440.53569507598877,0:07:20.535695
396000,1749732130.7021837,-1319.844482421875,454.28701615333557,0:07:34.287016
408000,1749732144.2702448,-1183.0401611328125,467.8550772666931,0:07:47.855077
420000,1749732157.8532765,-1013.852294921875,481.438108921051,0:08:01.438109
432000,1749732171.4234242,-850.9591674804688,495.00825667381287,0:08:15.008257
444000,1749732185.4891238,-742.1921997070312,509.0739562511444,0:08:29.073956
456000,1749732199.1648211,-582.0076904296875,522.7496535778046,0:08:42.749654
468000,1749732212.9549112,-527.8514404296875,536.5397436618805,0:08:56.539744
480000,1749732228.0480866,-369.1142272949219,551.6329190731049,0:09:11.632919
492000,1749732241.5815358,-237.62088012695312,565.1663682460785,0:09:25.166368
504000,1749732255.368584,-149.5985565185547,578.9534163475037,0:09:38.953416
516000,1749732268.939384,-123.41551208496094,592.5242164134979,0:09:52.524216
528000,1749732282.488212,-51.47481155395508,606.0730445384979,0:10:06.073045
540000,1749732296.106627,-27.895017623901367,619.6914594173431,0:10:19.691459
552000,1749732309.8244426,-25.09821319580078,633.4092750549316,0:10:33.409275
564000,1749732323.4694235,-19.93589973449707,647.0542559623718,0:10:47.054256
576000,1749732337.307083,-24.57841682434082,660.8919153213501,0:11:00.891915
588000,1749732351.2326994,-17.193260192871094,674.8175318241119,0:11:14.817532
600000,1749732365.4263866,-22.55116844177246,689.0112190246582,0:11:29.011219
612000,1749732379.723388,-29.165372848510742,703.3082203865051,0:11:43.308220
624000,1749732393.923887,-17.65842056274414,717.5087194442749,0:11:57.508719
636000,1749732407.7683089,-24.444887161254883,731.3531413078308,0:12:11.353141
648000,1749732421.356872,-18.6206111907959,744.9417045116425,0:12:24.941705
660000,1749732434.912699,-15.119270324707031,758.497531414032,0:12:38.497531
672000,1749732448.4562416,-20.48632049560547,772.0410740375519,0:12:52.041074
684000,1749732461.9511106,-19.1602783203125,785.535943031311,0:13:05.535943
696000,1749732475.3767998,-19.186471939086914,798.9616322517395,0:13:18.961632
708000,1749732489.0547667,-22.002399444580078,812.6395990848541,0:13:32.639599
720000,1749732502.5625598,-19.639699935913086,826.1473922729492,0:13:46.147392
732000,1749732516.1219912,-16.560466766357422,839.7068235874176,0:13:59.706824
744000,1749732529.6290133,-15.146276473999023,853.2138457298279,0:14:13.213846
756000,1749732543.101532,-15.720840454101562,866.6863644123077,0:14:26.686364
768000,1749732556.5810218,-24.672033309936523,880.165854215622,0:14:40.165854
780000,1749732570.0452578,-16.45879554748535,893.6300902366638,0:14:53.630090
792000,1749732583.4151278,-17.364971160888672,906.9999601840973,0:15:06.999960
804000,1749732596.7623565,-11.773696899414062,920.347188949585,0:15:20.347189
816000,1749732610.037408,-14.277573585510254,933.6222405433655,0:15:33.622241
828000,1749732623.4507847,-13.461092948913574,947.0356171131134,0:15:47.035617
840000,1749732636.9268289,-17.831743240356445,960.5116612911224,0:16:00.511661
852000,1749732650.4196744,-16.286691665649414,974.0045068264008,0:16:14.004507
864000,1749732663.9407713,-17.78400230407715,987.5256037712097,0:16:27.525604
876000,1749732677.613443,-15.075716972351074,1001.1982753276825,0:16:41.198275
888000,1749732696.8084235,-11.111698150634766,1020.3932559490204,0:17:00.393256
900000,1749732709.8996117,-14.101470947265625,1033.484444141388,0:17:13.484444
912000,1749732723.2406034,-10.734450340270996,1046.8254358768463,0:17:26.825436
924000,1749732736.6938639,-12.874505996704102,1060.2786962985992,0:17:40.278696
936000,1749732750.0256257,-14.353227615356445,1073.6104581356049,0:17:53.610458
948000,1749732763.4578106,-12.272229194641113,1087.042643070221,0:18:07.042643
960000,1749732776.9858518,-12.66519546508789,1100.5706841945648,0:18:20.570684
972000,1749732790.4791937,-11.963105201721191,1114.0640261173248,0:18:34.064026
984000,1749732803.9143174,-10.896928787231445,1127.499149799347,0:18:47.499150
996000,1749732817.2150238,-9.450153350830078,1140.799856185913,0:19:00.799856
1008000,1749732830.4682713,-12.177959442138672,1154.053103685379,0:19:14.053104
1020000,1749732843.7898982,-9.719574928283691,1167.3747305870056,0:19:27.374731
1032000,1749732857.1296725,-9.857423782348633,1180.714504957199,0:19:40.714505
1044000,1749732870.4215167,-11.288634300231934,1194.0063490867615,0:19:54.006349
1056000,1749732883.83659,-8.081437110900879,1207.4214224815369,0:20:07.421422
1068000,1749732897.197189,-7.3153767585754395,1220.782021522522,0:20:20.782022
1080000,1749732910.5800028,-7.986144065856934,1234.1648352146149,0:20:34.164835
1092000,1749732923.9341443,-9.280271530151367,1247.518976688385,0:20:47.518977
1104000,1749732937.2878323,-6.593380451202393,1260.8726646900177,0:21:00.872665
1116000,1749732950.916,-6.067556381225586,1274.5008323192596,0:21:14.500832
1128000,1749732964.3848884,-6.903469085693359,1287.969720840454,0:21:27.969721
1140000,1749732977.8901763,-8.680161476135254,1301.47500872612,0:21:41.475009
1152000,1749732991.3240411,-5.69724702835083,1314.9088735580444,0:21:54.908874
1164000,1749733004.7767491,-4.0181660652160645,1328.3615815639496,0:22:08.361582
1176000,1749733018.3299148,-5.67991304397583,1341.9147472381592,0:22:21.914747
1188000,1749733031.9232185,-5.619102954864502,1355.508050918579,0:22:35.508051
1200000,1749733045.3209064,-3.1715826988220215,1368.9057388305664,0:22:48.905739
1212000,1749733058.6899872,-3.4411749839782715,1382.274819612503,0:23:02.274820
1224000,1749733072.0947793,-2.7468583583831787,1395.6796116828918,0:23:15.679612
1236000,1749733085.640422,-1.9990432262420654,1409.225254535675,0:23:29.225255
1248000,1749733099.1564229,-1.5773080587387085,1422.7412552833557,0:23:42.741255
1260000,1749733112.497088,-2.533269166946411,1436.0819203853607,0:23:56.081920
1272000,1749733126.0979176,-1.6453088521957397,1449.6827499866486,0:24:09.682750
1284000,1749733139.4797447,-1.2193037271499634,1463.0645771026611,0:24:23.064577
1296000,1749733152.876865,-1.6022834777832031,1476.4616973400116,0:24:36.461697
1308000,1749733166.2185605,-1.7127281427383423,1489.8033928871155,0:24:49.803393
1320000,1749733179.6677392,-0.7934974431991577,1503.2525715827942,0:25:03.252572
1332000,1749733193.200838,-0.49417510628700256,1516.7856705188751,0:25:16.785671
1344000,1749733206.5432038,-1.1087851524353027,1530.1280362606049,0:25:30.128036
1356000,1749733220.2168999,-0.43259403109550476,1543.801732301712,0:25:43.801732
1368000,1749733233.8925865,-0.6897234916687012,1557.4774188995361,0:25:57.477419
1380000,1749733247.62217,-0.25920775532722473,1571.207002401352,0:26:11.207002
1392000,1749733261.2822356,-0.401738703250885,1584.8670680522919,0:26:24.867068
1404000,1749733275.0953164,-0.5025360584259033,1598.6801488399506,0:26:38.680149
1416000,1749733288.7106395,-0.559634268283844,1612.295471906662,0:26:52.295472
1428000,1749733307.1753387,-0.43400391936302185,1630.760171175003,0:27:10.760171
1440000,1749733320.593699,-0.24457451701164246,1644.17853140831,0:27:24.178531
1452000,1749733334.5480683,-0.27742999792099,1658.1329007148743,0:27:38.132901
1464000,1749733348.3691943,-0.33817216753959656,1671.9540266990662,0:27:51.954027
1476000,1749733362.2353113,-0.3677554428577423,1685.820143699646,0:28:05.820144
1488000,1749733376.1195893,-0.2571350634098053,1699.7044217586517,0:28:19.704422
1500000,1749733389.9938004,-0.4526468515396118,1713.5786328315735,0:28:33.578633
1512000,1749733403.9381242,-0.2822587490081787,1727.522956609726,0:28:47.522957
1524000,1749733417.8631206,-0.38895100355148315,1741.4479529857635,0:29:01.447953
1536000,1749733431.7505856,-0.28512856364250183,1755.3354179859161,0:29:15.335418
1548000,1749733445.4350712,-0.21468965709209442,1769.0199036598206,0:29:29.019904
1560000,1749733459.0504067,-0.3233000636100769,1782.635239124298,0:29:42.635239
1572000,1749733472.6362746,-0.15984271466732025,1796.221107006073,0:29:56.221107
1584000,1749733486.2146091,-0.3320181965827942,1809.799441576004,0:30:09.799442
1596000,1749733499.90153,-0.25653383135795593,1823.4863624572754,0:30:23.486362
1608000,1749733514.2556658,-0.3779038190841675,1837.8404982089996,0:30:37.840498
1620000,1749733528.1516688,-0.12616059184074402,1851.7365012168884,0:30:51.736501
1632000,1749733542.001532,-0.38587015867233276,1865.5863645076752,0:31:05.586365
1644000,1749733555.4981508,-0.11917764693498611,1879.0829832553864,0:31:19.082983
1656000,1749733568.971781,-0.30797839164733887,1892.556613445282,0:31:32.556613
1668000,1749733582.4231532,-0.15060435235500336,1906.0079855918884,0:31:46.007986
1680000,1749733595.8571653,-0.13165165483951569,1919.4419977664948,0:31:59.441998
1692000,1749733609.327046,-0.13945426046848297,1932.9118783473969,0:32:12.911878
1704000,1749733622.7998636,-0.3514409065246582,1946.384696006775,0:32:26.384696
1716000,1749733636.285813,-0.10209100693464279,1959.8706455230713,0:32:39.870646
1728000,1749733649.723422,-0.2090858519077301,1973.308254480362,0:32:53.308254
1740000,1749733663.131118,-0.15767209231853485,1986.7159504890442,0:33:06.715950
1752000,1749733676.7272139,-0.18355117738246918,2000.312046289444,0:33:20.312046
1764000,1749733690.3933756,-0.2582978308200836,2013.978208065033,0:33:33.978208
1776000,1749733704.1130676,-0.3504294157028198,2027.697900056839,0:33:47.697900
1788000,1749733717.8287153,-0.1498134434223175,2041.4135477542877,0:34:01.413548
1800000,1749733731.7411294,-0.14381465315818787,2055.325961828232,0:34:15.325962
1812000,1749733745.6517305,-0.1505434662103653,2069.2365629673004,0:34:29.236563
1824000,1749733759.4316404,-0.2155568152666092,2083.0164728164673,0:34:43.016473
1836000,1749733773.0674365,-0.09949236363172531,2096.652268886566,0:34:56.652269
1848000,1749733786.8759124,-0.13110719621181488,2110.460744857788,0:35:10.460745
1860000,1749733800.7709537,-0.11003393679857254,2124.355786085129,0:35:24.355786
1872000,1749733814.4756148,-0.1710628718137741,2138.060447216034,0:35:38.060447
1884000,1749733828.0067372,-0.11840935796499252,2151.591569662094,0:35:51.591570
1896000,1749733841.4757135,-0.0812646821141243,2165.0605459213257,0:36:05.060546
1908000,1749733855.2170172,-0.1842753142118454,2178.801849603653,0:36:18.801850
1920000,1749733868.7305982,-0.13489359617233276,2192.3154306411743,0:36:32.315431
1932000,1749733882.2692866,-0.24791522324085236,2205.8541190624237,0:36:45.854119
1944000,1749733895.8172219,-0.09889096766710281,2219.402054309845,0:36:59.402054
1956000,1749733909.582947,-0.11172672361135483,2233.167779445648,0:37:13.167779
1968000,1749733928.443336,-0.08318962901830673,2252.028168439865,0:37:32.028168
