step,wall_time,train_value_loss,relative_seconds,relative_time
24000,1749659019.8047216,15858108.0,0.0,0:00:00
36000,1749659031.71923,15324195.0,11.91450834274292,0:00:11.914508
48000,1749659043.6218462,14802965.0,23.817124605178833,0:00:23.817125
60000,1749659055.4938178,14363459.0,35.689096212387085,0:00:35.689096
72000,1749659067.313626,13771357.0,47.508904457092285,0:00:47.508904
84000,1749659078.738354,13500644.0,58.933632373809814,0:00:58.933632
96000,1749659090.1826959,12744243.0,70.37797427177429,0:01:10.377974
108000,1749659102.195997,12266190.0,82.39127540588379,0:01:22.391275
120000,1749659114.0542414,11791743.0,94.24951982498169,0:01:34.249520
132000,1749659125.878723,11290027.0,106.07400131225586,0:01:46.074001
144000,1749659137.7938728,10681847.0,117.98915123939514,0:01:57.989151
156000,1749659149.6808524,10084429.0,129.87613081932068,0:02:09.876131
168000,1749659161.5387049,9449524.0,141.73398327827454,0:02:21.733983
180000,1749659172.7743726,8815715.0,152.96965098381042,0:02:32.969651
192000,1749659184.4858568,8317333.0,164.6811351776123,0:02:44.681135
204000,1749659196.440171,7745197.5,176.63544940948486,0:02:56.635449
216000,1749659208.3277712,7271995.5,188.5230495929718,0:03:08.523050
228000,1749659220.2028923,6696995.0,200.39817070960999,0:03:20.398171
240000,1749659232.010797,5942228.0,212.20607542991638,0:03:32.206075
252000,1749659243.7449062,5557308.0,223.94018459320068,0:03:43.940185
264000,1749659257.0666518,4915177.5,237.26193022727966,0:03:57.261930
276000,1749659268.295233,4463121.0,248.49051141738892,0:04:08.490511
288000,1749659279.953937,3803558.0,260.1492154598236,0:04:20.149215
300000,1749659291.8235517,3322744.0,272.01883006095886,0:04:32.018830
312000,1749659303.8378494,2862805.0,284.033127784729,0:04:44.033128
324000,1749659315.7750745,2384049.25,295.9703528881073,0:04:55.970353
336000,1749659327.7333388,2025622.625,307.9286172389984,0:05:07.928617
348000,1749659339.6565068,1682407.75,319.8517851829529,0:05:19.851785
360000,1749659351.1930182,1373408.125,331.3882966041565,0:05:31.388297
372000,1749659362.4919288,1066246.25,342.68720722198486,0:05:42.687207
384000,1749659374.359915,863714.625,354.55519342422485,0:05:54.555193
396000,1749659386.2440064,604150.8125,366.43928480148315,0:06:06.439285
408000,1749659398.1038175,477399.1875,378.29909586906433,0:06:18.299096
420000,1749659409.9042082,339938.125,390.09948658943176,0:06:30.099487
432000,1749659421.6436327,224580.6875,401.83891105651855,0:06:41.838911
444000,1749659433.2190242,145514.09375,413.41430258750916,0:06:53.414303
456000,1749659444.3428307,84931.2890625,424.5381090641022,0:07:04.538109
