step,wall_time,train_policy_gradient_loss,relative_seconds,relative_time
24000,1749659019.8042588,-0.0011009385343641043,0.0,0:00:00
36000,1749659031.7183425,-0.0015657899202778935,11.91408371925354,0:00:11.914084
48000,1749659043.6214244,-0.0020859723445028067,23.81716561317444,0:00:23.817166
60000,1749659055.4933143,-0.0010961416410282254,35.68905544281006,0:00:35.689055
72000,1749659067.312925,-0.001381665002554655,47.50866627693176,0:00:47.508666
84000,1749659078.7375875,-0.0016256553353741765,58.93332862854004,0:00:58.933329
96000,1749659090.1822255,-0.0014002617681398988,70.37796664237976,0:01:10.377967
108000,1749659102.195322,-0.0019670629408210516,82.39106321334839,0:01:22.391063
120000,1749659114.053842,-0.001576161477714777,94.24958324432373,0:01:34.249583
132000,1749659125.8779786,-0.0019381336169317365,106.07371973991394,0:01:46.073720
144000,1749659137.7931488,-0.0015001615975052118,117.98888993263245,0:01:57.988890
156000,1749659149.6804495,-0.0025598632637411356,129.87619066238403,0:02:09.876191
168000,1749659161.5381384,-0.002486563054844737,141.73387956619263,0:02:21.733880
180000,1749659172.7736285,-0.0022855692077428102,152.96936964988708,0:02:32.969370
192000,1749659184.4851627,-0.002258886583149433,164.68090391159058,0:02:44.680904
204000,1749659196.4394977,-0.0026259655132889748,176.63523888587952,0:02:56.635239
216000,1749659208.3273275,-0.003095378167927265,188.52306866645813,0:03:08.523069
228000,1749659220.2021215,-0.004624745808541775,200.3978626728058,0:03:20.397863
240000,1749659232.0103893,-0.003415317740291357,212.20613050460815,0:03:32.206131
252000,1749659243.7445214,-0.00333152967505157,223.94026255607605,0:03:43.940263
264000,1749659257.0662003,-0.00400454830378294,237.26194143295288,0:03:57.261941
276000,1749659268.2944126,-0.005644543562084436,248.49015378952026,0:04:08.490154
288000,1749659279.9535496,-0.005239476449787617,260.1492908000946,0:04:20.149291
300000,1749659291.8228674,-0.0065523856319487095,272.0186085700989,0:04:32.018609
312000,1749659303.8371396,-0.007851597853004932,284.03288078308105,0:04:44.032881
324000,1749659315.7743633,-0.007081943564116955,295.9701044559479,0:04:55.970104
336000,1749659327.732948,-0.007537326775491238,307.9286892414093,0:05:07.928689
348000,1749659339.6560678,-0.007047486491501331,319.8518090248108,0:05:19.851809
360000,1749659351.1925588,-0.010069701820611954,331.3882999420166,0:05:31.388300
372000,1749659362.4914522,-0.010167518630623817,342.6871933937073,0:05:42.687193
384000,1749659374.3595166,-0.010870331898331642,354.5552577972412,0:05:54.555258
396000,1749659386.243611,-0.011232243850827217,366.43935227394104,0:06:06.439352
408000,1749659398.103263,-0.010423011146485806,378.2990040779114,0:06:18.299004
420000,1749659409.9034336,-0.01473915483802557,390.0991747379303,0:06:30.099175
432000,1749659421.64295,-0.016671326011419296,401.8386912345886,0:06:41.838691
444000,1749659433.2179427,-0.01644054241478443,413.4136838912964,0:06:53.413684
456000,1749659444.3420122,-0.01715254597365856,424.53775334358215,0:07:04.537753
468000,1749659456.030141,-0.018616128712892532,436.2258822917938,0:07:16.225882
480000,1749659467.7539184,-0.019602278247475624,447.94965958595276,0:07:27.949660
492000,1749659479.509024,-0.018270937725901604,459.70476508140564,0:07:39.704765
504000,1749659491.1664667,-0.007818280719220638,471.3622078895569,0:07:51.362208
516000,1749659502.8247523,-0.0033374610356986523,483.02049350738525,0:08:03.020494
528000,1749659514.2176938,-0.0025622504763305187,494.4134349822998,0:08:14.413435
540000,1749659525.3918493,-0.0030174411367625,505.5875904560089,0:08:25.587590
552000,1749659537.1552846,-0.004208054859191179,517.3510258197784,0:08:37.351026
564000,1749659548.8041797,-0.0035806132946163416,528.9999208450317,0:08:48.999921
576000,1749659560.4630961,-0.0030696941539645195,540.6588373184204,0:09:00.658837
588000,1749659572.1095989,-0.0017326526576653123,552.305340051651,0:09:12.305340
600000,1749659583.781318,-0.0017384415259584785,563.9770591259003,0:09:23.977059
612000,1749659595.0457158,-0.00019316871475894004,575.2414569854736,0:09:35.241457
