step,wall_time,train_std,relative_seconds,relative_time
24000,1749659019.8042707,1.0000938177108765,0.0,0:00:00
36000,1749659031.7183645,1.0002474784851074,11.914093732833862,0:00:11.914094
48000,1749659043.6214366,1.0002561807632446,23.817165851593018,0:00:23.817166
60000,1749659055.4933267,1.0002774000167847,35.68905591964722,0:00:35.689056
72000,1749659067.3129456,1.000227928161621,47.50867486000061,0:00:47.508675
84000,1749659078.737606,1.0002330541610718,58.933335304260254,0:00:58.933335
96000,1749659090.1822374,1.0002250671386719,70.37796664237976,0:01:10.377967
108000,1749659102.195334,0.99983149766922,82.39106321334839,0:01:22.391063
120000,1749659114.053854,0.9998116493225098,94.24958324432373,0:01:34.249583
132000,1749659125.8779986,0.9998632669448853,106.07372784614563,0:01:46.073728
144000,1749659137.7931607,1.0002268552780151,117.98888993263245,0:01:57.988890
156000,1749659149.680462,1.000232458114624,129.8761911392212,0:02:09.876191
168000,1749659161.5381587,1.0003350973129272,141.7338879108429,0:02:21.733888
180000,1749659172.7736459,0.9999300241470337,152.9693751335144,0:02:32.969375
192000,1749659184.4851751,0.9994927644729614,164.68090438842773,0:02:44.680904
204000,1749659196.43952,0.9993061423301697,176.63524913787842,0:02:56.635249
216000,1749659208.32734,0.9990644454956055,188.5230691432953,0:03:08.523069
228000,1749659220.2021427,0.9987747073173523,200.39787197113037,0:03:20.397872
240000,1749659232.0104008,0.9988641738891602,212.206130027771,0:03:32.206130
252000,1749659243.7445402,0.998106837272644,223.94026947021484,0:03:43.940269
264000,1749659257.066212,0.9975007772445679,237.2619411945343,0:03:57.261941
276000,1749659268.2944317,0.9969444274902344,248.49016094207764,0:04:08.490161
288000,1749659279.9535654,0.9962791800498962,260.14929461479187,0:04:20.149295
300000,1749659291.822887,0.9958187937736511,272.0186161994934,0:04:32.018616
312000,1749659303.8371522,0.9942868947982788,284.0328814983368,0:04:44.032881
324000,1749659315.7743833,0.9926485419273376,295.97011256217957,0:04:55.970113
336000,1749659327.7329597,0.9911921620368958,307.9286890029907,0:05:07.928689
348000,1749659339.6560795,0.9887118935585022,319.8518087863922,0:05:19.851809
360000,1749659351.1925764,0.9870143532752991,331.3883056640625,0:05:31.388306
372000,1749659362.4914694,0.9844967126846313,342.687198638916,0:05:42.687199
384000,1749659374.359545,0.9816766977310181,354.55527424812317,0:05:54.555274
396000,1749659386.2436237,0.9782843589782715,366.4393529891968,0:06:06.439353
408000,1749659398.1032963,0.9745970964431763,378.2990255355835,0:06:18.299026
420000,1749659409.9034548,0.9702503085136414,390.0991840362549,0:06:30.099184
432000,1749659421.64297,0.9653369188308716,401.8386993408203,0:06:41.838699
444000,1749659433.2179618,0.9584745764732361,413.41369104385376,0:06:53.413691
456000,1749659444.3420308,0.9511159062385559,424.53776001930237,0:07:04.537760
468000,1749659456.0301611,0.9412316679954529,436.2258903980255,0:07:16.225890
480000,1749659467.7539306,0.9294096827507019,447.94965982437134,0:07:27.949660
492000,1749659479.5090358,0.9155892133712769,459.70476508140564,0:07:39.704765
504000,1749659491.166517,0.9018287062644958,471.3622462749481,0:07:51.362246
516000,1749659502.8247643,0.8942136764526367,483.02049350738525,0:08:03.020494
528000,1749659514.2177117,0.8891274333000183,494.4134409427643,0:08:14.413441
540000,1749659525.391869,0.8873504400253296,505.587598323822,0:08:25.587598
552000,1749659537.1552982,0.8888642191886902,517.3510274887085,0:08:37.351027
564000,1749659548.804192,0.8834761381149292,528.9999213218689,0:08:48.999921
576000,1749659560.463108,0.8836709856987,540.6588373184204,0:09:00.658837
