step,wall_time,train_clip_fraction,relative_seconds,relative_time
24000,1749659019.8041813,0.0,0.0,0:00:00
36000,1749659031.718189,8.333333425980527e-06,11.914007663726807,0:00:11.914008
48000,1749659043.621348,5.0000002374872565e-05,23.817166566848755,0:00:23.817167
60000,1749659055.4932306,0.0,35.689049243927,0:00:35.689049
72000,1749659067.3127959,0.0,47.5086145401001,0:00:47.508615
84000,1749659078.7374487,8.333333425980527e-06,58.93326735496521,0:00:58.933267
96000,1749659090.18215,0.0,70.3779685497284,0:01:10.377969
108000,1749659102.1952467,8.333333425980527e-06,82.3910653591156,0:01:22.391065
120000,1749659114.0537648,0.0,94.24958348274231,0:01:34.249583
132000,1749659125.8778632,4.166666622040793e-05,106.07368183135986,0:01:46.073682
144000,1749659137.7930734,2.5000001187436283e-05,117.98889207839966,0:01:57.988892
156000,1749659149.680373,0.00033333332976326346,129.87619161605835,0:02:09.876192
168000,1749659161.5380106,0.00032500000088475645,141.73382925987244,0:02:21.733829
180000,1749659172.7735176,0.00020833333837799728,152.969336271286,0:02:32.969336
192000,1749659184.4850426,0.0002166666672565043,164.68086123466492,0:02:44.680861
204000,1749659196.4393592,0.0006666666595265269,176.63517785072327,0:02:56.635178
216000,1749659208.3272502,0.0011833333410322666,188.5230689048767,0:03:08.523069
228000,1749659220.2020423,0.0065750000067055225,200.39786100387573,0:03:20.397861
240000,1749659232.0103145,0.003116666804999113,212.20613312721252,0:03:32.206133
252000,1749659243.744407,0.0028250000905245543,223.9402256011963,0:03:43.940226
264000,1749659257.066121,0.006099999882280827,237.26193976402283,0:03:57.261940
276000,1749659268.2942905,0.0169166661798954,248.49010920524597,0:04:08.490109
288000,1749659279.9534247,0.015658333897590637,260.14924335479736,0:04:20.149243
300000,1749659291.8227465,0.02708333358168602,272.0185651779175,0:04:32.018565
312000,1749659303.8370605,0.037191666662693024,284.032879114151,0:04:44.032879
324000,1749659315.7742305,0.034425001591444016,295.9700491428375,0:04:55.970049
336000,1749659327.7328684,0.04092499986290932,307.9286870956421,0:05:07.928687
348000,1749659339.6559954,0.03849999979138374,319.85181403160095,0:05:19.851814
360000,1749659351.1924233,0.06469999998807907,331.3882420063019,0:05:31.388242
372000,1749659362.4913461,0.06920000165700912,342.6871647834778,0:05:42.687165
384000,1749659374.3593984,0.07424166798591614,354.5552170276642,0:05:54.555217
396000,1749659386.2435076,0.08251666277647018,366.4393262863159,0:06:06.439326
408000,1749659398.1031308,0.0783916637301445,378.29894948005676,0:06:18.298949
420000,1749659409.9033024,0.11379999667406082,390.09912109375,0:06:30.099121
432000,1749659421.6428277,0.12427499890327454,401.83864641189575,0:06:41.838646
444000,1749659433.217825,0.1260250061750412,413.4136435985565,0:06:53.413644
456000,1749659444.3418975,0.12870000302791595,424.5377161502838,0:07:04.537716
468000,1749659456.0300057,0.1321333348751068,436.2258243560791,0:07:16.225824
480000,1749659467.7538419,0.14380000531673431,447.9496605396271,0:07:27.949661
492000,1749659479.5089216,0.15026666224002838,459.7047402858734,0:07:39.704740
504000,1749659491.1663342,0.07289166748523712,471.3621528148651,0:07:51.362153
516000,1749659502.8246763,0.04071666672825813,483.02049493789673,0:08:03.020495
528000,1749659514.2175813,0.062950000166893,494.4133999347687,0:08:14.413400
540000,1749659525.3917282,0.08900000154972076,505.58754682540894,0:08:25.587547
552000,1749659537.1552012,0.07686666399240494,517.351019859314,0:08:37.351020
564000,1749659548.804104,0.04932500049471855,528.9999227523804,0:08:48.999923
576000,1749659560.463016,0.052841667085886,540.658834695816,0:09:00.658835
