step,wall_time,train_learning_rate,relative_seconds,relative_time
24000,1749659019.804234,9.999999747378752e-05,0.0,0:00:00
36000,1749659031.718295,9.999999747378752e-05,11.914061069488525,0:00:11.914061
48000,1749659043.6214,9.999999747378752e-05,23.817166090011597,0:00:23.817166
60000,1749659055.4932868,9.999999747378752e-05,35.68905282020569,0:00:35.689053
72000,1749659067.312883,9.999999747378752e-05,47.50864887237549,0:00:47.508649
84000,1749659078.7375488,9.999999747378752e-05,58.93331480026245,0:00:58.933315
96000,1749659090.1822011,9.999999747378752e-05,70.37796711921692,0:01:10.377967
108000,1749659102.1952982,9.999999747378752e-05,82.3910641670227,0:01:22.391064
120000,1749659114.0538182,9.999999747378752e-05,94.24958419799805,0:01:34.249584
132000,1749659125.8779397,9.999999747378752e-05,106.07370567321777,0:01:46.073706
144000,1749659137.7931237,9.999999747378752e-05,117.98888969421387,0:01:57.988890
156000,1749659149.6804256,9.999999747378752e-05,129.87619161605835,0:02:09.876192
168000,1749659161.538097,9.999999747378752e-05,141.7338628768921,0:02:21.733863
180000,1749659172.773593,9.999999747378752e-05,152.96935892105103,0:02:32.969359
192000,1749659184.4851258,9.999999747378752e-05,164.68089175224304,0:02:44.680892
204000,1749659196.43944,9.999999747378752e-05,176.6352059841156,0:02:56.635206
216000,1749659208.327303,9.999999747378752e-05,188.5230689048767,0:03:08.523069
228000,1749659220.2020915,9.999999747378752e-05,200.39785742759705,0:03:20.397857
240000,1749659232.0103645,9.999999747378752e-05,212.20613050460815,0:03:32.206131
252000,1749659243.7444634,9.999999747378752e-05,223.94022941589355,0:03:43.940229
264000,1749659257.0661767,9.999999747378752e-05,237.26194262504578,0:03:57.261943
276000,1749659268.294373,9.999999747378752e-05,248.49013900756836,0:04:08.490139
288000,1749659279.9535007,9.999999747378752e-05,260.1492667198181,0:04:20.149267
300000,1749659291.8228273,9.999999747378752e-05,272.0185933113098,0:04:32.018593
312000,1749659303.8371148,9.999999747378752e-05,284.03288078308105,0:04:44.032881
324000,1749659315.774324,9.999999747378752e-05,295.97008991241455,0:04:55.970090
336000,1749659327.7329245,9.999999747378752e-05,307.9286904335022,0:05:07.928690
348000,1749659339.6560445,9.999999747378752e-05,319.85181045532227,0:05:19.851810
360000,1749659351.1925156,9.999999747378752e-05,331.388281583786,0:05:31.388282
372000,1749659362.4914162,9.999999747378752e-05,342.68718218803406,0:05:42.687182
384000,1749659374.3594573,9.999999747378752e-05,354.55522322654724,0:05:54.555223
396000,1749659386.243586,9.999999747378752e-05,366.43935203552246,0:06:06.439352
408000,1749659398.1032197,9.999999747378752e-05,378.2989857196808,0:06:18.298986
420000,1749659409.9033906,9.999999747378752e-05,390.0991566181183,0:06:30.099157
432000,1749659421.6429086,9.999999747378752e-05,401.8386745452881,0:06:41.838675
444000,1749659433.2179043,9.999999747378752e-05,413.4136703014374,0:06:53.413670
456000,1749659444.3419738,9.999999747378752e-05,424.53773975372314,0:07:04.537740
468000,1749659456.0300987,9.999999747378752e-05,436.22586464881897,0:07:16.225865
480000,1749659467.7538953,9.999999747378752e-05,447.9496612548828,0:07:27.949661
492000,1749659479.5089986,9.999999747378752e-05,459.7047646045685,0:07:39.704765
504000,1749659491.1664267,9.999999747378752e-05,471.3621926307678,0:07:51.362193
516000,1749659502.824728,9.999999747378752e-05,483.0204939842224,0:08:03.020494
528000,1749659514.2176573,9.999999747378752e-05,494.41342329978943,0:08:14.413423
540000,1749659525.3918092,9.999999747378752e-05,505.58757519721985,0:08:25.587575
552000,1749659537.155253,9.999999747378752e-05,517.3510189056396,0:08:37.351019
564000,1749659548.8041553,9.999999747378752e-05,528.9999213218689,0:08:48.999921
576000,1749659560.463072,9.999999747378752e-05,540.6588380336761,0:09:00.658838
588000,1749659572.1095748,9.999999747378752e-05,552.3053407669067,0:09:12.305341
600000,1749659583.7812612,9.999999747378752e-05,563.9770271778107,0:09:23.977027
612000,1749659595.0456781,9.999999747378752e-05,575.2414441108704,0:09:35.241444
624000,1749659606.3133125,9.999999747378752e-05,586.509078502655,0:09:46.509079
636000,1749659618.1757636,9.999999747378752e-05,598.3715295791626,0:09:58.371530
648000,1749659629.9162562,9.999999747378752e-05,610.1120221614838,0:10:10.112022
660000,1749659641.570761,9.999999747378752e-05,621.7665269374847,0:10:21.766527
672000,1749659653.2435427,9.999999747378752e-05,633.4393086433411,0:10:33.439309
684000,1749659664.9212887,9.999999747378752e-05,645.1170547008514,0:10:45.117055
696000,1749659676.1352754,9.999999747378752e-05,656.3310413360596,0:10:56.331041
708000,1749659687.568377,9.999999747378752e-05,667.7641429901123,0:11:07.764143
720000,1749659699.3724267,9.999999747378752e-05,679.5681927204132,0:11:19.568193
732000,1749659711.0816147,9.999999747378752e-05,691.2773807048798,0:11:31.277381
744000,1749659722.7988129,9.999999747378752e-05,702.9945788383484,0:11:42.994579
756000,1749659734.479612,9.999999747378752e-05,714.6753780841827,0:11:54.675378
768000,1749659746.248349,9.999999747378752e-05,726.4441149234772,0:12:06.444115
780000,1749659757.3430645,9.999999747378752e-05,737.5388305187225,0:12:17.538831
792000,1749659768.8503928,9.999999747378752e-05,749.0461587905884,0:12:29.046159
804000,1749659780.630121,9.999999747378752e-05,760.825886964798,0:12:40.825887
816000,1749659792.3100803,9.999999747378752e-05,772.5058462619781,0:12:52.505846
828000,1749659804.0466807,9.999999747378752e-05,784.2424466609955,0:13:04.242447
840000,1749659815.75131,9.999999747378752e-05,795.9470760822296,0:13:15.947076
852000,1749659827.4066198,9.999999747378752e-05,807.6023857593536,0:13:27.602386
864000,1749659838.3723223,9.999999747378752e-05,818.5680882930756,0:13:38.568088
