step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749659008.056081,-5563.40478515625,0.0,0:00:00
24000,1749659019.9194322,-5414.87353515625,11.863351106643677,0:00:11.863351
36000,1749659031.8306334,-5348.8505859375,23.77455234527588,0:00:23.774552
48000,1749659043.750923,-5241.17138671875,35.69484186172485,0:00:35.694842
60000,1749659055.6058862,-5165.49072265625,47.54980516433716,0:00:47.549805
72000,1749659067.434735,-5141.19970703125,59.37865400314331,0:00:59.378654
84000,1749659078.9331553,-4905.9970703125,70.87707424163818,0:01:10.877074
96000,1749659090.3815374,-4896.69140625,82.32545638084412,0:01:22.325456
108000,1749659102.3096185,-4749.25048828125,94.25353741645813,0:01:34.253537
120000,1749659114.1641538,-4702.6611328125,106.10807275772095,0:01:46.108073
132000,1749659125.9899325,-4501.20703125,117.93385148048401,0:01:57.933851
144000,1749659137.9073784,-4481.4169921875,129.85129737854004,0:02:09.851297
156000,1749659149.7946522,-4332.41015625,141.7385711669922,0:02:21.738571
168000,1749659161.6827922,-4159.42333984375,153.6267111301422,0:02:33.626711
180000,1749659172.9513896,-4061.235107421875,164.89530849456787,0:02:44.895308
192000,1749659184.5824893,-3803.439453125,176.5264081954956,0:02:56.526408
204000,1749659196.5341182,-3684.170654296875,188.47803711891174,0:03:08.478037
216000,1749659208.4391668,-3529.24365234375,200.38308572769165,0:03:20.383086
228000,1749659220.314888,-3341.850830078125,212.25880694389343,0:03:32.258807
240000,1749659232.122472,-3177.434326171875,224.06639099121094,0:03:44.066391
252000,1749659243.8641353,-3002.4599609375,235.8080542087555,0:03:55.808054
264000,1749659257.1829772,-2954.898681640625,249.1268961429596,0:04:09.126896
276000,1749659268.5026405,-2690.120361328125,260.4465594291687,0:04:20.446559
288000,1749659280.047581,-2452.8349609375,271.99149990081787,0:04:31.991500
300000,1749659291.9360955,-2288.080078125,283.88001441955566,0:04:43.880014
312000,1749659303.9326851,-2066.17724609375,295.8766040802002,0:04:55.876604
324000,1749659315.8714874,-1930.594482421875,307.81540632247925,0:05:07.815406
336000,1749659327.8518405,-1688.674560546875,319.7957594394684,0:05:19.795759
348000,1749659339.7816284,-1590.1627197265625,331.7255473136902,0:05:31.725547
360000,1749659351.3664196,-1343.629638671875,343.31033849716187,0:05:43.310338
372000,1749659362.6769018,-1238.06689453125,354.62082076072693,0:05:54.620821
384000,1749659374.454443,-1065.1240234375,366.3983619213104,0:06:06.398362
396000,1749659386.339922,-877.6736450195312,378.2838408946991,0:06:18.283841
408000,1749659398.2144315,-740.6497802734375,390.1583504676819,0:06:30.158350
420000,1749659410.0002768,-589.7731323242188,401.9441957473755,0:06:41.944196
432000,1749659421.73823,-443.71307373046875,413.68214893341064,0:06:53.682149
444000,1749659433.3964064,-350.972900390625,425.3403253555298,0:07:05.340325
456000,1749659444.525052,-216.12210083007812,436.4689710140228,0:07:16.468971
468000,1749659456.125327,-177.5125732421875,448.0692460536957,0:07:28.069246
480000,1749659467.851338,-81.31150817871094,459.79525685310364,0:07:39.795257
492000,1749659479.606498,-41.63007354736328,471.55041694641113,0:07:51.550417
504000,1749659491.2628713,-41.495018005371094,483.2067902088165,0:08:03.206790
516000,1749659502.9238358,-40.35311508178711,494.8677546977997,0:08:14.867755
528000,1749659514.4009151,-24.419979095458984,506.3448340892792,0:08:26.344834
540000,1749659525.5703702,-31.07954216003418,517.5142891407013,0:08:37.514289
552000,1749659537.251803,-28.32085418701172,529.1957218647003,0:08:49.195722
564000,1749659548.8995094,-22.070858001708984,540.8434283733368,0:09:00.843428
576000,1749659560.575008,-27.94658660888672,552.518926858902,0:09:12.518927
588000,1749659572.207526,-20.015361785888672,564.1514449119568,0:09:24.151445
600000,1749659583.8759768,-29.396507263183594,575.8198957443237,0:09:35.819896
612000,1749659595.2295468,-36.047019958496094,587.1734657287598,0:09:47.173466
624000,1749659606.408134,-23.257678985595703,598.3520529270172,0:09:58.352053
636000,1749659618.2728665,-30.151531219482422,610.2167854309082,0:10:10.216785
648000,1749659630.010309,-21.49696159362793,621.9542279243469,0:10:21.954228
660000,1749659641.664913,-20.220901489257812,633.6088318824768,0:10:33.608832
