step,wall_time,train_kl_divergence_loss,relative_seconds,relative_time
24000,1749612119.9032128,0.00928141176700592,0.0,0:00:00
36000,1749612135.0781376,0.0056402175687253475,15.174924850463867,0:00:15.174925
48000,1749612149.8896015,0.00644154055044055,29.986388683319092,0:00:29.986389
60000,1749612164.7707639,0.008417724631726742,44.86755108833313,0:00:44.867551
72000,1749612179.9157758,0.007455002516508102,60.0125629901886,0:01:00.012563
84000,1749612194.1039703,0.009067205712199211,74.20075750350952,0:01:14.200758
96000,1749612209.4041286,0.008467212319374084,89.50091576576233,0:01:29.500916
108000,1749612227.386376,0.008496172726154327,107.48316311836243,0:01:47.483163
120000,1749612244.053469,0.008554626256227493,124.15025615692139,0:02:04.150256
132000,1749612258.9755664,0.008949176408350468,139.0723536014557,0:02:19.072354
144000,1749612274.2723005,0.008634059689939022,154.36908769607544,0:02:34.369088
156000,1749612288.2365162,0.008567805401980877,168.3333034515381,0:02:48.333303
168000,1749612302.1193564,0.008124652318656445,182.21614360809326,0:03:02.216144
180000,1749612316.2396653,0.009252076968550682,196.33645248413086,0:03:16.336452
192000,1749612330.5741208,0.0073473770171403885,210.67090797424316,0:03:30.670908
204000,1749612345.95357,0.009250192902982235,226.05035710334778,0:03:46.050357
216000,1749612361.3126357,0.00800967589020729,241.40942287445068,0:04:01.409423
228000,1749612376.7498465,0.008902628906071186,256.84663367271423,0:04:16.846634
240000,1749612392.0894098,0.007851831614971161,272.1861970424652,0:04:32.186197
252000,1749612407.7938604,0.007522324565798044,287.890647649765,0:04:47.890648
264000,1749612423.5568984,0.0073784710839390755,303.6536855697632,0:05:03.653686
276000,1749612439.070556,0.009282483719289303,319.16734313964844,0:05:19.167343
288000,1749612454.1187637,0.0071649919264018536,334.2155508995056,0:05:34.215551
300000,1749612468.8170817,0.009584573097527027,348.91386890411377,0:05:48.913869
312000,1749612483.8434224,0.007600225042551756,363.9402096271515,0:06:03.940210
324000,1749612498.0580924,0.009071285836398602,378.1548795700073,0:06:18.154880
336000,1749612512.9697728,0.008516412228345871,393.0665600299835,0:06:33.066560
348000,1749612528.044249,0.009819035418331623,408.14103627204895,0:06:48.141036
360000,1749612542.9955432,0.007109331898391247,423.09233045578003,0:07:03.092330
372000,1749612558.153291,0.007105943281203508,438.25007820129395,0:07:18.250078
384000,1749612573.5154157,0.009225874207913876,453.6122028827667,0:07:33.612203
396000,1749612589.306238,0.009586425498127937,469.4030251502991,0:07:49.403025
408000,1749612605.115027,0.008949625305831432,485.21181416511536,0:08:05.211814
420000,1749612620.3428776,0.008660263381898403,500.43966484069824,0:08:20.439665
432000,1749612635.4243865,0.007457101717591286,515.5211737155914,0:08:35.521174
444000,1749612650.8047066,0.008026428520679474,530.9014937877655,0:08:50.901494
456000,1749612666.0028663,0.00847066380083561,546.0996534824371,0:09:06.099653
468000,1749612680.680257,0.008733708411455154,560.7770442962646,0:09:20.777044
480000,1749612695.6424694,0.009382582269608974,575.7392566204071,0:09:35.739257
492000,1749612710.737998,0.00967421755194664,590.8347852230072,0:09:50.834785
504000,1749612726.1597893,0.008308570832014084,606.2565765380859,0:10:06.256577
516000,1749612741.9955707,0.008888402953743935,622.0923578739166,0:10:22.092358
528000,1749612757.3817122,0.008851190097630024,637.4784994125366,0:10:37.478499
540000,1749612771.2670646,0.008997957222163677,651.3638517856598,0:10:51.363852
552000,1749612786.4447107,0.007734417915344238,666.5414979457855,0:11:06.541498
564000,1749612801.515997,0.009006074629724026,681.6127841472626,0:11:21.612784
576000,1749612816.0203981,0.008825075812637806,696.1171853542328,0:11:36.117185
588000,1749612831.1310701,0.009330072440207005,711.2278573513031,0:11:51.227857
600000,1749612850.2580786,0.008831755258142948,730.3548657894135,0:12:10.354866
612000,1749612865.266183,0.009160244837403297,745.3629701137543,0:12:25.362970
624000,1749612880.6589017,0.008011619560420513,760.7556889057159,0:12:40.755689
636000,1749612896.4246702,0.008111423812806606,776.5214574337006,0:12:56.521457
648000,1749612910.3599603,0.008858145214617252,790.4567475318909,0:13:10.456748
660000,1749612925.1996686,0.008818692527711391,805.2964558601379,0:13:25.296456
672000,1749612940.4292617,0.007880537770688534,820.5260488986969,0:13:40.526049
684000,1749612955.581266,0.009396912530064583,835.6780531406403,0:13:55.678053
696000,1749612970.4470139,0.008234917186200619,850.5438010692596,0:14:10.543801
708000,1749612985.6792998,0.008624963462352753,865.7760870456696,0:14:25.776087
720000,1749613000.3184738,0.007961612194776535,880.4152610301971,0:14:40.415261
732000,1749613015.595552,0.009671390056610107,895.6923391819,0:14:55.692339
744000,1749613030.9279082,0.0016600840026512742,911.0246953964233,0:15:11.024695
756000,1749613046.117921,0.009284191764891148,926.2147083282471,0:15:26.214708
768000,1749613061.6806703,0.008750824257731438,941.7774574756622,0:15:41.777457
780000,1749613077.1203103,0.0046899509616196156,957.2170975208282,0:15:57.217098
792000,1749613092.996425,0.0044912248849868774,973.0932121276855,0:16:13.093212
804000,1749613107.2195694,0.008073504082858562,987.3163566589355,0:16:27.316357
816000,1749613122.295825,0.007690330967307091,1002.3926122188568,0:16:42.392612
828000,1749613137.631929,0.007227528840303421,1017.728716135025,0:16:57.728716
840000,1749613153.0688028,0.009337479248642921,1033.1655900478363,0:17:13.165590
852000,1749613168.1862845,0.00704300869256258,1048.283071756363,0:17:28.283072
864000,1749613183.7108786,0.002916732570156455,1063.8076658248901,0:17:43.807666
876000,1749613197.7289736,0.009758949279785156,1077.8257608413696,0:17:57.825761
888000,1749613212.008047,0.008886170573532581,1092.104834318161,0:18:12.104834
900000,1749613227.642796,0.002724353689700365,1107.7395832538605,0:18:27.739583
912000,1749613243.3729198,0.0094501543790102,1123.4697070121765,0:18:43.469707
924000,1749613259.431593,0.008412384428083897,1139.5283801555634,0:18:59.528380
936000,1749613274.0918467,0.006672448944300413,1154.1886339187622,0:19:14.188634
948000,1749613289.5546527,0.006186877377331257,1169.6514399051666,0:19:29.651440
960000,1749613305.620469,0.0071146623231470585,1185.717256307602,0:19:45.717256
972000,1749613321.205394,0.006347426678985357,1201.3021812438965,0:20:01.302181
984000,1749613338.0480428,0.006566456984728575,1218.1448299884796,0:20:18.144830
996000,1749613353.7039053,0.009838067926466465,1233.8006925582886,0:20:33.800693
1008000,1749613369.5760286,0.009265044704079628,1249.6728157997131,0:20:49.672816
1020000,1749613385.477122,0.006869800388813019,1265.5739092826843,0:21:05.573909
1032000,1749613400.9525926,0.009529327042400837,1281.049379825592,0:21:21.049380
1044000,1749613416.2594724,0.008568162098526955,1296.3562595844269,0:21:36.356260
1056000,1749613431.6351988,0.008590000681579113,1311.7319860458374,0:21:51.731986
1068000,1749613449.061474,0.007749304641038179,1329.1582612991333,0:22:09.158261
1080000,1749613465.2690065,0.009561865590512753,1345.3657937049866,0:22:25.365794
1092000,1749613481.2879746,0.009924782440066338,1361.3847618103027,0:22:41.384762
1104000,1749613497.1118042,0.007144461385905743,1377.2085914611816,0:22:57.208591
1116000,1749613512.4703002,0.009085638448596,1392.5670874118805,0:23:12.567087
1128000,1749613527.4827979,0.00912768766283989,1407.5795850753784,0:23:27.579585
1140000,1749613542.9433327,0.007685672026127577,1423.0401198863983,0:23:43.040120
1152000,1749613558.205306,0.007238015998154879,1438.3020932674408,0:23:58.302093
1164000,1749613573.8338501,0.00926535576581955,1453.9306373596191,0:24:13.930637
1176000,1749613589.314164,0.008693346753716469,1469.4109511375427,0:24:29.410951
