step,wall_time,train_clip_fraction,relative_seconds,relative_time
24000,1749903324.8438175,2.5000001187436283e-05,0.0,0:00:00
36000,1749903337.901449,1.6666666851961054e-05,13.057631492614746,0:00:13.057631
48000,1749903351.654612,9.16666685952805e-05,26.810794591903687,0:00:26.810795
60000,1749903364.8155973,0.0,39.97177982330322,0:00:39.971780
72000,1749903377.905824,0.0,53.06200647354126,0:00:53.062006
84000,1749903391.073492,8.333333425980527e-06,66.22967457771301,0:01:06.229675
96000,1749903404.1746497,0.0,79.3308322429657,0:01:19.330832
108000,1749903417.38124,8.333333425980527e-06,92.53742241859436,0:01:32.537422
120000,1749903430.5285256,1.6666666851961054e-05,105.68470811843872,0:01:45.684708
132000,1749903443.70531,0.00011666666978271678,118.86149263381958,0:01:58.861493
144000,1749903456.76272,5.833333489135839e-05,131.91890263557434,0:02:11.918903
156000,1749903469.7207258,0.0009333333582617342,144.87690830230713,0:02:24.876908
168000,1749903482.6328313,0.0009916666895151138,157.78901386260986,0:02:37.789014
180000,1749903495.5423388,0.0008583333692513406,170.69852137565613,0:02:50.698521
192000,1749903508.609935,0.000750000006519258,183.76611757278442,0:03:03.766118
204000,1749903521.784489,0.0012166666565462947,196.9406714439392,0:03:16.940671
216000,1749903534.9783437,0.0032999999821186066,210.13452625274658,0:03:30.134526
228000,1749903548.2282443,0.009566666558384895,223.3844268321991,0:03:43.384427
240000,1749903561.248454,0.004583333153277636,236.40463662147522,0:03:56.404637
252000,1749903574.1683476,0.005975000094622374,249.3245301246643,0:04:09.324530
264000,1749903587.1255403,0.0064916666597127914,262.28172278404236,0:04:22.281723
276000,1749903600.1030698,0.021649999544024467,275.2592523097992,0:04:35.259252
288000,1749903613.1357362,0.015608333051204681,288.29191875457764,0:04:48.291919
300000,1749903626.1875443,0.027291666716337204,301.3437268733978,0:05:01.343727
312000,1749903639.2750604,0.034841667860746384,314.43124294281006,0:05:14.431243
324000,1749903652.3629956,0.03135833516716957,327.51917815208435,0:05:27.519178
336000,1749903665.5286043,0.03734166547656059,340.6847867965698,0:05:40.684787
348000,1749903678.6563146,0.033766668289899826,353.81249713897705,0:05:53.812497
360000,1749903691.7675295,0.057983335107564926,366.923712015152,0:06:06.923712
372000,1749903704.657504,0.0544000007212162,379.8136866092682,0:06:19.813687
384000,1749903717.6903381,0.06168333441019058,392.84652066230774,0:06:32.846521
396000,1749903730.8407378,0.060991667211055756,405.99692034721375,0:06:45.996920
408000,1749903744.0576918,0.05874166637659073,419.2138743400574,0:06:59.213874
420000,1749903757.226246,0.08719166368246078,432.38242864608765,0:07:12.382429
432000,1749903770.5504758,0.1023416668176651,445.7066583633423,0:07:25.706658
444000,1749903783.793997,0.09828333556652069,458.9501795768738,0:07:38.950180
456000,1749903796.8093693,0.09392499923706055,471.96555185317993,0:07:51.965552
468000,1749903809.7945824,0.11665000021457672,484.9507648944855,0:08:04.950765
480000,1749903822.785191,0.13028334081172943,497.94137358665466,0:08:17.941374
492000,1749903835.826421,0.1305583268404007,510.9826035499573,0:08:30.982604
504000,1749903848.725791,0.13471665978431702,523.8819735050201,0:08:43.881974
516000,1749903861.6167545,0.1430666595697403,536.7729370594025,0:08:56.772937
528000,1749903874.4739275,0.13059166073799133,549.6301100254059,0:09:09.630110
540000,1749903887.3468933,0.17280833423137665,562.503075838089,0:09:22.503076
552000,1749903900.2548444,0.05855000019073486,575.4110269546509,0:09:35.411027
564000,1749903913.0489154,0.016091667115688324,588.2050979137421,0:09:48.205098
576000,1749903925.875856,0.018308334052562714,601.0320384502411,0:10:01.032038
588000,1749903938.7157416,0.009133333340287209,613.871924161911,0:10:13.871924
600000,1749903951.7255716,0.03504166752099991,626.8817541599274,0:10:26.881754
612000,1749903964.9828038,0.019899999722838402,640.1389863491058,0:10:40.138986
624000,1749903978.0217776,0.014858333393931389,653.1779601573944,0:10:53.177960
636000,1749903990.8981035,0.02575833350419998,666.0542860031128,0:11:06.054286
648000,1749904003.721979,0.012858333066105843,678.8781614303589,0:11:18.878161
660000,1749904016.5406823,0.0015999999595806003,691.6968648433685,0:11:31.696865
672000,1749904029.4237156,0.0016416666330769658,704.5798981189728,0:11:44.579898
684000,1749904042.1879668,0.028991667553782463,717.34414935112,0:11:57.344149
696000,1749904055.0514166,0.018008332699537277,730.2075991630554,0:12:10.207599
708000,1749904067.922074,0.01300833374261856,743.0782566070557,0:12:23.078257
720000,1749904080.7001112,0.024150000885128975,755.8562936782837,0:12:35.856294
732000,1749904093.4021146,0.04479166492819786,768.5582971572876,0:12:48.558297
744000,1749904106.1004474,0.07237499952316284,781.2566299438477,0:13:01.256630
756000,1749904118.9594753,0.0440250001847744,794.1156578063965,0:13:14.115658
768000,1749904131.9492702,0.016975000500679016,807.1054527759552,0:13:27.105453
780000,1749904145.0675,0.021916666999459267,820.223682641983,0:13:40.223683
792000,1749904158.0320606,0.03772500157356262,833.1882431507111,0:13:53.188243
804000,1749904170.8424115,0.04778333380818367,845.998594045639,0:14:05.998594
816000,1749904183.6361432,0.0272000003606081,858.7923257350922,0:14:18.792326
828000,1749904196.4598212,0.025683334097266197,871.6160037517548,0:14:31.616004
840000,1749904209.2967935,0.024150000885128975,884.4529759883881,0:14:44.452976
852000,1749904222.076199,0.04428333416581154,897.2323815822601,0:14:57.232382
864000,1749904234.8902493,0.03134166821837425,910.0464317798615,0:15:10.046432
876000,1749904247.7746286,0.061666667461395264,922.9308111667633,0:15:22.930811
888000,1749904260.6523755,0.04151666536927223,935.8085579872131,0:15:35.808558
900000,1749904273.2777562,0.05860833451151848,948.433938741684,0:15:48.433939
912000,1749904286.0520747,0.09257499873638153,961.2082571983337,0:16:01.208257
924000,1749904298.9774427,0.040800001472234726,974.1336252689362,0:16:14.133625
936000,1749904312.0204957,0.03162499889731407,987.1766781806946,0:16:27.176678
948000,1749904325.1484005,0.010100000537931919,1000.3045830726624,0:16:40.304583
960000,1749904338.102977,0.08198333531618118,1013.2591595649719,0:16:53.259160
972000,1749904350.9272845,0.04726666584610939,1026.0834670066833,0:17:06.083467
984000,1749904363.74831,0.03290000185370445,1038.9044926166534,0:17:18.904493
996000,1749904376.6408415,0.06221666559576988,1051.797024011612,0:17:31.797024
1008000,1749904389.5040503,0.04084999859333038,1064.660232782364,0:17:44.660233
1020000,1749904402.299429,0.05620833486318588,1077.4556114673615,0:17:57.455611
1032000,1749904415.1343882,0.0400666669011116,1090.2905707359314,0:18:10.290571
1044000,1749904427.941994,0.06572499871253967,1103.0981764793396,0:18:23.098176
1056000,1749904440.7961376,0.04704166576266289,1115.952320098877,0:18:35.952320
1068000,1749904453.3805504,0.07070833444595337,1128.5367329120636,0:18:48.536733
1080000,1749904466.1703472,0.035883333534002304,1141.3265297412872,0:19:01.326530
1092000,1749904479.2314148,0.03297499939799309,1154.387597322464,0:19:14.387597
1104000,1749904492.2021296,0.046025000512599945,1167.3583121299744,0:19:27.358312
1116000,1749904505.2456944,0.032733332365751266,1180.4018769264221,0:19:40.401877
1128000,1749904518.1540682,0.12078333646059036,1193.3102507591248,0:19:53.310251
1140000,1749904530.9933498,0.03047499991953373,1206.1495323181152,0:20:06.149532
1152000,1749904543.7435627,0.020541666075587273,1218.8997452259064,0:20:18.899745
1164000,1749904556.5587056,0.04061666503548622,1231.7148880958557,0:20:31.714888
1176000,1749904569.3635242,0.04806666821241379,1244.5197067260742,0:20:44.519707
1188000,1749904582.1251953,0.03779999911785126,1257.2813777923584,0:20:57.281378
1200000,1749904595.0158203,0.08357500284910202,1270.1720027923584,0:21:10.172003
1212000,1749904607.8552096,0.04988333210349083,1283.0113921165466,0:21:23.011392
1224000,1749904620.7269447,0.05859166756272316,1295.8831272125244,0:21:35.883127
1236000,1749904633.442672,0.05538333207368851,1308.5988545417786,0:21:48.598855
1248000,1749904646.6574645,0.044083334505558014,1321.813647031784,0:22:01.813647
1260000,1749904660.042396,0.04548333212733269,1335.198578596115,0:22:15.198579
1272000,1749904673.2986224,0.05792500078678131,1348.4548048973083,0:22:28.454805
1284000,1749904686.5805972,0.04157499969005585,1361.7367796897888,0:22:41.736780
1296000,1749904699.6297545,0.044358331710100174,1374.7859370708466,0:22:54.785937
1308000,1749904712.5860894,0.06077500060200691,1387.742271900177,0:23:07.742272
1320000,1749904725.4631271,0.030758334323763847,1400.6193096637726,0:23:20.619310
1332000,1749904738.433311,0.03389166668057442,1413.5894935131073,0:23:33.589494
1344000,1749904751.4006028,0.05144166573882103,1426.5567853450775,0:23:46.556785
1356000,1749904764.2611294,0.04665833339095116,1439.4173119068146,0:23:59.417312
1368000,1749904777.101133,0.06015000119805336,1452.2573156356812,0:24:12.257316
1380000,1749904789.9912217,0.07784999907016754,1465.1474041938782,0:24:25.147404
1392000,1749904802.9417932,0.0636083334684372,1478.097975730896,0:24:38.097976
1404000,1749904815.9019802,0.08429166674613953,1491.058162689209,0:24:51.058163
1416000,1749904828.6938539,0.049683332443237305,1503.8500363826752,0:25:03.850036
1428000,1749904841.6920023,0.0564916655421257,1516.8481848239899,0:25:16.848185
1440000,1749904855.0314245,0.08748333156108856,1530.187607049942,0:25:30.187607
1452000,1749904868.3176796,0.08855833113193512,1543.473862171173,0:25:43.473862
1464000,1749904881.5612926,0.056816667318344116,1556.7174751758575,0:25:56.717475
1476000,1749904894.7818842,0.06262499839067459,1569.9380667209625,0:26:09.938067
1488000,1749904908.1113946,0.08901666849851608,1583.2675771713257,0:26:23.267577
1500000,1749904921.325721,0.12827500700950623,1596.481903553009,0:26:36.481904
1512000,1749904934.300042,0.05268333479762077,1609.4562244415283,0:26:49.456224
1524000,1749904947.2118483,0.07199166715145111,1622.3680307865143,0:27:02.368031
1536000,1749904960.0846841,0.07906666398048401,1635.2408666610718,0:27:15.240867
1548000,1749904972.9688268,0.15033333003520966,1648.1250092983246,0:27:28.125009
1560000,1749904985.8812165,0.05662500113248825,1661.0373990535736,0:27:41.037399
1572000,1749904998.7561603,0.11379166692495346,1673.912342786789,0:27:53.912343
1584000,1749905011.629235,0.07438333332538605,1686.7854175567627,0:28:06.785418
1596000,1749905024.4809036,0.08562500029802322,1699.6370861530304,0:28:19.637086
1608000,1749905037.3641858,0.04760833457112312,1712.5203683376312,0:28:32.520368
1620000,1749905049.961857,0.07745833694934845,1725.1180396080017,0:28:45.118040
1632000,1749905062.777509,0.08834166824817657,1737.9336915016174,0:28:57.933692
1644000,1749905075.9031434,0.06319999694824219,1751.0593259334564,0:29:11.059326
1656000,1749905088.9422438,0.08124999701976776,1764.0984263420105,0:29:24.098426
1668000,1749905102.1321483,0.02358333393931389,1777.2883307933807,0:29:37.288331
1680000,1749905115.2081208,0.0455833338201046,1790.3643033504486,0:29:50.364303
1692000,1749905128.2124002,0.021533332765102386,1803.368582725525,0:30:03.368583
1704000,1749905141.0798645,0.04027500003576279,1816.2360470294952,0:30:16.236047
1716000,1749905153.8857024,0.09133333712816238,1829.0418848991394,0:30:29.041885
1728000,1749905166.8384972,0.1296333372592926,1841.9946796894073,0:30:41.994680
1740000,1749905179.6855855,0.09252499788999557,1854.841768026352,0:30:54.841768
1752000,1749905192.6237047,0.09267500042915344,1867.7798871994019,0:31:07.779887
1764000,1749905205.4296381,0.07734166830778122,1880.5858206748962,0:31:20.585821
1776000,1749905218.3325553,0.11891666799783707,1893.488737821579,0:31:33.488738
1788000,1749905231.341494,0.06950833648443222,1906.4976766109467,0:31:46.497677
1800000,1749905243.8947043,0.06385000050067902,1919.0508868694305,0:31:59.050887
1812000,1749905256.7930088,0.07649166882038116,1931.9491913318634,0:32:11.949191
1824000,1749905269.8590615,0.04870833456516266,1945.0152440071106,0:32:25.015244
1836000,1749905283.0544684,0.09909166395664215,1958.210650920868,0:32:38.210651
1848000,1749905296.2662404,0.052908334881067276,1971.4224228858948,0:32:51.422423
1860000,1749905309.3971117,0.06535833328962326,1984.5532941818237,0:33:04.553294
1872000,1749905322.2835884,0.045524999499320984,1997.439770936966,0:33:17.439771
1884000,1749905335.1387832,0.06341666728258133,2010.2949657440186,0:33:30.294966
1896000,1749905348.0504906,0.07137499749660492,2023.2066731452942,0:33:43.206673
1908000,1749905360.8313534,0.07886666804552078,2035.9875359535217,0:33:55.987536
1920000,1749905373.5885444,0.0591166652739048,2048.744726896286,0:34:08.744727
1932000,1749905386.3199186,0.060083333402872086,2061.4761011600494,0:34:21.476101
1944000,1749905398.9929643,0.0568000003695488,2074.149146795273,0:34:34.149147
1956000,1749905411.6669264,0.1148499995470047,2086.8231089115143,0:34:46.823109
1968000,1749905423.9168408,0.05685833469033241,2099.0730233192444,0:34:59.073023
1980000,1749905436.681391,0.03763333335518837,2111.83757352829,0:35:11.837574
1992000,1749905449.608443,0.11361666768789291,2124.7646255493164,0:35:24.764626
2004000,1749905462.6820116,0.06870000064373016,2137.838194131851,0:35:37.838194
2016000,1749905475.5832467,0.05082499980926514,2150.7394292354584,0:35:50.739429
2028000,1749905488.291378,0.10452499985694885,2163.4475605487823,0:36:03.447561
2040000,1749905501.0631135,0.07245833426713943,2176.219295978546,0:36:16.219296
2052000,1749905513.8151608,0.12970000505447388,2188.971343278885,0:36:28.971343
2064000,1749905526.5978732,0.058674998581409454,2201.754055738449,0:36:41.754056
2076000,1749905539.3895879,0.07418332993984222,2214.545770406723,0:36:54.545770
2088000,1749905552.2228212,0.09008333086967468,2227.379003763199,0:37:07.379004
2100000,1749905564.9486094,0.052166666835546494,2240.104791879654,0:37:20.104792
2112000,1749905577.5944016,0.09632500261068344,2252.750584125519,0:37:32.750584
2124000,1749905590.0344653,0.11820833384990692,2265.1906478405,0:37:45.190648
2136000,1749905602.7776396,0.03395000100135803,2277.933822154999,0:37:57.933822
2148000,1749905615.5812476,0.08561666309833527,2290.7374300956726,0:38:10.737430
2160000,1749905628.6201437,0.03474999964237213,2303.7763261795044,0:38:23.776326
2172000,1749905641.5044553,0.09027499705553055,2316.66063785553,0:38:36.660638
2184000,1749905654.2568645,0.13009166717529297,2329.4130470752716,0:38:49.413047
2196000,1749905666.9404128,0.09046666324138641,2342.096595287323,0:39:02.096595
2208000,1749905679.6389384,0.04713333398103714,2354.7951209545135,0:39:14.795121
2220000,1749905692.3226643,0.04819166660308838,2367.4788467884064,0:39:27.478847
2232000,1749905704.992825,0.06776666641235352,2380.1490075588226,0:39:40.149008
2244000,1749905717.6599817,0.08869166672229767,2392.816164255142,0:39:52.816164
2256000,1749905730.2895367,0.05776666849851608,2405.445719242096,0:40:05.445719
2268000,1749905742.8700516,0.044991668313741684,2418.026234149933,0:40:18.026234
2280000,1749905755.4696712,0.05340833216905594,2430.6258537769318,0:40:30.625854
2292000,1749905768.2476168,0.0453166663646698,2443.4037992954254,0:40:43.403799
2304000,1749905781.0161984,0.09406666457653046,2456.172380924225,0:40:56.172381
2316000,1749905793.9218457,0.13511666655540466,2469.078028202057,0:41:09.078028
2328000,1749905806.603516,0.04515833407640457,2481.7596986293793,0:41:21.759699
2340000,1749905819.2414389,0.06742499768733978,2494.3976213932037,0:41:34.397621
2352000,1749905831.9682329,0.08122500032186508,2507.124415397644,0:41:47.124415
2364000,1749905844.695093,0.08617500215768814,2519.8512754440308,0:41:59.851275
2376000,1749905857.447195,0.056066665798425674,2532.6033775806427,0:42:12.603378
2388000,1749905870.151362,0.12091666460037231,2545.3075444698334,0:42:25.307544
2400000,1749905882.8890207,0.17090833187103271,2558.0452032089233,0:42:38.045203
2412000,1749905895.5844777,0.09916666895151138,2570.7406601905823,0:42:50.740660
2424000,1749905908.0280921,0.12255833297967911,2583.184274673462,0:43:03.184275
2436000,1749905920.75265,0.10121666640043259,2595.908832550049,0:43:15.908833
2448000,1749905933.6390786,0.06105000153183937,2608.795261144638,0:43:28.795261
2460000,1749905946.6731925,0.06462500244379044,2621.8293750286102,0:43:41.829375
2472000,1749905959.6153765,0.06305000185966492,2634.7715590000153,0:43:54.771559
2484000,1749905972.422208,0.07689999788999557,2647.578390598297,0:44:07.578391
2496000,1749905985.1142313,0.09417500346899033,2660.27041387558,0:44:20.270414
2508000,1749905997.839389,0.13208332657814026,2672.9955716133118,0:44:32.995572
2520000,1749906010.605638,0.061141666024923325,2685.7618205547333,0:44:45.761821
2532000,1749906023.2836149,0.06037500128149986,2698.439797401428,0:44:58.439797
2544000,1749906035.9862976,0.05379166826605797,2711.142480134964,0:45:11.142480
2556000,1749906048.7465737,0.09211666882038116,2723.902756214142,0:45:23.902756
2568000,1749906061.5521786,0.08694999665021896,2736.7083611488342,0:45:36.708361
2580000,1749906074.2190964,0.1429416686296463,2749.3752789497375,0:45:49.375279
2592000,1749906087.9868286,0.1298166662454605,2763.1430110931396,0:46:03.143011
2604000,1749906100.7551732,0.07713333517313004,2775.9113557338715,0:46:15.911356
2616000,1749906113.669769,0.10034167021512985,2788.825951576233,0:46:28.825952
2628000,1749906126.7385075,0.14051666855812073,2801.8946900367737,0:46:41.894690
2640000,1749906139.7229445,0.1325666606426239,2814.8791270256042,0:46:54.879127
2652000,1749906152.6186671,0.13663333654403687,2827.774849653244,0:47:07.774850
2664000,1749906165.3825939,0.09390000253915787,2840.538776397705,0:47:20.538776
2676000,1749906178.1879332,0.07391666620969772,2853.3441157341003,0:47:33.344116
2688000,1749906191.093899,0.08127500116825104,2866.250081539154,0:47:46.250082
2700000,1749906203.9039993,0.13130000233650208,2879.0601818561554,0:47:59.060182
2712000,1749906216.7928057,0.14686666429042816,2891.948988199234,0:48:11.948988
2724000,1749906229.5711374,0.14190833270549774,2904.727319955826,0:48:24.727320
2736000,1749906242.3686492,0.07165833562612534,2917.5248317718506,0:48:37.524832
2748000,1749906255.202684,0.08411666750907898,2930.358866453171,0:48:50.358866
2760000,1749906267.6097627,0.0544000007212162,2942.7659451961517,0:49:02.765945
2772000,1749906280.3984845,0.08954166620969772,2955.554666996002,0:49:15.554667
2784000,1749906293.230404,0.08442500233650208,2968.3865864276886,0:49:28.386586
2796000,1749906306.3690221,0.0767916664481163,2981.5252046585083,0:49:41.525205
2808000,1749906319.3215265,0.07284166663885117,2994.477709054947,0:49:54.477709
2820000,1749906332.082391,0.08015833050012589,3007.238573551178,0:50:07.238574
2832000,1749906344.851072,0.19435833394527435,3020.007254600525,0:50:20.007255
2844000,1749906357.5796733,0.12544167041778564,3032.735855817795,0:50:32.735856
2856000,1749906370.3221264,0.10951666533946991,3045.478308916092,0:50:45.478309
2868000,1749906383.0910141,0.14444999396800995,3058.247196674347,0:50:58.247197
2880000,1749906395.854192,0.13125833868980408,3071.010374546051,0:51:11.010375
2892000,1749906408.5813656,0.11916666477918625,3083.7375481128693,0:51:23.737548
2904000,1749906421.2703161,0.07840000092983246,3096.4264986515045,0:51:36.426499
2916000,1749906433.697623,0.07948333024978638,3108.853805541992,0:51:48.853806
2928000,1749906446.4475188,0.1173916682600975,3121.603701353073,0:52:01.603701
2940000,1749906459.3377476,0.1356000006198883,3134.4939301013947,0:52:14.493930
2952000,1749906472.3520808,0.1197916641831398,3147.508263349533,0:52:27.508263
2964000,1749906485.2315748,0.09574999660253525,3160.3877573013306,0:52:40.387757
2976000,1749906498.0478675,0.0669500008225441,3173.204050064087,0:52:53.204050
2988000,1749906510.8204584,0.09363333135843277,3185.9766409397125,0:53:05.976641
3000000,1749906523.5287888,0.11289999634027481,3198.68497133255,0:53:18.684971
3012000,1749906536.3126764,0.08106666803359985,3211.4688589572906,0:53:31.468859
3024000,1749906549.1689577,0.14724166691303253,3224.3251402378082,0:53:44.325140
3036000,1749906561.9691484,0.06786666810512543,3237.125330924988,0:53:57.125331
3048000,1749906574.7755103,0.08167500048875809,3249.931692838669,0:54:09.931693
3060000,1749906587.5690148,0.08919166773557663,3262.725197315216,0:54:22.725197
3072000,1749906600.0888433,0.06584999710321426,3275.245025873184,0:54:35.245026
3084000,1749906612.8716493,0.17053332924842834,3288.0278317928314,0:54:48.027832
3096000,1749906625.7672627,0.14959999918937683,3300.923445224762,0:55:00.923445
3108000,1749906638.9589417,0.13952499628067017,3314.1151242256165,0:55:14.115124
3120000,1749906652.1441405,0.12605834007263184,3327.300323009491,0:55:27.300323
3132000,1749906665.2168772,0.10913333296775818,3340.3730597496033,0:55:40.373060
3144000,1749906678.0794158,0.1520666629076004,3353.2355983257294,0:55:53.235598
3156000,1749906690.849471,0.11786666512489319,3366.0056536197662,0:56:06.005654
3168000,1749906703.6181273,0.08829166740179062,3378.774309873581,0:56:18.774310
3180000,1749906716.4196727,0.10970833152532578,3391.575855255127,0:56:31.575855
3192000,1749906729.348954,0.05490000173449516,3404.505136489868,0:56:44.505136
3204000,1749906742.1489246,0.0832916647195816,3417.305107116699,0:56:57.305107
3216000,1749906754.9906418,0.16032500565052032,3430.146824359894,0:57:10.146824
