step,wall_time,train_entropy_loss,relative_seconds,relative_time
24000,1749903324.8438444,-9.932937622070312,0.0,0:00:00
36000,1749903337.9014912,-9.933849334716797,13.057646751403809,0:00:13.057647
48000,1749903351.6546388,-9.934409141540527,26.810794353485107,0:00:26.810794
60000,1749903364.815645,-9.934478759765625,39.971800565719604,0:00:39.971801
72000,1749903377.905867,-9.93435001373291,53.06202268600464,0:00:53.062023
84000,1749903391.073521,-9.934159278869629,66.22967648506165,0:01:06.229676
96000,1749903404.174691,-9.934090614318848,79.33084654808044,0:01:19.330847
108000,1749903417.381278,-9.932964324951172,92.53743362426758,0:01:32.537434
120000,1749903430.528554,-9.931649208068848,105.6847095489502,0:01:45.684710
132000,1749903443.7053552,-9.931731224060059,118.86151075363159,0:01:58.861511
144000,1749903456.762766,-9.932967185974121,131.9189214706421,0:02:11.918921
156000,1749903469.7207713,-9.93431568145752,144.8769268989563,0:02:24.876927
168000,1749903482.6328683,-9.934563636779785,157.78902387619019,0:02:37.789024
180000,1749903495.5423777,-9.933615684509277,170.69853329658508,0:02:50.698533
192000,1749903508.6099746,-9.930804252624512,183.76613020896912,0:03:03.766130
204000,1749903521.784539,-9.928732872009277,196.94069457054138,0:03:16.940695
216000,1749903534.9783835,-9.927408218383789,210.13453912734985,0:03:30.134539
228000,1749903548.2282789,-9.925682067871094,223.38443446159363,0:03:43.384434
240000,1749903561.2484865,-9.924772262573242,236.40464210510254,0:03:56.404642
252000,1749903574.1683912,-9.922698020935059,249.32454681396484,0:04:09.324547
264000,1749903587.1255727,-9.918128967285156,262.2817282676697,0:04:22.281728
276000,1749903600.1031117,-9.914377212524414,275.2592673301697,0:04:35.259267
288000,1749903613.1357646,-9.910219192504883,288.2919201850891,0:04:48.291920
300000,1749903626.187583,-9.906546592712402,301.3437385559082,0:05:01.343739
312000,1749903639.2751024,-9.900617599487305,314.43125796318054,0:05:14.431258
324000,1749903652.3630593,-9.890886306762695,327.51921486854553,0:05:27.519215
336000,1749903665.528631,-9.881589889526367,340.68478655815125,0:05:40.684787
348000,1749903678.6563616,-9.870367050170898,353.8125171661377,0:05:53.812517
360000,1749903691.7675748,-9.858386993408203,366.92373037338257,0:06:06.923730
372000,1749903704.6575496,-9.847253799438477,379.81370520591736,0:06:19.813705
384000,1749903717.6903768,-9.831563949584961,392.8465323448181,0:06:32.846532
396000,1749903730.8407793,-9.814332962036133,405.99693489074707,0:06:45.996935
