step,wall_time,train_policy_gradient_loss,relative_seconds,relative_time
24000,1749903324.8438935,-0.0017693270929157734,0.0,0:00:00
36000,1749903337.9016216,-0.001689070020802319,13.057728052139282,0:00:13.057728
48000,1749903351.6546898,-0.002183472039178014,26.81079626083374,0:00:26.810796
60000,1749903364.8157322,-0.0011064659338444471,39.97183871269226,0:00:39.971839
72000,1749903377.9059331,-0.0012990070972591639,53.062039613723755,0:00:53.062040
84000,1749903391.0735736,-0.0015599378384649754,66.22968006134033,0:01:06.229680
96000,1749903404.174772,-0.0014002659590914845,79.33087849617004,0:01:19.330878
108000,1749903417.3813362,-0.0019213265040889382,92.53744268417358,0:01:32.537443
120000,1749903430.528606,-0.0016074936138466,105.68471240997314,0:01:45.684712
132000,1749903443.705436,-0.0018335992936044931,118.86154246330261,0:01:58.861542
144000,1749903456.7628498,-0.0014620936708524823,131.91895627975464,0:02:11.918956
156000,1749903469.7208557,-0.0026740143075585365,144.876962184906,0:02:24.876962
168000,1749903482.632944,-0.002617078833281994,157.78905057907104,0:02:37.789051
180000,1749903495.5424519,-0.0025282176211476326,170.6985583305359,0:02:50.698558
192000,1749903508.6100779,-0.00228108000010252,183.76618432998657,0:03:03.766184
204000,1749903521.7846143,-0.002542088506743312,196.94072079658508,0:03:16.940721
216000,1749903534.978463,-0.0033436839003115892,210.1345694065094,0:03:30.134569
228000,1749903548.228328,-0.00458625890314579,223.38443446159363,0:03:43.384434
240000,1749903561.248542,-0.0032412554137408733,236.40464854240417,0:03:56.404649
252000,1749903574.1684554,-0.003647439181804657,249.32456183433533,0:04:09.324562
264000,1749903587.1256216,-0.003569507272914052,262.2817280292511,0:04:22.281728
276000,1749903600.1031613,-0.005572064314037561,275.25926780700684,0:04:35.259268
288000,1749903613.135815,-0.004536155611276627,288.291921377182,0:04:48.291921
300000,1749903626.187634,-0.006062635220587254,301.34374046325684,0:05:01.343740
312000,1749903639.2751591,-0.006801780313253403,314.4312655925751,0:05:14.431266
324000,1749903652.3631396,-0.006011654622852802,327.5192461013794,0:05:27.519246
336000,1749903665.52868,-0.006519014947116375,340.68478655815125,0:05:40.684787
348000,1749903678.6564448,-0.005951151717454195,353.8125512599945,0:05:53.812551
360000,1749903691.7676613,-0.008527272380888462,366.9237678050995,0:06:06.923768
372000,1749903704.6576242,-0.0075850882567465305,379.8137307167053,0:06:19.813731
384000,1749903717.690455,-0.00889535155147314,392.84656143188477,0:06:32.846561
396000,1749903730.8408616,-0.008484765887260437,405.99696803092957,0:06:45.996968
408000,1749903744.0578098,-0.008005247451364994,419.2139163017273,0:06:59.213916
420000,1749903757.226324,-0.01130770891904831,432.3824305534363,0:07:12.382431
432000,1749903770.550595,-0.013331227004528046,445.7067015171051,0:07:25.706702
444000,1749903783.7941442,-0.012439955025911331,458.95025062561035,0:07:38.950251
456000,1749903796.809503,-0.01250430941581726,471.9656095504761,0:07:51.965610
468000,1749903809.7946632,-0.014974509365856647,484.95076966285706,0:08:04.950770
480000,1749903822.7852774,-0.016757043078541756,497.94138383865356,0:08:17.941384
492000,1749903835.8265533,-0.017318112775683403,510.98265981674194,0:08:30.982660
504000,1749903848.725866,-0.017517292872071266,523.8819725513458,0:08:43.881973
516000,1749903861.6168733,-0.01837846077978611,536.7729797363281,0:08:56.772980
528000,1749903874.4740767,-0.01742505468428135,549.6301832199097,0:09:09.630183
540000,1749903887.3469667,-0.011776578612625599,562.5030732154846,0:09:22.503073
552000,1749903900.2549634,-0.005800214130431414,575.4110698699951,0:09:35.411070
564000,1749903913.0490582,-0.0021855547092854977,588.2051646709442,0:09:48.205165
576000,1749903925.8760557,-0.001989834476262331,601.0321621894836,0:10:01.032162
588000,1749903938.715849,-0.0011915364302694798,613.8719553947449,0:10:13.871955
600000,1749903951.7256944,-0.0033234620932489634,626.8818008899689,0:10:26.881801
612000,1749903964.98289,-0.0023991363123059273,640.1389963626862,0:10:40.138996
624000,1749903978.0218892,-0.0018699007341638207,653.1779956817627,0:10:53.177996
636000,1749903990.8981793,-0.001916119479574263,666.0542857646942,0:11:06.054286
648000,1749904003.72209,-0.0015411258209496737,678.87819647789,0:11:18.878196
