step,wall_time,train_std,relative_seconds,relative_time
24000,1749899489.0361545,1.0001137256622314,0.0,0:00:00
36000,1749899502.2348166,1.0002416372299194,13.198662042617798,0:00:13.198662
48000,1749899515.4389927,1.0002621412277222,26.402838230133057,0:00:26.402838
60000,1749899528.910234,1.000277042388916,39.87407946586609,0:00:39.874079
72000,1749899542.2961295,1.0002321004867554,53.25997495651245,0:00:53.259975
84000,1749899555.795394,1.000238060951233,66.75923943519592,0:01:06.759239
96000,1749899569.438089,1.0002248287200928,80.40193438529968,0:01:20.401934
108000,1749899583.0502372,0.9999153017997742,94.01408267021179,0:01:34.014083
120000,1749899596.5839772,0.9998975396156311,107.54782271385193,0:01:47.547823
132000,1749899610.1013536,0.9999510645866394,121.06519913673401,0:02:01.065199
144000,1749899623.515175,1.000278353691101,134.47902059555054,0:02:14.479021
156000,1749899636.8317761,1.0003126859664917,147.79562163352966,0:02:27.795622
168000,1749899650.0172231,1.000417947769165,160.98106861114502,0:02:40.981069
180000,1749899663.1402802,1.0000851154327393,174.10412573814392,0:02:54.104126
192000,1749899676.353545,0.9997218251228333,187.31739044189453,0:03:07.317390
204000,1749899689.572987,0.9995894432067871,200.53683257102966,0:03:20.536833
216000,1749899702.7994103,0.9994252920150757,213.76325583457947,0:03:33.763256
228000,1749899716.0266948,0.9992151856422424,226.990540266037,0:03:46.990540
240000,1749899729.17147,0.999328076839447,240.1353154182434,0:04:00.135315
252000,1749899742.3676524,0.9987483024597168,253.33149790763855,0:04:13.331498
264000,1749899755.5581539,0.998327910900116,266.52199935913086,0:04:26.521999
276000,1749899768.7753568,0.9979243278503418,279.73920226097107,0:04:39.739202
288000,1749899781.9101627,0.997446596622467,292.87400817871094,0:04:52.874008
300000,1749899795.0990057,0.9972022175788879,306.062851190567,0:05:06.062851
312000,1749899808.2446795,0.9962068796157837,319.20852494239807,0:05:19.208525
324000,1749899821.2036839,0.9950571060180664,332.1675293445587,0:05:32.167529
336000,1749899834.4502728,0.9942270517349243,345.4141182899475,0:05:45.414118
348000,1749899847.588683,0.9926013350486755,358.55252838134766,0:05:58.552528
360000,1749899860.947367,0.9916947484016418,371.9112124443054,0:06:11.911212
372000,1749899874.2432106,0.9902409911155701,385.2070560455322,0:06:25.207056
384000,1749899887.7413738,0.9884750247001648,398.7052192687988,0:06:38.705219
396000,1749899901.2322874,0.9867540001869202,412.1961328983307,0:06:52.196133
408000,1749899914.5851755,0.9846821427345276,425.5490210056305,0:07:05.549021
420000,1749899927.8415256,0.9824866652488708,438.8053710460663,0:07:18.805371
432000,1749899941.013903,0.9803818464279175,451.97774839401245,0:07:31.977748
444000,1749899954.144848,0.9774184823036194,465.1086935997009,0:07:45.108694
456000,1749899967.2612596,0.9741778373718262,478.22510504722595,0:07:58.225105
468000,1749899980.3530967,0.9704219698905945,491.3169422149658,0:08:11.316942
480000,1749899993.5351248,0.9657729268074036,504.49897027015686,0:08:24.498970
492000,1749900006.7097065,0.9602489471435547,517.6735520362854,0:08:37.673552
504000,1749900019.9756296,0.9537047147750854,530.9394750595093,0:08:50.939475
516000,1749900033.1794364,0.9467353820800781,544.1432819366455,0:09:04.143282
528000,1749900046.4682055,0.9370394349098206,557.4320509433746,0:09:17.432051
540000,1749900059.6204376,0.9249134063720703,570.5842831134796,0:09:30.584283
552000,1749900072.7859375,0.9096068143844604,583.749783039093,0:09:43.749783
564000,1749900085.690479,0.8946327567100525,596.6543245315552,0:09:56.654325
576000,1749900098.4853675,0.8797124624252319,609.4492130279541,0:10:09.449213
588000,1749900111.5361671,0.8783698678016663,622.5000126361847,0:10:22.500013
600000,1749900124.7052755,0.8776089549064636,635.6691210269928,0:10:35.669121
612000,1749900137.8659215,0.8772246241569519,648.8297669887543,0:10:48.829767
624000,1749900151.1201074,0.877166748046875,662.0839529037476,0:11:02.083953
636000,1749900164.2231934,0.8767391443252563,675.187038898468,0:11:15.187039
648000,1749900177.1874747,0.8767085671424866,688.1513202190399,0:11:28.151320
660000,1749900190.1825895,0.8756899237632751,701.1464350223541,0:11:41.146435
672000,1749900203.164609,0.8754772543907166,714.1284544467926,0:11:54.128454
684000,1749900216.2606363,0.8745425343513489,727.2244818210602,0:12:07.224482
696000,1749900229.265749,0.8745336532592773,740.2295944690704,0:12:20.229594
708000,1749900242.2544234,0.8727307915687561,753.2182688713074,0:12:33.218269
720000,1749900255.2643857,0.8723818063735962,766.2282311916351,0:12:46.228231
732000,1749900268.2386978,0.8716519474983215,779.202543258667,0:12:59.202543
744000,1749900281.3436131,0.87216717004776,792.3074586391449,0:13:12.307459
756000,1749900294.2412677,0.8717955350875854,805.2051131725311,0:13:25.205113
768000,1749900307.0369432,0.8706122040748596,818.0007886886597,0:13:38.000789
780000,1749900320.039887,0.8704314231872559,831.0037324428558,0:13:51.003732
792000,1749900333.1489742,0.8697792887687683,844.1128196716309,0:14:04.112820
804000,1749900346.32808,0.8704238533973694,857.2919254302979,0:14:17.291925
816000,1749900359.4418848,0.8694267868995667,870.4057302474976,0:14:30.405730
828000,1749900372.5014844,0.8671754598617554,883.4653298854828,0:14:43.465330
840000,1749900385.3707817,0.8656259179115295,896.3346271514893,0:14:56.334627
852000,1749900398.3076596,0.8658514618873596,909.2715051174164,0:15:09.271505
864000,1749900411.259694,0.8645265698432922,922.2235395908356,0:15:22.223540
876000,1749900424.1744146,0.8627649545669556,935.1382601261139,0:15:35.138260
888000,1749900437.0424948,0.8620477318763733,948.006340265274,0:15:48.006340
900000,1749900449.887514,0.860122561454773,960.8513596057892,0:16:00.851360
912000,1749900462.7719932,0.8601283431053162,973.7358386516571,0:16:13.735839
924000,1749900475.6516528,0.855913519859314,986.6154983043671,0:16:26.615498
936000,1749900488.4501243,0.8549150228500366,999.4139697551727,0:16:39.413970
948000,1749900501.0295753,0.8538561463356018,1011.9934208393097,0:16:51.993421
960000,1749900513.7804816,0.8536155819892883,1024.7443270683289,0:17:04.744327
972000,1749900526.760459,0.8515097498893738,1037.7243044376373,0:17:17.724304
984000,1749900539.7637503,0.8488410711288452,1050.7275958061218,0:17:30.727596
996000,1749900552.6748269,0.8473202586174011,1063.6386723518372,0:17:43.638672
1008000,1749900565.3905835,0.8468921780586243,1076.3544290065765,0:17:56.354429
1020000,1749900578.1603932,0.8449429273605347,1089.124238729477,0:18:09.124239
1032000,1749900590.9351723,0.8422222137451172,1101.8990178108215,0:18:21.899018
1044000,1749900603.7186406,0.8412381410598755,1114.6824860572815,0:18:34.682486
1056000,1749900616.5101066,0.840657651424408,1127.4739520549774,0:18:47.473952
1068000,1749900629.3998804,0.8381543755531311,1140.36372590065,0:19:00.363726
1080000,1749900642.5131638,0.8357734084129333,1153.4770092964172,0:19:13.477009
1092000,1749900655.9446065,0.833416759967804,1166.9084520339966,0:19:26.908452
1104000,1749900670.038502,0.832156240940094,1181.0023474693298,0:19:41.002347
1116000,1749900683.5890136,0.8295335173606873,1194.5528590679169,0:19:54.552859
1128000,1749900698.0262713,0.8294764161109924,1208.9901168346405,0:20:08.990117
1140000,1749900711.6156518,0.8267545700073242,1222.5794973373413,0:20:22.579497
1152000,1749900725.1026037,0.8233914971351624,1236.0664491653442,0:20:36.066449
1164000,1749900739.115179,0.8238732218742371,1250.079024553299,0:20:50.079025
1176000,1749900752.3579495,0.8211244940757751,1263.3217949867249,0:21:03.321795
1188000,1749900765.4607756,0.8184564709663391,1276.424621105194,0:21:16.424621
1200000,1749900778.638732,0.8199988007545471,1289.6025774478912,0:21:29.602577
1212000,1749900792.0810173,0.8195104002952576,1303.0448627471924,0:21:43.044863
1224000,1749900805.354287,0.8171616196632385,1316.3181324005127,0:21:56.318132
1236000,1749900819.0417352,0.8191370964050293,1330.005580663681,0:22:10.005581
1248000,1749900832.6516953,0.8180641531944275,1343.6155407428741,0:22:23.615541
1260000,1749900845.9827774,0.816252589225769,1356.9466228485107,0:22:36.946623
1272000,1749900859.257332,0.8138085603713989,1370.2211775779724,0:22:50.221178
1284000,1749900872.3286223,0.8111143112182617,1383.2924678325653,0:23:03.292468
1296000,1749900885.4243865,0.8119619488716125,1396.3882319927216,0:23:16.388232
1308000,1749900898.544239,0.8101272583007812,1409.5080845355988,0:23:29.508085
1320000,1749900911.5356286,0.8096862435340881,1422.4994740486145,0:23:42.499474
1332000,1749900924.465199,0.8062775731086731,1435.4290444850922,0:23:55.429044
1344000,1749900937.3604891,0.8055352568626404,1448.3243346214294,0:24:08.324335
1356000,1749900950.2774327,0.8024995923042297,1461.2412781715393,0:24:21.241278
1368000,1749900963.2376926,0.800201416015625,1474.2015380859375,0:24:34.201538
1380000,1749900976.2008073,0.8001704216003418,1487.1646528244019,0:24:47.164653
1392000,1749900989.2358713,0.7980384826660156,1500.1997168064117,0:25:00.199717
1404000,1749901001.9968781,0.7967811822891235,1512.9607236385345,0:25:12.960724
1416000,1749901014.7786458,0.795149028301239,1525.7424912452698,0:25:25.742491
1428000,1749901027.7086911,0.7925521731376648,1538.672536611557,0:25:38.672537
1440000,1749901040.7819226,0.7917576432228088,1551.745768070221,0:25:51.745768
1452000,1749901053.9197776,0.7896089553833008,1564.883623123169,0:26:04.883623
1464000,1749901067.029277,0.7902132868766785,1577.9931225776672,0:26:17.993123
1476000,1749901079.8359938,0.7902113199234009,1590.799839258194,0:26:30.799839
1488000,1749901092.6494584,0.7887267470359802,1603.613303899765,0:26:43.613304
1500000,1749901105.5439475,0.785434365272522,1616.5077929496765,0:26:56.507793
1512000,1749901118.5406883,0.7871540188789368,1629.5045337677002,0:27:09.504534
1524000,1749901131.5113232,0.786210834980011,1642.4751687049866,0:27:22.475169
1536000,1749901144.494539,0.7834777235984802,1655.458384513855,0:27:35.458385
1548000,1749901157.4426913,0.7822263836860657,1668.4065368175507,0:27:48.406537
1560000,1749901170.310776,0.7815402150154114,1681.2746214866638,0:28:01.274621
1572000,1749901183.1350117,0.7805795669555664,1694.098857164383,0:28:14.098857
1584000,1749901195.6944783,0.7776429057121277,1706.658323764801,0:28:26.658324
1596000,1749901208.67062,0.7766997218132019,1719.634465456009,0:28:39.634465
1608000,1749901221.6696186,0.7754533886909485,1732.6334640979767,0:28:52.633464
1620000,1749901234.8478642,0.7743980288505554,1745.8117096424103,0:29:05.811710
1632000,1749901248.1152334,0.773310124874115,1759.079078912735,0:29:19.079079
1644000,1749901261.0804958,0.7721763253211975,1772.04434132576,0:29:32.044341
1656000,1749901273.9908183,0.7698748707771301,1784.9546637535095,0:29:44.954664
1668000,1749901286.800996,0.7681898474693298,1797.764841556549,0:29:57.764842
1680000,1749901299.7949228,0.7675784826278687,1810.7587683200836,0:30:10.758768
1692000,1749901312.67815,0.7655664682388306,1823.6419954299927,0:30:23.641995
1704000,1749901325.5715792,0.7648038268089294,1836.53542470932,0:30:36.535425
1716000,1749901338.57761,0.763030469417572,1849.5414555072784,0:30:49.541456
1728000,1749901351.478595,0.7615065574645996,1862.4424405097961,0:31:02.442441
1740000,1749901364.3253732,0.7604460120201111,1875.2892186641693,0:31:15.289219
1752000,1749901377.2407696,0.7595183253288269,1888.2046151161194,0:31:28.204615
1764000,1749901389.838088,0.759036660194397,1900.8019335269928,0:31:40.801934
1776000,1749901402.785497,0.7583176493644714,1913.7493424415588,0:31:53.749342
1788000,1749901415.7598727,0.7571921348571777,1926.7237181663513,0:32:06.723718
1800000,1749901428.878496,0.7548142671585083,1939.8423414230347,0:32:19.842341
1812000,1749901442.0664258,0.7525477409362793,1953.0302712917328,0:32:33.030271
1824000,1749901455.1922135,0.7511764168739319,1966.1560590267181,0:32:46.156059
1836000,1749901468.2332015,0.7476115226745605,1979.197046995163,0:32:59.197047
1848000,1749901481.0851994,0.7458919882774353,1992.0490448474884,0:33:12.049045
1860000,1749901493.966811,0.7439540028572083,2004.9306564331055,0:33:24.930656
1872000,1749901506.7553926,0.7443624138832092,2017.7192380428314,0:33:37.719238
1884000,1749901519.6602187,0.7420313954353333,2030.624064207077,0:33:50.624064
1896000,1749901532.6399605,0.7433419823646545,2043.6038060188293,0:34:03.603806
1908000,1749901545.6258292,0.7416941523551941,2056.5896747112274,0:34:16.589675
1920000,1749901558.5393977,0.7415913343429565,2069.5032432079315,0:34:29.503243
1932000,1749901571.3862166,0.7417065501213074,2082.3500621318817,0:34:42.350062
1944000,1749901583.9276533,0.7395848631858826,2094.8914988040924,0:34:54.891499
1956000,1749901596.6969693,0.7375556826591492,2107.6608147621155,0:35:07.660815
1968000,1749901609.7080748,0.7357534170150757,2120.67192029953,0:35:20.671920
1980000,1749901622.7478018,0.7353090643882751,2133.71164727211,0:35:33.711647
1992000,1749901635.8791137,0.7345110177993774,2146.842959165573,0:35:46.842959
2004000,1749901648.8834007,0.7317278981208801,2159.847246170044,0:35:59.847246
