step,wall_time,train_policy_gradient_loss,relative_seconds,relative_time
24000,1749899489.0361423,-0.0016400761669501662,0.0,0:00:00
36000,1749899502.2347987,-0.0015781187685206532,13.1986563205719,0:00:13.198656
48000,1749899515.4389749,-0.002063191495835781,26.402832508087158,0:00:26.402833
60000,1749899528.9102163,-0.0010315902763977647,39.87407398223877,0:00:39.874074
72000,1749899542.296112,-0.0011946276063099504,53.25996971130371,0:00:53.259970
84000,1749899555.7953758,-0.001402083900757134,66.75923347473145,0:01:06.759233
96000,1749899569.4380713,-0.0012609872501343489,80.40192890167236,0:01:20.401929
108000,1749899583.0502188,-0.0017316562589257956,94.01407647132874,0:01:34.014076
120000,1749899596.5839586,-0.0014496813528239727,107.5478162765503,0:01:47.547816
132000,1749899610.101336,-0.0016320939175784588,121.06519365310669,0:02:01.065194
144000,1749899623.5151544,-0.0012775481445714831,134.4790120124817,0:02:14.479012
156000,1749899636.8317637,-0.0023370275739580393,147.79562139511108,0:02:27.795621
168000,1749899650.0172112,-0.0022354689426720142,160.9810688495636,0:02:40.981069
180000,1749899663.1402597,-0.002134624170139432,174.10411739349365,0:02:54.104117
192000,1749899676.353524,-0.002087997505441308,187.3173816204071,0:03:07.317382
204000,1749899689.572969,-0.0021600681357085705,200.53682661056519,0:03:20.536827
216000,1749899702.7993977,-0.0028743278235197067,213.7632553577423,0:03:33.763255
228000,1749899716.0266826,-0.003952330444008112,226.990540266037,0:03:46.990540
240000,1749899729.1714492,-0.0026978838723152876,240.13530683517456,0:04:00.135307
252000,1749899742.36763,-0.003079446963965893,253.33148765563965,0:04:13.331488
264000,1749899755.558142,-0.0028980353381484747,266.52199959754944,0:04:26.522000
276000,1749899768.7753444,-0.004736015573143959,279.7392020225525,0:04:39.739202
288000,1749899781.9101503,-0.003785512177273631,292.87400794029236,0:04:52.874008
300000,1749899795.098986,-0.005009782034903765,306.0628435611725,0:05:06.062844
312000,1749899808.2446592,-0.00572509178891778,319.2085168361664,0:05:19.208517
324000,1749899821.2036657,-0.0049426439218223095,332.16752338409424,0:05:32.167523
336000,1749899834.4502532,-0.005440908018499613,345.41411089897156,0:05:45.414111
348000,1749899847.5886633,-0.00482986168935895,358.5525209903717,0:05:58.552521
360000,1749899860.9473486,-0.007116641849279404,371.91120624542236,0:06:11.911206
372000,1749899874.2431982,-0.0061752330511808395,385.20705580711365,0:06:25.207056
384000,1749899887.7413614,-0.007309605833142996,398.70521903038025,0:06:38.705219
396000,1749899901.232269,-0.006984533742070198,412.19612669944763,0:06:52.196127
408000,1749899914.5851634,-0.006072059273719788,425.5490210056305,0:07:05.549021
420000,1749899927.8415127,-0.009014947339892387,438.80537033081055,0:07:18.805370
432000,1749899941.0138905,-0.01072352472692728,451.9777481555939,0:07:31.977748
444000,1749899954.1448278,-0.009501284919679165,465.10868549346924,0:07:45.108685
456000,1749899967.2612474,-0.009663001634180546,478.22510504722595,0:07:58.225105
468000,1749899980.3530786,-0.011681853793561459,491.31693625450134,0:08:11.316936
480000,1749899993.5351038,-0.013444574549794197,504.49896144866943,0:08:24.498961
492000,1749900006.7096944,-0.013112399727106094,517.6735520362854,0:08:37.673552
504000,1749900019.975618,-0.013441803865134716,530.9394755363464,0:08:50.939476
516000,1749900033.1794186,-0.015256850980222225,544.1432762145996,0:09:04.143276
528000,1749900046.4681938,-0.016158578917384148,557.4320514202118,0:09:17.432051
540000,1749900059.620418,-0.016631582751870155,570.5842757225037,0:09:30.584276
552000,1749900072.785919,-0.017339114099740982,583.7497766017914,0:09:43.749777
564000,1749900085.6904585,-0.01812542974948883,596.6543161869049,0:09:56.654316
576000,1749900098.4853504,-0.015717163681983948,609.4492080211639,0:10:09.449208
588000,1749900111.536149,-0.00498201372101903,622.5000066757202,0:10:22.500007
600000,1749900124.7052567,-0.0061239819042384624,635.6691143512726,0:10:35.669114
612000,1749900137.8659008,-0.001828809268772602,648.8297584056854,0:10:48.829758
624000,1749900151.120089,-0.0022235156502574682,662.0839467048645,0:11:02.083947
636000,1749900164.2231808,-0.0011427439749240875,675.1870384216309,0:11:15.187038
648000,1749900177.1874557,-0.0012725131819024682,688.1513133049011,0:11:28.151313
660000,1749900190.1825707,-0.002831351710483432,701.1464283466339,0:11:41.146428
672000,1749900203.164597,-0.001414766418747604,714.1284546852112,0:11:54.128455
684000,1749900216.2606173,-0.0020497790537774563,727.2244749069214,0:12:07.224475
696000,1749900229.2657287,-0.0036703897640109062,740.2295863628387,0:12:20.229586
708000,1749900242.2544112,-0.0032350504770874977,753.2182688713074,0:12:33.218269
720000,1749900255.264374,-0.002954023191705346,766.2282316684723,0:12:46.228232
732000,1749900268.2386858,-0.005466897506266832,779.2025434970856,0:12:59.202543
744000,1749900281.3435993,-0.004237866960465908,792.3074569702148,0:13:12.307457
756000,1749900294.2412498,-0.004015159327536821,805.2051074504852,0:13:25.205107
768000,1749900307.0369258,-0.0013892592396587133,818.0007834434509,0:13:38.000783
780000,1749900320.0398672,-0.0015416806563735008,831.0037248134613,0:13:51.003725
