step,wall_time,train_entropy_loss,relative_seconds,relative_time
24000,1749899489.036091,-9.932927131652832,0.0,0:00:00
36000,1749899502.2347276,-9.933816909790039,13.198636531829834,0:00:13.198637
48000,1749899515.4389033,-9.934374809265137,26.402812242507935,0:00:26.402812
60000,1749899528.910148,-9.934464454650879,39.874056816101074,0:00:39.874057
72000,1749899542.2960215,-9.934353828430176,53.25993037223816,0:00:53.259930
84000,1749899555.7953033,-9.934199333190918,66.7592122554779,0:01:06.759212
96000,1749899569.4379816,-9.934165000915527,80.40189051628113,0:01:20.401891
108000,1749899583.0501404,-9.933107376098633,94.01404929161072,0:01:34.014049
120000,1749899596.5838816,-9.931885719299316,107.54779052734375,0:01:47.547791
132000,1749899610.1012716,-9.932043075561523,121.06518054008484,0:02:01.065181
144000,1749899623.515074,-9.93332290649414,134.47898292541504,0:02:14.478983
156000,1749899636.831713,-9.934712409973145,147.79562187194824,0:02:27.795622
168000,1749899650.017161,-9.935133934020996,160.98106980323792,0:02:40.981070
180000,1749899663.1401818,-9.934407234191895,174.1040906906128,0:02:54.104091
192000,1749899676.353474,-9.931903839111328,187.3173828125,0:03:07.317383
204000,1749899689.5728946,-9.930132865905762,200.536803483963,0:03:20.536803
216000,1749899702.7993453,-9.929158210754395,213.7632541656494,0:03:33.763254
228000,1749899716.0266328,-9.927931785583496,226.99054169654846,0:03:46.990542
240000,1749899729.1713636,-9.927475929260254,240.13527250289917,0:04:00.135273
252000,1749899742.3675451,-9.926042556762695,253.33145403862,0:04:13.331454
264000,1749899755.5580864,-9.92236042022705,266.521995306015,0:04:26.521995
276000,1749899768.7752683,-9.919483184814453,279.73917722702026,0:04:39.739177
288000,1749899781.9100885,-9.916343688964844,292.8739974498749,0:04:52.873997
300000,1749899795.0989118,-9.913895606994629,306.0628206729889,0:05:06.062821
312000,1749899808.2445822,-9.909551620483398,319.20849108695984,0:05:19.208491
324000,1749899821.2035937,-9.90194320678711,332.16750264167786,0:05:32.167503
336000,1749899834.4501555,-9.894851684570312,345.41406440734863,0:05:45.414064
348000,1749899847.5885844,-9.886236190795898,358.5524933338165,0:05:58.552493
360000,1749899860.947271,-9.876925468444824,371.91118001937866,0:06:11.911180
372000,1749899874.2431474,-9.868843078613281,385.2070562839508,0:06:25.207056
384000,1749899887.7413108,-9.857261657714844,398.705219745636,0:06:38.705220
396000,1749899901.2321897,-9.845038414001465,412.1960985660553,0:06:52.196099
408000,1749899914.5851145,-9.83151626586914,425.5490233898163,0:07:05.549023
420000,1749899927.84146,-9.816120147705078,438.8053689002991,0:07:18.805369
432000,1749899941.0138412,-9.800545692443848,451.9777500629425,0:07:31.977750
444000,1749899954.14475,-9.782444953918457,465.10865902900696,0:07:45.108659
456000,1749899967.2611997,-9.759661674499512,478.22510862350464,0:07:58.225109
468000,1749899980.3529906,-9.73400592803955,491.31689953804016,0:08:11.316900
480000,1749899993.5350018,-9.702791213989258,504.4989106655121,0:08:24.498911
492000,1749900006.7096457,-9.665702819824219,517.6735546588898,0:08:37.673555
504000,1749900019.9755692,-9.620450973510742,530.9394781589508,0:08:50.939478
516000,1749900033.1792822,-9.569844245910645,544.1431910991669,0:09:04.143191
528000,1749900046.4681463,-9.505414962768555,557.4320552349091,0:09:17.432055
540000,1749900059.6203415,-9.421233177185059,570.5842504501343,0:09:30.584250
552000,1749900072.7858407,-9.310172080993652,583.749749660492,0:09:43.749750
564000,1749900085.6903763,-9.186872482299805,596.6542851924896,0:09:56.654285
576000,1749900098.4852798,-9.060232162475586,609.449188709259,0:10:09.449189
588000,1749900111.5360754,-9.01476001739502,622.4999842643738,0:10:22.499984
600000,1749900124.7051823,-9.006893157958984,635.6690912246704,0:10:35.669091
612000,1749900137.8658166,-9.002263069152832,648.8297255039215,0:10:48.829726
624000,1749900151.119995,-9.000526428222656,662.0839040279388,0:11:02.083904
636000,1749900164.2231312,-8.99838638305664,675.1870400905609,0:11:15.187040
648000,1749900177.1873767,-8.99650764465332,688.151285648346,0:11:28.151286
660000,1749900190.182491,-8.992178916931152,701.146399974823,0:11:41.146400
672000,1749900203.1645494,-8.987006187438965,714.1284582614899,0:11:54.128458
684000,1749900216.2605252,-8.982280731201172,727.2244341373444,0:12:07.224434
696000,1749900229.265649,-8.978355407714844,740.2295579910278,0:12:20.229558
708000,1749900242.2543626,-8.970739364624023,753.2182714939117,0:12:33.218271
720000,1749900255.2643251,-8.962262153625488,766.2282340526581,0:12:46.228234
732000,1749900268.2386372,-8.958041191101074,779.2025461196899,0:12:59.202546
744000,1749900281.3435097,-8.956990242004395,792.3074185848236,0:13:12.307419
756000,1749900294.2411728,-8.9575834274292,805.2050817012787,0:13:25.205082
768000,1749900307.0368547,-8.950953483581543,818.0007636547089,0:13:38.000764
780000,1749900320.0397904,-8.945364952087402,831.0036993026733,0:13:51.003699
